side,heroDid,modelId,bundle,monoBehaviourPathId,gameObjectPathId,gameObjectName,scriptFileId,scriptPathId,scriptName,className,namespace,assemblyName,resolvedFullName,role,serializedFieldSummary
our,1002,1002,download/roleprefabsandres/battleprefabandres/1002.assetbundle,-8382606417504995930,2916762097377812642,HeroUI_1002,0,-6938409698251234290,SkeletonGraphic,SkeletonGraphic,Spine.Unity,spine-unity.dll,Spine.Unity.SkeletonGraphic,hero_ui_spine_graphic,"{""initialSkinName"": ""default"", ""skeletonDataAsset"": {""m_FileID"": 0, ""m_PathID"": 5410798655350692559}, ""startingAnimation"": ""stand"", ""startingLoop"": 1, ""timeScale"": 1.0, ""updateWhenInvisible"": 3}"
our,1002,1002,download/roleprefabsandres/battleprefabandres/1002.assetbundle,-1973848794011561530,7448313691814067227,Hero_1002,0,9202454401006530641,SkeletonAnimation,SkeletonAnimation,Spine.Unity,spine-unity.dll,Spine.Unity.SkeletonAnimation,actor_spine_runtime,"{""_animationName"": ""ult"", ""initialSkinName"": """", ""loop"": 0, ""skeletonDataAsset"": {""m_FileID"": 0, ""m_PathID"": 5410798655350692559}, ""timeScale"": 1.0, ""updateWhenInvisible"": 3}"
our,1002,1002,download/roleprefabsandres/battleprefabandres/1002.assetbundle,-1014275597521971401,0,,0,1008803689438726606,SpineAtlasAsset,SpineAtlasAsset,Spine.Unity,spine-unity.dll,Spine.Unity.SpineAtlasAsset,spine_atlas_asset,"{""atlasFile"": {""m_FileID"": 0, ""m_PathID"": 3373340142783789617}, ""materials"": [{""m_FileID"": 0, ""m_PathID"": -3441070765647199456}]}"
our,1002,1002,download/roleprefabsandres/battleprefabandres/1002.assetbundle,5410798655350692559,0,,0,8302033850027404168,SkeletonDataAsset,SkeletonDataAsset,Spine.Unity,spine-unity.dll,Spine.Unity.SkeletonDataAsset,spine_skeleton_data_asset,"{""blendModeMaterials"": {""additiveMaterials"": [], ""applyAdditiveMaterial"": 0, ""multiplyMaterials"": [], ""requiresBlendModeMaterials"": 1, ""screenMaterials"": [{""material"": {""m_FileID"": 0, ""m_PathID"": 7148116973307621835}, ""pageName"": ""1002.png""}]}, ""scale"": 0.009999999776482582, ""skeletonJSON"": {""m_FileID"": 0, ""m_PathID"": "
our,1034,1034,download/roleprefabsandres/battleprefabandres/1034.assetbundle,-6761371301451957790,1714688094397971808,Hero_1034,0,9202454401006530641,SkeletonAnimation,SkeletonAnimation,Spine.Unity,spine-unity.dll,Spine.Unity.SkeletonAnimation,actor_spine_runtime,"{""_animationName"": ""skill1"", ""initialSkinName"": """", ""loop"": 0, ""skeletonDataAsset"": {""m_FileID"": 0, ""m_PathID"": 3214316990278771306}, ""timeScale"": 1.0, ""updateWhenInvisible"": 3}"
our,1034,1034,download/roleprefabsandres/battleprefabandres/1034.assetbundle,-3112845323289359507,0,,0,1008803689438726606,SpineAtlasAsset,SpineAtlasAsset,Spine.Unity,spine-unity.dll,Spine.Unity.SpineAtlasAsset,spine_atlas_asset,"{""atlasFile"": {""m_FileID"": 0, ""m_PathID"": 9008888806324543472}, ""materials"": [{""m_FileID"": 0, ""m_PathID"": 8481820798194157462}]}"
our,1034,1034,download/roleprefabsandres/battleprefabandres/1034.assetbundle,3214316990278771306,0,,0,8302033850027404168,SkeletonDataAsset,SkeletonDataAsset,Spine.Unity,spine-unity.dll,Spine.Unity.SkeletonDataAsset,spine_skeleton_data_asset,"{""blendModeMaterials"": {""additiveMaterials"": [], ""applyAdditiveMaterial"": 0, ""multiplyMaterials"": [], ""requiresBlendModeMaterials"": 1, ""screenMaterials"": [{""material"": {""m_FileID"": 0, ""m_PathID"": -7701057228218361780}, ""pageName"": ""1034.png""}]}, ""scale"": 0.009999999776482582, ""skeletonJSON"": {""m_FileID"": 0, ""m_PathID"":"
our,1034,1034,download/roleprefabsandres/battleprefabandres/1034.assetbundle,5225894138277579536,-2607777606180373203,HeroUI_1034,0,-6938409698251234290,SkeletonGraphic,SkeletonGraphic,Spine.Unity,spine-unity.dll,Spine.Unity.SkeletonGraphic,hero_ui_spine_graphic,"{""initialSkinName"": ""default"", ""skeletonDataAsset"": {""m_FileID"": 0, ""m_PathID"": 3214316990278771306}, ""startingAnimation"": ""stand"", ""startingLoop"": 1, ""timeScale"": 1.0, ""updateWhenInvisible"": 3}"
enemy,1100111,3001,download/roleprefabsandres/battleprefabandres/3001.assetbundle,-6073460784623367702,0,,0,1008803689438726606,SpineAtlasAsset,SpineAtlasAsset,Spine.Unity,spine-unity.dll,Spine.Unity.SpineAtlasAsset,spine_atlas_asset,"{""atlasFile"": {""m_FileID"": 0, ""m_PathID"": -3102365806415234313}, ""materials"": [{""m_FileID"": 0, ""m_PathID"": 1825831143407533424}]}"
enemy,1100111,3001,download/roleprefabsandres/battleprefabandres/3001.assetbundle,-5838307213355684488,0,,0,8302033850027404168,SkeletonDataAsset,SkeletonDataAsset,Spine.Unity,spine-unity.dll,Spine.Unity.SkeletonDataAsset,spine_skeleton_data_asset,"{""blendModeMaterials"": {""additiveMaterials"": [], ""applyAdditiveMaterial"": 1, ""multiplyMaterials"": [], ""requiresBlendModeMaterials"": 0, ""screenMaterials"": []}, ""scale"": 0.009999999776482582, ""skeletonJSON"": {""m_FileID"": 0, ""m_PathID"": -756768513637643680}}"
