side,heroDid,modelId,sourceKind,sourcePath,materialName,originalShaderName,originalShaderSupported,originalShaderPassCount,projectShaderFound,projectShaderSupported,projectShaderPassCount,rebindAttempted,rebindApplied,rebindReason,afterShaderName,afterShaderSupported,afterShaderPassCount,mainTextureName,mainTextureSize,renderQueueBefore,renderQueueAfter
"our","1002","1002","bundle_material","assets/download/roleprefabsandres/battleprefabandres/1002/1002_material-screen.mat","1002_Material-Screen","Spine/Blend Modes/Skeleton PMA Screen",false,3,true,true,2,true,true,"same_name_spine_shader_supported","Spine/Blend Modes/Skeleton PMA Screen",true,2,"1002","1024x512",2000,3000
"our","1002","1002","bundle_material","assets/download/roleprefabsandres/battleprefabandres/1002/1002_material.mat","1002_Material","Spine/Skeleton Tint",false,3,true,true,2,true,true,"same_name_spine_shader_supported","Spine/Skeleton Tint",true,2,"1002","1024x512",2000,3000
"our","1002","1002","renderer_before_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_our_1002_model_1002","1002_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1002","1024x512",3000,3000
"our","1002","1002","atlas_material","1002_Atlas","1002_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1002","1024x512",3000,3000
"our","1002","1002","atlas_material","1002_Atlas","1002_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1002","1024x512",3000,3000
"our","1002","1002","atlas_material","1002_Atlas","1002_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1002","1024x512",3000,3000
"our","1002","1002","renderer_after_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_our_1002_model_1002","1002_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1002","1024x512",3000,3000
"our","1034","1034","bundle_material","assets/download/roleprefabsandres/battleprefabandres/1034/1034_material-screen.mat","1034_Material-Screen","Spine/Blend Modes/Skeleton PMA Screen",false,3,true,true,2,true,true,"same_name_spine_shader_supported","Spine/Blend Modes/Skeleton PMA Screen",true,2,"1034","2048x1024",2000,3000
"our","1034","1034","bundle_material","assets/download/roleprefabsandres/battleprefabandres/1034/1034_material.mat","1034_Material","Spine/Skeleton Tint",false,3,true,true,2,true,true,"same_name_spine_shader_supported","Spine/Skeleton Tint",true,2,"1034","2048x1024",2000,3000
"our","1034","1034","renderer_before_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_our_1034_model_1034","1034_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1034","2048x1024",3000,3000
"our","1034","1034","renderer_before_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_our_1034_model_1034","1034_Material-Screen","Spine/Blend Modes/Skeleton PMA Screen",true,2,false,false,0,false,false,"","Spine/Blend Modes/Skeleton PMA Screen",true,2,"1034","2048x1024",3000,3000
"our","1034","1034","atlas_material","1034_Atlas","1034_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1034","2048x1024",3000,3000
"our","1034","1034","atlas_material","1034_Atlas","1034_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1034","2048x1024",3000,3000
"our","1034","1034","atlas_material","1034_Atlas","1034_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1034","2048x1024",3000,3000
"our","1034","1034","renderer_after_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_our_1034_model_1034","1034_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"1034","2048x1024",3000,3000
"our","1034","1034","renderer_after_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_our_1034_model_1034","1034_Material-Screen","Spine/Blend Modes/Skeleton PMA Screen",true,2,false,false,0,false,false,"","Spine/Blend Modes/Skeleton PMA Screen",true,2,"1034","2048x1024",3000,3000
"enemy","1100111","3001","bundle_material","assets/download/roleprefabsandres/battleprefabandres/3001/3001_material.mat","3001_Material","Spine/Skeleton Tint",false,3,true,true,2,true,true,"same_name_spine_shader_supported","Spine/Skeleton Tint",true,2,"3001","512x512",2000,3000
"enemy","1100111","3001","renderer_before_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_enemy_1100111_model_3001","3001_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"3001","512x512",3000,3000
"enemy","1100111","3001","atlas_material","3001_Atlas","3001_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"3001","512x512",3000,3000
"enemy","1100111","3001","atlas_material","3001_Atlas","3001_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"3001","512x512",3000,3000
"enemy","1100111","3001","atlas_material","3001_Atlas","3001_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"3001","512x512",3000,3000
"enemy","1100111","3001","renderer_after_runtime","BATTLE37_BindOriginalSpineShaderVariantsAndMaterialPassesRoot/BATTLE37_LoadableActor_enemy_1100111_model_3001","3001_Material","Spine/Skeleton Tint",true,2,false,false,0,false,false,"","Spine/Skeleton Tint",true,2,"3001","512x512",3000,3000
