frame,side,heroDid,modelId,animationName,localScale,rootPosition,worldBounds,screenRect,screenCenterNorm,screenAreaRatio,rendererCount,shaderRebindAppliedCount,meshHash
0,"our","1002","1002","ult","0.72/0.72/0.72","-2.35/-0.35/0","-2.24/0.25/0|0.965/1.28/0","127.81/212.44/195.91/302.83","0.084302/0.76145",0.00296858,1,1,"ee957a6a"
0,"our","1034","1034","skill1","0.72/0.72/0.72","-0.2/-0.35/0","-0.009/0.582/0|3.552/2.065/0","193.99/208.18/444.68/353.97","0.166321/0.739748",0.0176261,1,2,"250847a5"
0,"enemy","1100111","3001","attack","0.68/0.68/0.68","2.1/-0.2/0","2.267/0.274/0|1.836/1.109/0","415.2/220.19/544.83/298.45","0.250008/0.75989",0.00489284,1,1,"4dcb598f"
1,"our","1002","1002","ult","0.72/0.72/0.72","-2.35/-0.35/0","-2.316/0.327/0|0.806/1.435/0","128.1/212.44/185/313.73","0.081537/0.7564",0.00277929,1,1,"18017a3e"
1,"our","1034","1034","skill1","0.72/0.72/0.72","-0.2/-0.35/0","0.011/0.591/0|3.511/2.027/0","196.85/210.15/444.68/353.23","0.167066/0.739176",0.01709947,1,2,"8998e1a3"
1,"enemy","1100111","3001","attack","0.68/0.68/0.68","2.1/-0.2/0","2.454/0.491/0|1.726/1.164/0","432.33/233.58/554.16/315.76","0.256898/0.745673",0.00482836,1,1,"a9904186"
2,"our","1002","1002","ult","0.72/0.72/0.72","-2.35/-0.35/0","-2.01/0.646/0|1.057/2.073/0","140.78/212.44/215.41/358.79","0.092759/0.735539",0.00526717,1,1,"8f6929af"
2,"our","1034","1034","skill1","0.72/0.72/0.72","-0.2/-0.35/0","0.033/0.588/0|3.467/2.004/0","199.96/210.77/444.68/352.24","0.167875/0.739345",0.01669649,1,2,"6a1f6984"
2,"enemy","1100111","3001","attack","0.68/0.68/0.68","2.1/-0.2/0","2.326/0.49/0|1.729/1.22/0","423.14/231.55/545.19/317.66","0.252171/0.745735",0.00506847,1,1,"0c05c0f9"
3,"our","1002","1002","ult","0.72/0.72/0.72","-2.35/-0.35/0","-2.045/0.646/0|1.118/2.074/0","136.21/212.44/215.11/358.81","0.091489/0.735532",0.00556942,1,1,"81a4ce87"
3,"our","1034","1034","skill1","0.72/0.72/0.72","-0.2/-0.35/0","0.049/0.583/0|3.435/1.993/0","202.2/210.77/444.68/351.48","0.168458/0.739698",0.01645451,1,2,"1d281d17"
3,"enemy","1100111","3001","attack","0.68/0.68/0.68","2.1/-0.2/0","1.998/0.435/0|1.8/1.241/0","397.52/226.9/524.56/314.52","0.240125/0.749344",0.00536825,1,1,"58dccf6f"
4,"our","1002","1002","ult","0.72/0.72/0.72","-2.35/-0.35/0","-2.062/0.647/0|1.135/2.074/0","134.38/212.44/214.51/358.84","0.090856/0.735519",0.00565667,1,1,"cbc5d8d6"
4,"our","1034","1034","skill1","0.72/0.72/0.72","-0.2/-0.35/0","0.06/0.569/0|3.414/2.006/0","203.72/209.38/444.68/350.95","0.168855/0.740589",0.01645162,1,2,"e2d25bfe"
4,"enemy","1100111","3001","attack","0.68/0.68/0.68","2.1/-0.2/0","1.895/0.356/0|1.837/1.171/0","388.91/223.82/518.55/306.48","0.236318/0.754491",0.00516716,1,1,"196b794f"
5,"our","1002","1002","ult","0.72/0.72/0.72","-2.35/-0.35/0","-2.05/0.647/0|1.094/2.074/0","136.67/212.44/213.9/358.86","0.091295/0.735511",0.00545278,1,1,"c5aecb28"
5,"our","1034","1034","skill1","0.72/0.72/0.72","-0.2/-0.35/0","0.066/0.56/0|3.4/2.015/0","204.68/208.39/444.68/350.61","0.169105/0.741204",0.01646131,1,2,"27e40bc9"
5,"enemy","1100111","3001","attack","0.68/0.68/0.68","2.1/-0.2/0","2.425/0.233/0|1.769/1.059/0","428.75/219.04/553.59/293.82","0.25582/0.762563",0.00450227,1,1,"ce50a029"
