frame,side,wave,slot,heroDid,modelId,animationName,localScale,rootPosition,worldBounds,screenRect,screenCenterNorm,screenAreaRatio,rendererCount,shaderRebindAppliedCount,meshHash
0,"our",0,2,"1002","1002","ult","0.7/0.7/0.7","-1.65/-2.35/-0.2","-1.543/-1.767/-0.2|0.938/1.245/0","223.41/125.31/268.43/185.07","0.128083/0.856304",0.00129747,1,1,"83afe57f"
0,"our",0,3,"1034","1034","skill1","0.7/0.7/0.7","0/-2.35/-0.2","0.185/-1.444/-0.2|3.453/2.008/0","246.03/122.49/411.76/218.88","0.171299/0.841957",0.0077038,1,2,"4238c70d"
0,"enemy",1,1,"1100111","3001","attack","0.62/0.62/0.62","1.05/2.35/-0.2","1.202/2.782/-0.2|1.674/1.011/0","337.52/349.27/417.89/397.79","0.196721/0.654138",0.00188081,1,1,"b8324136"
1,"our",0,2,"1002","1002","ult","0.7/0.7/0.7","-1.65/-2.35/-0.2","-1.616/-1.692/-0.2|0.784/1.395/0","223.6/125.31/261.22/192.28","0.126254/0.852966",0.00121474,1,1,"dd3421b5"
1,"our",0,3,"1034","1034","skill1","0.7/0.7/0.7","0/-2.35/-0.2","0.205/-1.436/-0.2|3.413/1.971/0","247.92/123.8/411.76/218.39","0.171792/0.841579",0.00747363,1,2,"70c0d14b"
1,"enemy",1,1,"1100111","3001","attack","0.62/0.62/0.62","1.05/2.35/-0.2","1.373/2.98/-0.2|1.574/1.061/0","348.14/357.58/423.67/408.53","0.200993/0.645324",0.00185602,1,1,"5399c07f"
2,"our",0,2,"1002","1002","ult","0.7/0.7/0.7","-1.65/-2.35/-0.2","-1.32/-1.381/-0.2|1.028/2.016/0","231.98/125.31/281.32/222.07","0.133673/0.839175",0.00230211,1,1,"78b1557e"
2,"our",0,3,"1034","1034","skill1","0.7/0.7/0.7","0/-2.35/-0.2","0.226/-1.438/-0.2|3.371/1.949/0","249.97/124.21/411.76/217.74","0.172326/0.841691",0.0072975,1,2,"c54ccc3c"
2,"enemy",1,1,"1100111","3001","attack","0.62/0.62/0.62","1.05/2.35/-0.2","1.256/2.979/-0.2|1.577/1.112/0","342.44/356.32/418.11/409.7","0.198061/0.645362",0.00194832,1,1,"6b5df3a6"
3,"our",0,2,"1002","1002","ult","0.7/0.7/0.7","-1.65/-2.35/-0.2","-1.353/-1.381/-0.2|1.087/2.016/0","228.96/125.31/281.12/222.08","0.132834/0.839169",0.00243422,1,1,"7f8f8018"
3,"our",0,3,"1034","1034","skill1","0.7/0.7/0.7","0/-2.35/-0.2","0.242/-1.443/-0.2|3.34/1.938/0","251.45/124.21/411.76/217.24","0.172712/0.841924",0.00719174,1,2,"6639cf1f"
3,"enemy",1,1,"1100111","3001","attack","0.62/0.62/0.62","1.05/2.35/-0.2","0.957/2.929/-0.2|1.641/1.132/0","326.56/353.43/405.32/407.76","0.190593/0.6476",0.00206356,1,1,"6497d0f4"
4,"our",0,2,"1002","1002","ult","0.7/0.7/0.7","-1.65/-2.35/-0.2","-1.37/-1.381/-0.2|1.104/2.016/0","227.75/125.31/280.72/222.1","0.132416/0.839161",0.00247235,1,1,"1498cbe5"
4,"our",0,3,"1034","1034","skill1","0.7/0.7/0.7","0/-2.35/-0.2","0.252/-1.457/-0.2|3.319/1.95/0","252.46/123.29/411.76/216.88","0.172974/0.842513",0.00719048,1,2,"2434cd36"
4,"enemy",1,1,"1100111","3001","attack","0.62/0.62/0.62","1.05/2.35/-0.2","0.863/2.857/-0.2|1.674/1.068/0","321.22/351.52/401.59/402.77","0.188233/0.650791",0.00198626,1,1,"af9632fe"
5,"our",0,2,"1002","1002","ult","0.7/0.7/0.7","-1.65/-2.35/-0.2","-1.358/-1.381/-0.2|1.064/2.017/0","229.27/125.31/280.32/222.11","0.132705/0.839155",0.00238324,1,1,"1359eeb7"
5,"our",0,3,"1034","1034","skill1","0.7/0.7/0.7","0/-2.35/-0.2","0.259/-1.466/-0.2|3.306/1.959/0","253.09/122.63/411.76/216.66","0.17314/0.84292",0.00719471,1,2,"6ec9cfc1"
5,"enemy",1,1,"1100111","3001","attack","0.62/0.62/0.62","1.05/2.35/-0.2","1.346/2.745/-0.2|1.613/0.966/0","345.92/348.56/423.32/394.92","0.200324/0.655796",0.00173067,1,1,"868e98b6"
