phase,path,name,activeSelf,activeInHierarchy,enabled,renderMode,worldCameraName,worldCameraMatchesCapture,planeDistance,sortingLayerName,sortingOrder,overrideSorting,layer,canvasScalerUiScaleMode,canvasScalerReferenceResolution,canvasScalerMatchWidthOrHeight,canvasScalerScreenMatchMode,rectSize,anchorMin,anchorMax,pivot,localScale,fixReason,oldRenderMode,newRenderMode,oldWorldCameraName,newWorldCameraName,oldPlaneDistance,newPlaneDistance
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_07_ui_normalbattle_skipview/bgBtn","bgBtn",true,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,true,"UI","","",0,"","0/0","0/0","1/1","0.5/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle","CanvasLuaStateHUD_08_ui_testbattle",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","0/0","0/0","0/0","0/0","0/0/0","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","CanvasLuaStateHUD_01_ui_normalbattle",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","640/480","0/0","0/0","0.5/0.5","0.021/0.021/0.021","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/HeadBar/imgHPBG","imgHPBG",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle","root_battle",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"","","",0,"","0/0","0/0","0/0","0/0","0.01/0.01/0.01","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle","root_battle",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","640/-140","0/0","1/1","0.5/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/HeadBar/imgHPBG","imgHPBG",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
