status,originalButtonPath,buttonSuffix,buttonScenePath,targetFullName,targetSuffix,targetGraphicRef,targetScenePath,boundTargetGraphicType,hasButton,buttonInteractable,buttonActiveInHierarchy,targetActiveInHierarchy,targetEnabled,targetRaycastTarget,buttonRectSize,targetRectSize,canvasPath,canvasRenderMode,canvasWorldCameraName,hasParentCanvas,hasGraphicRaycaster,raycasterEnabled,eventCameraName,screen,targetLayer,targetHasCanvasRenderer,targetMaterialName,canvasGroupBlocksRaycasts,registryCount,targetInRegistry,registryError,hitCount,hitPaths,raycastReady,raycastReason,evidence
"patched_original_target_graphic","UI_Battle3DUI/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","UnityEngine.UI.Image","root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","0:-4520102344517242134","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","UnityEngine.UI.Image",true,true,true,true,true,true,"80/80","80/80","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","targetGraphic mapped from original m_TargetGraphic PPtr; no fake onClick"
"target_graphic_missing","UI_NormalBattle/btn_battle_preview_skip","btn_battle_preview_skip","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_battle_preview_skip","UnityEngine.UI.Image","btn_battle_preview_skip","0:6659074607479796370","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_battle_preview_skip","",false,false,true,true,false,false,"42/42","42/42","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","target transform matched but no Graphic component exists"
"target_graphic_missing","UI_NormalBattle/btn_preivew_touch","btn_preivew_touch","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_preivew_touch","UnityEngine.UI.Image","btn_preivew_touch","0:-6999585977917270645","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/btn_preivew_touch","",false,false,true,true,false,false,"2500/2000","2500/2000","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","target transform matched but no Graphic component exists"
"target_graphic_missing","UI_NormalBattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_icon","root_battle/UI_BattleItemFly/root_item/itemCell76/btn_icon","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_icon","UnityEngine.UI.Image","root_battle/UI_BattleItemFly/root_item/itemCell76/btn_icon","0:-4357727614158106318","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_icon","",false,false,false,false,false,false,"90/92","90/92","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","target transform matched but no Graphic component exists"
"target_graphic_missing","UI_NormalBattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_item_seach","root_battle/UI_BattleItemFly/root_item/itemCell76/btn_item_seach","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_item_seach","UnityEngine.UI.Image","root_battle/UI_BattleItemFly/root_item/itemCell76/btn_item_seach","0:1242523710374924510","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_item_seach","",false,false,false,false,false,false,"29/29","29/29","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","target transform matched but no Graphic component exists"
"target_graphic_missing","UI_NormalBattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_jian","root_battle/UI_BattleItemFly/root_item/itemCell76/btn_jian","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_jian","UnityEngine.UI.Image","root_battle/UI_BattleItemFly/root_item/itemCell76/btn_jian","0:-2870195029538695219","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/UI_BattleItemFly/root_item/itemCell76/btn_jian","",false,false,false,false,false,false,"76/76","76/76","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","target transform matched but no Graphic component exists"
"target_graphic_missing","UI_NormalBattle/root_battle/btn_Explosive_All","root_battle/btn_Explosive_All","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_All","UnityEngine.UI.Image","root_battle/btn_Explosive_All","0:752055561264960527","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_All","",false,false,false,false,false,false,"86/89","86/89","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","target transform matched but no Graphic component exists"
"patched_original_target_graphic","UI_NormalBattle/root_battle/btn_Explosive_Cancel","root_battle/btn_Explosive_Cancel","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_Cancel","UnityEngine.UI.Image","root_battle/btn_Explosive_Cancel","0:5191797893382444600","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_Cancel","UnityEngine.UI.Image",true,true,false,false,true,true,"82/35","82/35","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","targetGraphic mapped from original m_TargetGraphic PPtr; no fake onClick"
"patched_original_target_graphic","UI_NormalBattle/root_battle/btnhelp","root_battle/btnhelp","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btnhelp","UnityEngine.UI.Empty4Raycast","root_battle/btnhelp","0:-3654988624662608736","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btnhelp","UnityEngine.UI.Empty4Raycast",true,true,true,true,true,true,"101/43","101/43","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","targetGraphic mapped from original m_TargetGraphic PPtr; no fake onClick"
"patched_original_target_graphic","UI_NormalBattle/root_battle/cizhui_group/btn_arrow","root_battle/cizhui_group/btn_arrow","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/btn_arrow","YouYou.YouYouImage","root_battle/cizhui_group/btn_arrow","0:1582931434948644280","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/btn_arrow","UnityEngine.UI.Image",true,true,true,true,true,true,"40/35","40/35","","","",false,false,false,"","",0,false,"",true,0,false,"",0,"",false,"","targetGraphic mapped from original m_TargetGraphic PPtr; no fake onClick"
