status,buttonScenePath,buttonName,targetScenePath,targetName,boundTargetGraphicType,hasButton,buttonInteractable,buttonActiveSelf,buttonActiveInHierarchy,targetActiveSelf,targetActiveInHierarchy,targetEnabled,targetRaycastTarget,targetLayer,targetDepth,targetMaterialName,targetCull,targetCanvasRendererAlpha,targetGraphicRaycastEventCamera,graphicRaycastError,buttonRectSize,buttonAnchoredPosition,targetRectSize,targetAnchoredPosition,targetPivot,targetLossyScale,canvasPath,canvasRenderMode,canvasActiveSelf,canvasActiveInHierarchy,canvasEnabled,canvasScaleFactor,canvasReferencePixelsPerUnit,canvasPlaneDistance,canvasSortingLayerId,canvasSortingOrder,canvasOverrideSorting,canvasTargetDisplay,canvasWorldCameraName,hasParentCanvas,hasGraphicRaycaster,raycasterEnabled,raycasterActiveInHierarchy,raycasterIgnoreReversedGraphics,raycasterBlockingObjects,raycasterBlockingMask,eventCameraName,worldCameraName,eventCameraEnabled,eventCameraDepth,eventCameraCullingMask,eventCameraTargetDisplay,eventCameraOrthographic,eventCameraOrthographicSize,eventCameraNear,eventCameraFar,eventCameraAspect,eventCameraPixelRect,eventCameraPixelSize,eventCameraClearFlags,eventCameraPosition,worldCameraEnabled,worldCameraDepth,worldCameraCullingMask,worldCameraTargetDisplay,worldCameraOrthographic,worldCameraOrthographicSize,worldCameraNear,worldCameraFar,worldCameraAspect,worldCameraPixelRect,worldCameraPixelSize,worldCameraClearFlags,worldCameraPosition,worldCenter,worldCorners,screenEventCenter,screenNullCenter,screenMainCenter,screenCaptureCenter,screenCornersEvent,screenCornersNull,screenCornersMain,screenCornersCapture,viewportEventCenter,viewportMainCenter,viewportCaptureCenter,eventCameraZ,mainCameraZ,captureCameraZ,eventCameraInFront,mainCameraInFront,captureCameraInFront,rectContainsEventAtEventCenter,localEventOkAtEventCenter,localEventAtEventCenter,rectContainsNullAtEventCenter,localNullOkAtEventCenter,localNullAtEventCenter,rectContainsNullAtNullCenter,localNullOkAtNullCenter,localNullAtNullCenter,rectContainsMainAtMainCenter,localMainOkAtMainCenter,localMainAtMainCenter,rectContainsCaptureAtCaptureCenter,localCaptureOkAtCaptureCenter,localCaptureAtCaptureCenter,canvasGroupBlocksRaycasts,canvasGroupSummary,registryCount,targetInRegistry,registryError,hitCount,hitPaths,raycastReady,raycastReason,evidence
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","btnAuto","UnityEngine.UI.Empty4Raycast",true,true,true,true,true,true,true,true,5,-1,"Default UI Material",false,"1",true,"","101/43","-62/160","101/43","-62/160","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","5.375/2.271/-6","4.323/1.823/-6 | 4.323/2.719/-6 | 6.427/2.719/-6 | 6.427/1.823/-6","578/349","5.375/2.271","","578/349","527.5/327.5 | 527.5/370.5 | 628.5/370.5 | 628.5/327.5","4.323/1.823 | 4.323/2.719 | 6.427/2.719 | 6.427/1.823","","527.5/327.5 | 527.5/370.5 | 628.5/370.5 | 628.5/327.5","0.903/0.727/4","","0.903/0.727/4","4","","4",true,false,true,true,true,"0/0",false,true,"27486/16643",true,true,"0/0.008",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",12,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","btnBuff","UnityEngine.UI.Empty4Raycast",true,true,true,true,true,true,true,true,5,-1,"Default UI Material",false,"1",true,"","101/43","-62/250","101/43","-62/250","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","5.375/4.146/-6","4.323/3.698/-6 | 4.323/4.594/-6 | 6.427/4.594/-6 | 6.427/3.698/-6","578/439","5.375/4.146","","578/439","527.5/417.5 | 527.5/460.5 | 628.5/460.5 | 628.5/417.5","4.323/3.698 | 4.323/4.594 | 6.427/4.594 | 6.427/3.698","","527.5/417.5 | 527.5/460.5 | 628.5/460.5 | 628.5/417.5","0.903/0.915/4","","0.903/0.915/4","4","","4",true,false,true,true,true,"0/0",false,true,"27486/20873",true,true,"0/0.008",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",12,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btnhelp","btnhelp","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btnhelp","btnhelp","UnityEngine.UI.Empty4Raycast",true,true,true,true,true,true,true,true,5,-1,"Default UI Material",false,"1",true,"","101/43","668/317","101/43","668/317","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","20.583/6.604/-6","19.531/6.156/-6 | 19.531/7.052/-6 | 21.635/7.052/-6 | 21.635/6.156/-6","1308/557","20.583/6.604","","1308/557","1257.5/535.5 | 1257.5/578.5 | 1358.5/578.5 | 1358.5/535.5","19.531/6.156 | 19.531/7.052 | 21.635/7.052 | 21.635/6.156","","1257.5/535.5 | 1257.5/578.5 | 1358.5/578.5 | 1358.5/535.5","2.044/1.16/4","","2.044/1.16/4","4","","4",true,false,true,true,true,"0/0",false,true,"61796/26419",true,true,"-0.016/-0.008",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle(blocks=True;interactable=True;ignoreParent=False) | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",46,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/btn_arrowbg","btn_arrowbg","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/btn_arrowbg","btn_arrowbg","UnityEngine.UI.Empty4Raycast",true,true,true,true,true,true,true,true,5,-1,"Default UI Material",false,"1",true,"","220/80","-75.7/46.9","220/80","-75.7/46.9","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","19.215/-6.675/-6","16.923/-7.508/-6 | 16.923/-5.842/-6 | 21.506/-5.842/-6 | 21.506/-7.508/-6","1242.3/-80.4","19.215/-6.675","","1242.3/-80.4","1132.3/-120.4 | 1132.3/-40.4 | 1352.3/-40.4 | 1352.3/-120.4","16.923/-7.508 | 16.923/-5.842 | 21.506/-5.842 | 21.506/-7.508","","1132.3/-120.4 | 1132.3/-40.4 | 1352.3/-40.4 | 1352.3/-120.4","1.941/-0.168/4","","1.941/-0.168/4","4","","4",true,false,true,true,true,"0/0",false,true,"58708.1/-3538.8",true,true,"0.02/0",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle(blocks=True;interactable=True;ignoreParent=False) | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",46,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/btnLeftClosebuff","btnLeftClosebuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/btnLeftClosebuff","btnLeftClosebuff","UnityEngine.UI.Image",true,true,false,false,false,false,true,true,5,-1,"Default UI Material",false,"1",false,"","44/120","270/0","44/120","270/0","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","-0.417/-0.833/-6","-0.875/-2.083/-6 | -0.875/0.417/-6 | 0.042/0.417/-6 | 0.042/-2.083/-6","300/200","-0.417/-0.833","","300/200","278/140 | 278/260 | 322/260 | 322/140","-0.875/-2.083 | -0.875/0.417 | 0.042/0.417 | 0.042/-2.083","","278/140 | 278/260 | 322/260 | 322/140","0.469/0.417/4","","0.469/0.417/4","4","","4",true,false,true,true,true,"0/0",false,true,"14420/9640",true,true,"-0.016/0.016",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",12,false,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed","btnTwoSpeed","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed","btnTwoSpeed","UnityEngine.UI.Empty4Raycast",true,true,true,true,true,true,true,true,5,-1,"Default UI Material",false,"1",true,"","101/43","-62/-20","101/43","-62/-20","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","5.375/-1.479/-6","4.323/-1.927/-6 | 4.323/-1.031/-6 | 6.427/-1.031/-6 | 6.427/-1.927/-6","578/169","5.375/-1.479","","578/169","527.5/147.5 | 527.5/190.5 | 628.5/190.5 | 628.5/147.5","4.323/-1.927 | 4.323/-1.031 | 6.427/-1.031 | 6.427/-1.927","","527.5/147.5 | 527.5/190.5 | 628.5/190.5 | 628.5/147.5","0.903/0.352/4","","0.903/0.352/4","4","","4",true,false,true,true,true,"0/0",false,true,"27486/8183",true,true,"0/0.008",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",12,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","btn_box","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box","btn_box","UnityEngine.UI.Image",true,true,true,true,true,true,true,true,7,-1,"Default UI Material",false,"1",true,"","80/80","0/0","80/80","0/0","0.5/0.5","0/0/0","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item","ScreenSpaceCamera",true,true,true,"1","100","4",0,0,true,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","-6.609/-4.914/-6","-6.618/-4.922/-6 | -6.618/-4.905/-6 | -6.601/-4.905/-6 | -6.601/-4.922/-6","2.75/4.15","-6.609/-4.914","","2.75/4.15","2.35/3.75 | 2.35/4.55 | 3.15/4.55 | 3.15/3.75","-6.618/-4.922 | -6.618/-4.905 | -6.601/-4.905 | -6.601/-4.922","","2.35/3.75 | 2.35/4.55 | 3.15/4.55 | 3.15/3.75","0.004/0.009/4","","0.004/0.009/4","4","","4",true,false,true,true,true,"-0.003/-0.001",false,true,"44925/43505",true,true,"1.801/-2.201",false,false,"",true,true,"-0.003/-0.001",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle(blocks=True;interactable=True;ignoreParent=False)",1,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_Cancel","btn_Explosive_Cancel","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btn_Explosive_Cancel","btn_Explosive_Cancel","UnityEngine.UI.Image",true,true,false,false,false,false,true,true,5,-1,"Default UI Material",false,"1",false,"","82/35","-440/-310.5","82/35","-440/-310.5","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","-9.167/-6.469/-6","-10.021/-6.833/-6 | -10.021/-6.104/-6 | -8.313/-6.104/-6 | -8.313/-6.833/-6","-120/-70.5","-9.167/-6.469","","-120/-70.5","-161/-88 | -161/-53 | -79/-53 | -79/-88","-10.021/-6.833 | -10.021/-6.104 | -8.313/-6.104 | -8.313/-6.833","","-161/-88 | -161/-53 | -79/-53 | -79/-88","-0.188/-0.147/4","","-0.188/-0.147/4","4","","4",true,false,true,true,true,"0/0",false,true,"-5320/-3073.5",true,true,"-0.016/-0.012",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle(blocks=True;interactable=True;ignoreParent=False) | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",46,false,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/btn_arrow","btn_arrow","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/btn_arrow","btn_arrow","UnityEngine.UI.Image",true,true,true,true,true,true,true,true,5,-1,"Default UI Material",false,"1",true,"","40/35","-75.7/72","40/35","-75.7/72","0.5/0.5","0.014/-0.014/0.014","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","19.215/-6.152/-6","18.944/-5.915/-6 | 18.944/-6.389/-6 | 19.485/-6.389/-6 | 19.485/-5.915/-6","1242.3/-55.3","19.215/-6.152","","1242.3/-55.3","1229.3/-43.925 | 1229.3/-66.675 | 1255.3/-66.675 | 1255.3/-43.925","18.944/-5.915 | 18.944/-6.389 | 19.485/-6.389 | 19.485/-5.915","","1229.3/-43.925 | 1229.3/-66.675 | 1255.3/-66.675 | 1255.3/-43.925","1.941/-0.115/4","","1.941/-0.115/4","4","","4",true,false,true,true,true,"0/0",false,true,"90320.16/3629.385",true,true,"0.031/-0.006",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle(blocks=True;interactable=True;ignoreParent=False) | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",46,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
"reopen_button_target_probe","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill","btnFastSkill","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill","btnFastSkill","UnityEngine.UI.Empty4Raycast",true,true,true,true,true,true,true,true,5,-1,"Default UI Material",false,"1",true,"","101/43","-62/-110","101/43","-62/-110","0.5/0.5","0.021/0.021/0.021","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",true,true,true,"1","100","4",0,100,false,0,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,true,true,true,true,"None",-1,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10",true,"1000",-1,0,true,"5","0.01","100","1.333","0/0/640/480","640/480","SolidColor","0/0/-10","5.375/-3.354/-6","4.323/-3.802/-6 | 4.323/-2.906/-6 | 6.427/-2.906/-6 | 6.427/-3.802/-6","578/79","5.375/-3.354","","578/79","527.5/57.5 | 527.5/100.5 | 628.5/100.5 | 628.5/57.5","4.323/-3.802 | 4.323/-2.906 | 6.427/-2.906 | 6.427/-3.802","","527.5/57.5 | 527.5/100.5 | 628.5/100.5 | 628.5/57.5","0.903/0.165/4","","0.903/0.165/4","4","","4",true,false,true,true,true,"0/0",false,true,"27486/3953",true,true,"0/0.008",false,false,"",true,true,"0/0",true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle(blocks=True;interactable=True;ignoreParent=False)",12,true,"",0,"",false,"no_graphic_hits_at_target_center","BATTLE46 reopen probe; no fake onClick/art/HUD/card/icon; compares GraphicRaycaster with RectTransformUtility candidates"
