phase,pointName,buttonName,buttonScenePath,targetScenePath,pointerPosition,canvasPath,canvasRenderMode,canvasSortingOrder,canvasTargetDisplay,raycasterIgnoreReversedGraphics,raycasterBlockingObjects,eventCameraName,eventCameraPixelRect,eventCameraTargetDisplay,pixelRectContains,displayRelative,displayRelativeNonZero,displayMatches,registryCount,targetDepth,targetAbsoluteDepth,mirrorFinalCandidateCount,mirrorTargetFinalCandidate,mirrorFinalPaths,unityHitCount,unityTargetHit,unityHitPaths,raycastReady,primaryFailure
"after_depth_rebuild_render","eventCamera_worldToScreen","btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","578/349","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,126,126,1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto#depth=126",1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto#depth=126",true,"target_hit"
"after_depth_rebuild_render","b47_before_open_baseline","btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","578/349","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,126,126,1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto#depth=126",1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto#depth=126",true,"target_hit"
"after_depth_rebuild_render","viewport_pixelRect","btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","578/349","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,126,126,1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto#depth=126",1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto#depth=126",true,"target_hit"
"after_depth_rebuild_render","capture1920_scaled_to_camera640","btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","192.667/155.111","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,126,126,0,false,"",0,false,"",false,"no_mirror_candidates"
"after_depth_rebuild_render","camera640_scaled_to_capture1920","btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","1734/785.25","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,false,"0/0/0",false,true,12,126,126,0,false,"",0,false,"",false,"event_camera_pixelrect_reject"
"after_depth_rebuild_render","baseline_capture_scaled_to_camera640","btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto","192.667/155.111","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,126,126,0,false,"",0,false,"",false,"no_mirror_candidates"
"after_depth_rebuild_render","eventCamera_worldToScreen","btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","578/439","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,124,124,1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff#depth=124",1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff#depth=124",true,"target_hit"
"after_depth_rebuild_render","b47_before_open_baseline","btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","578/439","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,124,124,1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff#depth=124",1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff#depth=124",true,"target_hit"
"after_depth_rebuild_render","viewport_pixelRect","btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","578/439","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,124,124,1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff#depth=124",1,true,"BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff#depth=124",true,"target_hit"
"after_depth_rebuild_render","capture1920_scaled_to_camera640","btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff","192.667/195.111","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","ScreenSpaceCamera",100,0,true,"None","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera","0/0/640/480",0,true,"0/0/0",false,true,12,124,124,0,false,"",0,false,"",false,"no_mirror_candidates"
