phase,buttonName,buttonPath,buttonFound,buttonComponentPresent,handlerSource,handlerCandidate,eventSystemPresent,eventSystemCurrentMatches,activeSelf,activeInHierarchy,interactable,canvasPath,canvasRenderMode,targetGraphicPath,targetGraphicType,targetGraphicActive,targetGraphicEnabled,targetGraphicRaycastTarget,targetGraphicDepth,pointerPosition,eventSystemRaycastAllCount,eventTargetIncluded,eventHitPaths,directGraphicRaycasterHitCount,directTargetIncluded,directHitPaths,raycasterManagerCount,currentRaycasterRegistered,onClickPersistentCount,onClickRuntimeCount,onClickKnownCount,eventTriggerCount,uiEventListenerPresent,uiEventListenerHasDelegate,handlerBound,luaLifecycleExecuted,gameplayHandlerExecution,missingOnButton,missingOnParents,buttonComponentTypes,bridgeComponentSummary,parentMissingChain,patchDecision
before_forced_raycaster_registration,btnAuto,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,True,True,UI_NormalBattle:86-110,ChangeToAuto(true)/ChangeToManual,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,UnityEngine.UI.Empty4Raycast,True,True,True,126,578/349,0,False,,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,0,False,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
before_forced_raycaster_registration,btnBuff,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,True,True,UI_NormalBattle:180-184,ShowBuffView(f==false),True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,UnityEngine.UI.Empty4Raycast,True,True,True,124,578/439,0,False,,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,0,False,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
before_forced_raycaster_registration,btnTwoSpeed,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,True,True,UI_NormalBattle:111-131,ProcedureNormalBattle.SetGameSpeed,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,UnityEngine.UI.Empty4Raycast,True,True,True,136,578/169,0,False,,2,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/im_off | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,0,False,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
before_forced_raycaster_registration,btnFastSkill,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,True,True,UI_NormalBattle:132-146,ChangeGameFastSkill/CheckFastSkill,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,UnityEngine.UI.Empty4Raycast,True,True,True,139,578/79,0,False,,2,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill/im_off | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,0,False,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
before_forced_raycaster_registration,btn_box,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,True,True,UI_BattleBoxPage:162-178,UIEventListener.onClick showFlyAction/RecycleBoxInstance,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,UnityEngine.UI.Image,True,True,True,1,2.75/4.15,0,False,,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,0,False,0,0,0,0,True,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,3,7,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;<missing>;BattleHudExtractedSpriteBindingMarker25;UnityEngine.UI.Image;UnityEngine.UI.Button;YouYou.UIEventListener,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box:missing=3:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;<missing>;BattleHudExtractedSpriteBindingMarker25;UnityEngine.UI.Image;UnityEngine.UI.Button;YouYou.UIEventListener | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item:missing=3:components=UnityEngine.RectTransform;<missing>;<missing>;UnityEngine.Canvas;<missing>;UnityEngine.UI.GraphicRaycaster;LuaComponentBinder.LuaComBinder | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content:missing=1:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;UnityEngine.Canvas;<missing>;UnityEngine.UI.GraphicRaycaster | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage:missing=1:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;YouYou.LuaUnit | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui:missing=2:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;<missing>;BattleHudSpriteAtlasSourceMarker25;UnityEngine.UI.GraphicRaycaster;YouYou.LuaUnit,blocked_no_patch
after_forced_raycaster_registration,btnAuto,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,True,True,UI_NormalBattle:86-110,ChangeToAuto(true)/ChangeToManual,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,UnityEngine.UI.Empty4Raycast,True,True,True,126,578/349,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,9,True,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
after_forced_raycaster_registration,btnBuff,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,True,True,UI_NormalBattle:180-184,ShowBuffView(f==false),True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,UnityEngine.UI.Empty4Raycast,True,True,True,124,578/439,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,9,True,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
after_forced_raycaster_registration,btnTwoSpeed,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,True,True,UI_NormalBattle:111-131,ProcedureNormalBattle.SetGameSpeed,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,UnityEngine.UI.Empty4Raycast,True,True,True,136,578/169,2,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/im_off | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,2,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/im_off | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,9,True,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
after_forced_raycaster_registration,btnFastSkill,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,True,True,UI_NormalBattle:132-146,ChangeGameFastSkill/CheckFastSkill,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,UnityEngine.UI.Empty4Raycast,True,True,True,139,578/79,2,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill/im_off | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,2,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill/im_off | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,9,True,0,0,0,0,False,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,2,4,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill:missing=2:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;UnityEngine.UI.Empty4Raycast;UnityEngine.UI.Button | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle:missing=4:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;UnityEngine.CanvasGroup;<missing>;<missing>;UnityEngine.Animator;<missing>;UnityEngine.UI.GraphicRaycaster;YouYou.LuaForm,blocked_no_patch
after_forced_raycaster_registration,btn_box,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,True,True,UI_BattleBoxPage:162-178,UIEventListener.onClick showFlyAction/RecycleBoxInstance,True,False,True,True,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item,ScreenSpaceCamera,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,UnityEngine.UI.Image,True,True,True,1,2.75/4.15,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,1,True,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,9,True,0,0,0,0,True,False,False,False,blocked_missing_xlua_gameentry_modulesinit_bootstrap,3,7,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;<missing>;BattleHudExtractedSpriteBindingMarker25;UnityEngine.UI.Image;UnityEngine.UI.Button;YouYou.UIEventListener,LuaForm=1;LuaUnit=2;LuaComBinder=1;UIEventListener=1,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box:missing=3:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>;<missing>;BattleHudExtractedSpriteBindingMarker25;UnityEngine.UI.Image;UnityEngine.UI.Button;YouYou.UIEventListener | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item:missing=3:components=UnityEngine.RectTransform;<missing>;<missing>;UnityEngine.Canvas;<missing>;UnityEngine.UI.GraphicRaycaster;LuaComponentBinder.LuaComBinder | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content:missing=1:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;UnityEngine.Canvas;<missing>;UnityEngine.UI.GraphicRaycaster | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage:missing=1:components=UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;YouYou.LuaUnit | BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui:missing=2:components=UnityEngine.RectTransform;UnityEngine.Canvas;<missing>;<missing>;BattleHudSpriteAtlasSourceMarker25;UnityEngine.UI.GraphicRaycaster;YouYou.LuaUnit,blocked_no_patch
