side,waveNo,ownerHeroDid,skillDid,prefabField,prefabId,skillBundle,resolvedBundlePath,bundleExists,bundleLoadSuccess,assetPathViaGetSysprefabData,matchedAssetName,assetLoadSuccess,instantiateSuccess,classification,typeMismatchAny,timelineInspectableAny,timelineBindingRequiredAny,renderableAtRest,handlerPatchApplied,xLuaRuntimeUsed,sceneSaved,nextAction,evidence
our,,1002,1002101,prefabId,1002101,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002101.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
our,,1002,1002201,prefabId,1002201,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002201.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
our,,1002,1002301,prefabId,1002301,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002301.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
our,,1002,1002301,fastPrefabId,1002351,download/skillprefabsandres/1002.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1002.assetbundle,True,True,,assets/download/skillprefabsandres/1002/1002351.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
our,,1034,1034101,prefabId,1034101,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034101.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
our,,1034,1034201,prefabId,1034201,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034201.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
our,,1034,1034301,prefabId,1034301,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034301.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
our,,1034,1034301,fastPrefabId,1034351,download/skillprefabsandres/1034.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1034.assetbundle,True,True,,assets/download/skillprefabsandres/1034/1034351.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
enemy,1,1100111,1012101,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012101.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
enemy,1,1100111,1012201,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012201.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
enemy,1,1100111,1012301,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1012.assetbundle,True,True,,assets/download/skillprefabsandres/1012/1012301.prefab,True,True,timeline_asset_type_mismatch_blocks_evaluate,True,False,True,False,False,False,False,Trace original TimelineAsset/PlayableAsset serialization or Unity Timeline runtime compatibility before activation.,directors=1; typeMismatch=True; timelineInspectable=False; bindingRequired=True; renderers=0; missingScripts=1
