id,order,role,attachMode,bundle,prefabAsset,instantiateSuccess,failReason,originalRootActive,sceneRootActive,gameObjectCount,rectTransformCount,canvasCount,canvasScalerCount,graphicRaycasterCount,imageCount,rawImageCount,textCount,tmpCount,buttonCount,missingScriptCount,spriteMaterialFontDependencyUnresolvedCount,rootHasRectTransform,rootLocalScale,rootLocalPosition,rootSiblingIndex,anchorMin,anchorMax,pivot,anchoredPosition,sizeDelta,clickValidation,componentResolutionAnalysis
"hud_attach_01","1","battle_root_hud","active_evidence_root","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","true","","true","true","556","540","2","0","0","0","0","0","0","0","601","601","true","1,1,1","320,240,0","0","0,0","0,0","0.5,0.5","320,240","640,480","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_02","2","battle_3d_overlay_hud","active_evidence_root","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_battle3dui.prefab","true","","true","true","27","27","4","0","0","0","0","0","0","0","12","12","true","1,1,1","0,0,0","1","0,0","0,0","0,0","0,0","0,0","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_03","3","actor_heroitem_template","template_inactive","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle_heroitem.prefab","true","","true","false","62","39","2","0","0","0","0","0","0","0","51","51","true","1,1,1","0,0,0","2","0.5,0.5","0.5,0.5","0.5,0.5","0,0","269,200","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_04","4","buff_icon_left_template","template_inactive","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/item_buff_left.prefab","true","","true","false","19","19","0","0","0","0","0","0","0","0","22","22","true","1,1,1","0,0,0","4","0,0","0,0","0.5,0.5","0,0","240,90","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_05","5","buff_icon_right_template","template_inactive","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/item_buff_right.prefab","true","","true","false","19","19","0","0","0","0","0","0","0","0","22","22","true","1,1,1","0,0,0","6","0,0","0,0","0.5,0.5","0,0","240,90","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_06","6","pause_panel_entry","entry_inactive","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle_pause.prefab","true","","true","false","14","14","1","0","0","0","0","0","0","0","16","16","true","1,1,1","320,240,0","8","0,0","0,0","0.5,0.5","320,240","640,480","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_07","7","skip_panel_entry","entry_inactive","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle_skipview.prefab","true","","true","false","41","41","2","0","0","0","0","0","0","0","47","47","true","1,1,1","320,240,0","10","0,0","0,0","0.5,0.5","320,240","640,480","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_08","8","test_battle_ui_entry","entry_inactive","download/ui/uiprefabandres/battle_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_testbattle.prefab","true","","true","false","37","37","1","0","0","0","0","0","0","0","33","33","true","1,1,1","320,240,0","12","0,0","0,0","0.5,0.5","320,240","640,480","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_09","9","winlose_entry_victory_spine_base","entry_inactive","download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/winlose_ext_prefabs/victory_spine_base.prefab","true","","true","false","47","47","0","0","0","0","0","0","0","0","50","50","true","1,1,1","0,0,0","14","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
"hud_attach_10","10","winlose_entry_victory_spine_base2","entry_inactive","download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle","assets/download/ui/uiprefabandres/winlose_ext_prefabs/victory_spine_base2.prefab","true","","true","false","31","31","0","0","0","0","0","0","0","0","35","35","true","1,1,1","0,0,0","16","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","deferred:no_resolved_Button_component","RectTransform/Canvas resolved, but widget scripts resolve as missing MonoBehaviour in this prototype project. Unity UI module exists, so next join should reconstruct original UI script/type references and sprite-region dependencies."
