prefabRoot,sourceBundle,sourcePrefabPath,hierarchyPath,componentType,role,activeInHierarchy,enabled,visibleOnCamera,screenZone,areaRatio,spriteName,textureName,textureSize,materialName,fontName,color,alpha,imageType,preserveAspect,raycastTarget,buttonInteractable,buttonPersistentHandlerCount,targetGraphicPath,visibleOriginalSpriteCandidate,visiblePlaceholderBlock,unresolvedReason,originalSpritePPtr,originalMaterialPPtr,originalFontPPtr,originalTmpFontAssetPPtr,originalSharedMaterialPPtr,originalTargetGraphicPPtr,originalTexturePPtr,pptrJoinMatched,traceUnresolvedReason
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/black_cover,YouYou.YouYouImage,Image,false,true,true,top+bottom+right,1,,,,Default UI Material,,1/1/1/0.392,0.392157,Simple,false,false,false,0,,false,false,sprite_pptr_unresolved,,,,,,,,False,sprite_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgBG,UnityEngine.UI.Image,Image,true,true,true,top,0.001067,ba_xuecao_bg,,,Default UI Material,,1/1/1/1,1,Simple,false,false,false,0,,true,false,,2:-6513747630806363901,0:0,0:0,0:0,0:0,0:0,0:0,True,resolved_or_inactive
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgMask,UnityEngine.UI.Image,Image,false,true,true,top,0,,,,Default UI Material,,1/1/1/1,1,Simple,false,false,false,0,,false,false,sprite_pptr_unresolved,6:9178922751791648479,0:0,0:0,0:0,0:0,0:0,0:0,True,sprite_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask,UnityEngine.UI.Image,Image,true,true,true,top,0,ba_xuecao_bg4,,,Default UI Material,,1/1/1/1,1,Simple,false,true,false,0,,true,false,,2:-4405646609548040644,0:0,0:0,0:0,0:0,0:0,0:0,True,resolved_or_inactive
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask/imgPlayerHeadIcon,YouYou.YouYouImage,Image,true,true,true,top,0,battlehead1001,,,Default UI Material,,1/1/1/1,1,Simple,false,false,false,0,,true,false,,20:6810259492667770510,0:0,0:0,0:0,0:0,0:0,0:0,True,resolved_or_inactive
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_toukuang,YouYou.YouYouImage,Image,false,true,true,top,0.001845,,,,Default UI Material,,1/1/1/1,1,Simple,false,true,false,0,,false,false,sprite_pptr_unresolved,6:7219077478803846132,0:0,0:0,0:0,0:0,0:0,0:0,True,sprite_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG,UnityEngine.UI.Image,Image,true,true,true,top,0,,,,Default UI Material,,1/1/1/1,1,Simple,false,false,false,0,,false,false,sprite_pptr_unresolved,6:6617065208850742552,0:0,0:0,0:0,0:0,0:0,0:0,True,sprite_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/bg,UnityEngine.UI.Image,Image,true,true,true,top,0,ba_xuecao_bg1,,,Default UI Material,,1/1/1/1,1,Filled,false,false,false,0,,true,false,,2:6533218848006892483,0:0,0:0,0:0,0:0,0:0,0:0,True,resolved_or_inactive
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/imgPlayerHP_Red,YouYou.YouYouImage,Image,true,true,true,top,0,ba_xuecao_bg5,,,Default UI Material,,1/1/1/1,1,Filled,false,false,false,0,,true,false,,2:5060748896795759437,0:0,0:0,0:0,0:0,0:0,0:0,True,resolved_or_inactive
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/imgPlayerHP,YouYou.YouYouImage,Image,true,true,true,top,0,ba_xuecao_bg3,,,Default UI Material,,1/1/1/1,1,Filled,false,false,false,0,,true,false,,2:7955921820150679454,0:0,0:0,0:0,0:0,0:0,0:0,True,resolved_or_inactive
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi,YouYou.YouYouImage,Image,true,true,true,top,0,,,,Default UI Material,,1/1/1/1,1,Simple,false,true,false,0,,false,false,sprite_pptr_unresolved,6:4706490186155028499,0:0,0:0,0:0,0:0,0:0,0:0,True,sprite_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi/text_guan_num,TMPro.TextMeshProUGUI,TMP,true,true,true,top,0,,,,Default UI Material,,1/0.969/0.612/1,1,,false,false,false,0,,false,false,font_pptr_unresolved,0:0,0:0,0:0,10:2268522548353052838,35:-4383744721098263825,0:0,0:0,True,font_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtFirstAttack,TMPro.TextMeshProUGUI,TMP,true,true,true,top,0.009766,,,,Default UI Material,,1/1/1/1,1,,false,false,false,0,,false,false,font_pptr_unresolved,0:0,0:0,0:0,3:-724809986894116682,4:8649783434632076371,0:0,0:0,True,font_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtNickName,TMPro.TextMeshProUGUI,TMP,true,true,true,top,0,,,,Default UI Material,,1/1/1/1,1,,false,false,false,0,,false,false,font_pptr_unresolved,0:0,0:0,0:0,10:2268522548353052838,11:4174273018840097604,0:0,0:0,True,font_pptr_unresolved
battle_root_hud,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab,BattleHudRuntimeBindingTraceLiveHudRoot/RuntimeTraceHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtLevel,TMPro.TextMeshProUGUI,TMP,true,true,true,top,0.000081,,,,Default UI Material,,1/1/1/1,1,,false,false,false,0,,false,false,font_pptr_unresolved,0:0,0:0,0:0,10:2268522548353052838,11:4174273018840097604,0:0,0:0,True,font_pptr_unresolved
