rootRole,prefabAsset,hierarchyPath,componentType,role,spriteName,textureName,sourceBundle,materialName,fontName,status
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/black_cover","YouYou.YouYouImage","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgBG","UnityEngine.UI.Image","visual image","ba_xuecao_bg","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgMask","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask/imgPlayerHeadIcon","YouYou.YouYouImage","visual image","battlehead1001","","download/artsources/uispriteres/uiheroheadbattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_toukuang","YouYou.YouYouImage","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/bg","UnityEngine.UI.Image","visual image","ba_xuecao_bg1","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/imgPlayerHP_Red","YouYou.YouYouImage","visual image","ba_xuecao_bg5","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/imgPlayerHP","YouYou.YouYouImage","visual image","ba_xuecao_bg3","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi","YouYou.YouYouImage","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi/text_guan_num","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtFirstAttack","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtNickName","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtLevel","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/img_yazhi","YouYou.YouYouImage","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/img_yazhi/text_yahei_num","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server/txt_chengzhan_name","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_chengzhan_zhan","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_zhansha_num","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgBG","UnityEngine.UI.Image","visual image","ba_xuecao_bg","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgMask","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
