kind,bundle,exists,referenced_by,source
actor_spine,download/roleprefabsandres/battleprefabandres/1002.assetbundle,True,our:1002,HeroCtrl->DTmodel.prefabId
actor_spine,download/roleprefabsandres/battleprefabandres/1034.assetbundle,True,our:1034,HeroCtrl->DTmodel.prefabId
actor_spine,download/roleprefabsandres/battleprefabandres/1036.assetbundle,False,our:1036,HeroCtrl->DTmodel.prefabId
battle_map,download/artsources/map/battlemap/map_11001/map_11001_1.assetbundle,True,mapId:11001,mapId bundle search
skill_prefab,download/skillprefabsandres/1002.assetbundle,True,skill:1002101:prefabId:1002101;skill:1002201:prefabId:1002201;skill:1002301:prefabId:1002301;skill:1002301:fastPrefabId:1002351,BattleResPreloadMgr->BattleTimelineResMap
skill_prefab,download/skillprefabsandres/1012.assetbundle,True,skill:1012101:prefabId:1012101;skill:1012201:prefabId:1012201;skill:1012301:prefabId:1012301;skill:1012301:fastPrefabId:1012351;skill:1012101:prefabId:1012101;skill:1012201:prefabId:1012201;skill:1012301:prefabId:1012301;skill:1012301:fastPrefabId:1012351;skill:1012101:prefabId:1012101;skill:1012201:prefabId:1012201;skill:1012301:prefabId:1012301;skill:1012301:fastPrefabId:1012351;skill:1012101:prefabId:1012101;skill:1012201:prefabId:1012201;skill:1012301:prefabId:1012301;skill:1012301:fastPrefabId:1012351;skill:1012101:prefabId:1012101;skill:1012201:prefabId:1012201;skill:1012301:prefabId:1012301;skill:1012301:fastPrefabId:1012351;skill:1012101:prefabId:1012101;skill:1012201:prefabId:1012201;skill:1012301:prefabId:1012301;skill:1012301:fastPrefabId:1012351;skill:1012101:prefabId:1012101;skill:1012101:prefabId:1012101;skill:1012101:prefabId:1012101;skill:1012101:prefabId:1012101;skill:1012101:prefabId:1012101;skill:1012101:prefabId:1012101,BattleResPreloadMgr->BattleTimelineResMap
skill_prefab,download/skillprefabsandres/1034.assetbundle,True,skill:1034101:prefabId:1034101;skill:1034201:prefabId:1034201;skill:1034301:prefabId:1034301;skill:1034301:fastPrefabId:1034351,BattleResPreloadMgr->BattleTimelineResMap
skill_prefab,download/skillprefabsandres/1036.assetbundle,True,skill:1036101:prefabId:1036101;skill:1036201:prefabId:1036201;skill:1036301:prefabId:1036301;skill:1036301:fastPrefabId:1036351,BattleResPreloadMgr->BattleTimelineResMap
timeline_prefab_dep,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,False,timeline:1002201;timeline:1002301;timeline:1002351,BattleTimelineResMap.prefab
timeline_prefab_dep,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,False,timeline:1036201;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012351;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012351;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012351;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012351;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012351;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012351,BattleTimelineResMap.prefab
timeline_prefab_dep,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,False,timeline:1036301;timeline:1036351;timeline:1034201;timeline:1034351,BattleTimelineResMap.prefab
timeline_prefab_dep,download/skillprefabsandres/1002.assetbundle,True,timeline:1002101;timeline:1002101;timeline:1002201;timeline:1002201;timeline:1002201;timeline:1002301;timeline:1002301;timeline:1002301;timeline:1002351;timeline:1002351;timeline:1002351,BattleTimelineResMap.prefab
timeline_prefab_dep,download/skillprefabsandres/1012.assetbundle,True,timeline:1012101;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012101;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012101;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012101;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012101;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012101;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012201;timeline:1012301;timeline:1012301;timeline:1012351;timeline:1012351;timeline:1012101;timeline:1012101;timeline:1012101;timeline:1012101;timeline:1012101;timeline:1012101,BattleTimelineResMap.prefab
timeline_prefab_dep,download/skillprefabsandres/1034.assetbundle,True,timeline:1034101;timeline:1034201;timeline:1034201;timeline:1034201;timeline:1034201;timeline:1034201;timeline:1034201;timeline:1034301;timeline:1034351;timeline:1034351,BattleTimelineResMap.prefab
timeline_prefab_dep,download/skillprefabsandres/1036.assetbundle,True,timeline:1036101;timeline:1036101;timeline:1036201;timeline:1036301;timeline:1036301;timeline:1036351;timeline:1036351;timeline:1036351;timeline:1036351;timeline:1036351;timeline:1036351;timeline:1036351;timeline:1036351,BattleTimelineResMap.prefab
