assemblyName,namespace,className,fullName,likelyRole,monoBehaviourRefCount,scriptPathIds,bundles,il2cppEvidenceCount,luaEvidenceCount
UnityEngine.UI.dll,UnityEngine.UI,Image,UnityEngine.UI.Image,visual image/raycast,306,-7030229213176759517;-7030229213176759517,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle;download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle,2,2
spine-unity.dll,Spine.Unity,SkeletonSubmeshGraphic,Spine.Unity.SkeletonSubmeshGraphic,effect/animation,151,5804373309048859138;5804373309048859138,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle;download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle,0,0
Assembly-CSharp.dll,YouYou,YouYouImage,YouYou.YouYouImage,visual image/raycast,147,1242602534869556086;1242602534869556086,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle;download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle,1,2
Unity.TextMeshPro.dll,TMPro,TextMeshProUGUI,TMPro.TextMeshProUGUI,text/font,69,-5755350681981302373,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,2
UnityEngine.UI.dll,UnityEngine.UI,ContentSizeFitter,UnityEngine.UI.ContentSizeFitter,layout/mask,45,-5392852106782294089,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,2
Assembly-CSharp.dll,LuaComponentBinder,LuaComBinder,LuaComponentBinder.LuaComBinder,lua binder/controller,34,1924290018182821150,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,2
UnityEngine.UI.dll,UnityEngine.UI,Button,UnityEngine.UI.Button,button/click,33,-787143586316466668,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,2
Assembly-CSharp.dll,YouYou,YouYouCanvasHelper,YouYou.YouYouCanvasHelper,unknown/controller,18,2150366434557054024,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
spine-unity.dll,Spine.Unity,SkeletonGraphic,Spine.Unity.SkeletonGraphic,effect/animation,17,-6938409698251234290;-6938409698251234290,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle;download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle,0,0
Assembly-CSharp.dll,YouYou,UISpineCtr,YouYou.UISpineCtr,effect/animation,15,-8877758280253173385;-8877758280253173385,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle;download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle,2,2
UnityEngine.UI.dll,UnityEngine.UI,HorizontalLayoutGroup,UnityEngine.UI.HorizontalLayoutGroup,layout/mask,15,-8091456346061954500,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,2
UnityEngine.UI.dll,UnityEngine.UI,ScrollRect,UnityEngine.UI.ScrollRect,layout/mask,15,-8826248144273319766,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,2
UnityEngine.UI.dll,UnityEngine.UI,GraphicRaycaster,UnityEngine.UI.GraphicRaycaster,canvas/raycast,14,8390977652835490180,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
UnityEngine.UI.dll,UnityEngine.UI,GridLayoutGroup,UnityEngine.UI.GridLayoutGroup,layout/mask,14,6236441469479178695,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,1
UnityEngine.UI.dll,UnityEngine.UI,RectMask2D,UnityEngine.UI.RectMask2D,layout/mask,14,4452942400327435936,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
UnityEngine.UI.dll,UnityEngine.UI,Text,UnityEngine.UI.Text,text/font,10,-7978266203517415465,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,2,2
