role,prefabAsset,instantiateSuccess,sceneRootActive,gameObjectCount,rectTransformCount,canvasCount,imageCount,rawImageCount,textCount,tmpCount,buttonCount,missingScriptCount,officialUiResolvedCount,proxyResolvedCount,buttonValidationCount,buttonInteractableCount,raycastReadyButtonCount,buttonWithoutTargetGraphicCount,clickValidation
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","true","true","556","540","2","325","0","1","58","19","0","405","203","19","19","18","0","validated:component_only_raycast_ready_18_of_19"
"battle_3d_overlay_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_battle3dui.prefab","true","true","27","27","4","1","0","0","0","1","0","5","7","1","1","1","0","validated:component_only_raycast_ready_1_of_1"
"actor_heroitem_template","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle_heroitem.prefab","true","false","62","39","2","22","0","0","1","0","15","17","19","0","0","0","0","deferred:no_resolved_Button_component"
"buff_icon_left_template","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/item_buff_left.prefab","true","false","19","19","0","15","0","0","0","0","0","15","7","0","0","0","0","deferred:no_resolved_Button_component"
"buff_icon_right_template","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/item_buff_right.prefab","true","false","19","19","0","15","0","0","0","0","0","15","7","0","0","0","0","deferred:no_resolved_Button_component"
"pause_panel_entry","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle_pause.prefab","true","false","14","14","1","6","0","0","3","2","0","15","1","2","2","2","0","validated:component_only_raycast_ready_2_of_2"
"skip_panel_entry","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle_skipview.prefab","true","false","41","41","2","2","0","0","0","1","1","7","39","1","1","1","0","validated:component_only_raycast_ready_1_of_1"
"test_battle_ui_entry","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_testbattle.prefab","true","false","37","37","1","23","0","5","0","3","0","30","3","3","3","3","0","validated:component_only_raycast_ready_3_of_3"
"winlose_entry_victory_spine_base","assets/download/ui/uiprefabandres/winlose_ext_prefabs/victory_spine_base.prefab","true","false","47","47","0","2","0","0","0","0","0","1","49","0","0","0","0","deferred:no_resolved_Button_component"
"winlose_entry_victory_spine_base2","assets/download/ui/uiprefabandres/winlose_ext_prefabs/victory_spine_base2.prefab","true","false","31","31","0","0","0","0","0","0","0","0","35","0","0","0","0","deferred:no_resolved_Button_component"
