id,kind,bundle,absolutePath,priority,hudScopes
hud_000,battle_hud_prefab,download/ui/uiprefabandres/battle.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle.assetbundle,100,HP/MP bars;auto/speed/pause/skip;root canvas/camera/scaler;skill indicators;wave/round/timer
hud_001,battle_hud_prefab_ext,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,95,HP/MP bars;auto/speed/pause/skip;root canvas/camera/scaler;skill indicators;wave/round/timer
hud_002,battle_result_prefab,download/ui/uiprefabandres/winlose.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\winlose.assetbundle,94,settlement;win/lose/result panel entry points
hud_003,battle_result_prefab_ext,download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\winlose_ext_prefabs.assetbundle,90,settlement;win/lose/result panel entry points
hud_004,battle_sprite_atlas,download/artsources/uispriteres/uibattle.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uibattle.assetbundle,88,bars;battle HUD sprite slices;buttons
hud_005,buff_icon_atlas,download/artsources/uispriteres/uibufficon.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uibufficon.assetbundle,86,shield/buff/debuff icons
hud_006,hurt_number_atlas,download/artsources/uispriteres/uihurtnum.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uihurtnum.assetbundle,86,damage/heal/critical/floating text sprites
hud_007,actor_head_atlas,download/artsources/uispriteres/uiheroheadbattle.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uiheroheadbattle.assetbundle,82,actor head icons;actor name/level/side/slot labels
hud_008,battle_hud_prefab_ext,download/ui/uiprefabandres/battle_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_1.assetbundle,82,HP/MP bars;auto/speed/pause/skip;root canvas/camera/scaler;skill indicators;wave/round/timer
hud_009,battle_hud_prefab_ext,download/ui/uiprefabandres/battle_ext_2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_2.assetbundle,78,HP/MP bars;auto/speed/pause/skip;root canvas/camera/scaler;skill indicators;wave/round/timer
hud_010,battle_hud_prefab_ext,download/ui/uiprefabandres/battle_ext_3.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_3.assetbundle,78,HP/MP bars;auto/speed/pause/skip;root canvas/camera/scaler;skill indicators;wave/round/timer
hud_011,battle_hud_prefab_ext,download/ui/uiprefabandres/battle_ext_4.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_4.assetbundle,78,HP/MP bars;auto/speed/pause/skip;root canvas/camera/scaler;skill indicators;wave/round/timer
hud_012,battle_result_prefab_ext,download/ui/uiprefabandres/winlose_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\winlose_ext_1.assetbundle,76,settlement;win/lose/result panel entry points
hud_013,battle_result_prefab_ext,download/ui/uiprefabandres/winlose_ext_2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\winlose_ext_2.assetbundle,76,settlement;win/lose/result panel entry points
