id,nameKey,nameKo,rarity,rankLevel,level,levelSource,roleKey,roleKo,profession,expert,camp,isPet,modelId,modelFound,prefabId,battleActorBundle,battleActorBundleExists,battleSpineSkeletonData,battleSpineAtlas,battleSpineTexture,headSprite,headImage,headImageExists,cardImageName,cardImage,paintingImage,paintingImageName,nameSpineSkeletonData,nameSpineAtlas,nameSpineTexture,skin,skillIdList,baseHp,baseAtk,baseDef,introKey,introKo,datatableEvidence
1001,heroname_1001,츠루히메,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1001,수평 공격・ 지속 피해,3,0,1,0,1001,True,1001,download/roleprefabsandres/battleprefabandres/1001.assetbundle,True,extracted/unity/bundles/b_b39866f560e64bb6/textassets/4058588034073678322_1001.skel.txt,extracted/unity/bundles/b_b39866f560e64bb6/textassets/-266615414835539183_1001.atlas.txt,extracted/unity/bundles/b_b39866f560e64bb6/images/T/-584683105162990561_1001.png,head1001,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-8812393343277448458_head1001.png,True,noalphabg_Tujian_1001,extracted/unity/bundles/b_4b5f2d65cb02985b/images/S/-990156369049720585_noalphabg_Tujian_1001.png,extracted/unity/bundles/b_4b5f2d65cb02985b/images/T/-7320570872213371390_Painting_1001.png,Painting_1001,extracted/unity/bundles/b_4b5f2d65cb02985b/textassets/4160177333152483287_SP_heroname_1001.skel.txt,extracted/unity/bundles/b_4b5f2d65cb02985b/textassets/3992961392396818130_SP_heroname_1001.atlas.txt,extracted/unity/bundles/b_4b5f2d65cb02985b/images/T/-817718915490956892_SP_heroname_1001.png,11001,1001101|1001201|1001301|1001302|1001302|1001401|1001402|1001403|1001202|1001404|1001303|1001405|1001406,909,171,125,intro1001,"무엇이든 다 잘하고 싶은 소녀. 서투르고 부주의하며, 너무 과한 노력과 재수도 없어 항상 자신의 마음과 다르게 결과가 좋지 않다. 세상이 그녀를 거부하는 듯 했다. 하지만 특유의 착한 성격과 끈기로 포기하지 않았고, 언젠가 자신을 증명해 보일 수 있는 날이 오기를 기다린다. 그녀의 끈기와 따뜻함은 정말이지 사랑스럽다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1002,heroname_1002,차차,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1002,전체 치유・ 방어 금지,2,2,3,0,1002,True,1002,download/roleprefabsandres/battleprefabandres/1002.assetbundle,True,extracted/unity/bundles/b_a11e4439fd9a0a50/textassets/1665224429881118700_1002.skel.txt,extracted/unity/bundles/b_a11e4439fd9a0a50/textassets/3373340142783789617_1002.atlas.txt,extracted/unity/bundles/b_a11e4439fd9a0a50/images/T/2058673591951818171_1002.png,head1002,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-296058673418415307_head1002.png,True,noalphabg_Tujian_1002,extracted/unity/bundles/b_fbbe84b5a1ff18bf/images/S/-7839190934004406458_noalphabg_Tujian_1002.png,extracted/unity/bundles/b_fbbe84b5a1ff18bf/images/T/6245164188049480471_Painting_1002.png,Painting_1002,extracted/unity/bundles/b_fbbe84b5a1ff18bf/textassets/2623879125656475695_SP_heroname_1002.skel.txt,extracted/unity/bundles/b_fbbe84b5a1ff18bf/textassets/-8243922857581199403_SP_heroname_1002.atlas.txt,extracted/unity/bundles/b_fbbe84b5a1ff18bf/images/T/3162962339210597450_SP_heroname_1002.png,11002,1002101|1002201|1002301|1002302|1002302|1002401|1002402|1002403|1002202|1002404|1002303|1002405|1002406,909,171,125,intro1002,"천진난만, 쾌활한 소녀. 엄청난 미식가이며, 식탐까지 있다. 간혹 유치한 장난을 많이 치지만, 귀여운 모습에 다들 그냥 넘어가는 편이다. 삼시세끼를 다 챙겨먹어야 하고, 그중에서 경단을 제일 좋아한다. 경단이 곧 진리라고 생각하는 차차는 경단의 신이 있다고 생각하며 자신에게 경단처럼 맛있는 힘을 주기를 원한다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1003,heroname_1003,란슬롯,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1003,피격 반사・ 전체 강화,1,0,4,0,1003,True,1003,download/roleprefabsandres/battleprefabandres/1003.assetbundle,True,extracted/unity/bundles/b_9b2141a9488aa326/textassets/-2524534235094107981_1003.skel.txt,extracted/unity/bundles/b_9b2141a9488aa326/textassets/8452544864890890599_1003.atlas.txt,extracted/unity/bundles/b_9b2141a9488aa326/images/T/-3179231369703408322_1003.png,head1003,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-7705346780790675844_head1003.png,True,noalphabg_Tujian_1003,extracted/unity/bundles/b_ed45c114706df365/images/S/-3710245112668969475_noalphabg_Tujian_1003.png,extracted/unity/bundles/b_ed45c114706df365/images/T/7715983756262285300_Painting_1003.png,Painting_1003,extracted/unity/bundles/b_ed45c114706df365/textassets/-5192450536819630593_SP_heroname_1003.skel.txt,extracted/unity/bundles/b_ed45c114706df365/textassets/4371338846701044624_SP_heroname_1003.atlas.txt,extracted/unity/bundles/b_ed45c114706df365/images/T/-3038530591516129585_SP_heroname_1003.png,11003,1003101|1003201|1003301|1003302|1003302|1003401|1003402|1003403|1003202|1003404|1003303|1003405|1003406,1148,142,189,intro1003,"악을 증오하고 정의, 정직, 고결함을 상징하는 기사단 소녀. 어떤 이유인지는 모르겠지만 사람들이 무서워하는 가면을 쓰고 다닌다. 그러다보니 가면에 얽힌 유언비어들이 무성했다. 모두들 그녀가 가면을 벗고 아름다운 얼굴을 보여주길 기다린다. 그녀는 자신의 죄업을 사라지게 해줄 진정한 주군을 만나 성검의 서약을 하고 싶어 한다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1004,heroname_1004,모리 란마루,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1004,강한 회복・ 강한 생명력,2,2,3,0,1004,True,1004,download/roleprefabsandres/battleprefabandres/1004.assetbundle,False,,,extracted/unity/bundles/b_cb64f9708198c6de/images/T/-8576326151651316363_1004.png,head1004,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-5748400945148400639_head1004.png,True,noalphabg_Tujian_1004,,extracted/unity/bundles/b_cb64f9708198c6de/images/T/-8576326151651316363_1004.png,1004,,,,11004,1004101|1004201|1004301|1004302|1004302|1004401|1004402|1004403|1004202|1004404|1004303|1004405|1004406,1005,157,157,intro1004,"노부나가를 극도로 존경하고 숭배하는 소녀. 노부나가를 제외한 사람들에게 모두 차가운 태도로 무시한다. 인정받기 위해 인내하고, 목적을 위해 스스로 혹독하게 채찍질한다. 그런 철두철미한 모습에 적들 마저 그런 그녀를 매우 두려워했다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1005,heroname_1005,링링,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1005,강력DPS 전체 강화,2,2,2,0,1005,True,1005,download/roleprefabsandres/battleprefabandres/1005.assetbundle,True,extracted/unity/bundles/b_dbb6eb9e5987445e/textassets/-1895158817921135352_1005.skel.txt,extracted/unity/bundles/b_dbb6eb9e5987445e/textassets/-1816495139156837413_1005.atlas.txt,extracted/unity/bundles/b_dbb6eb9e5987445e/images/T/6434492547273058491_1005.png,head1005,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-5835513882802061140_head1005.png,True,noalphabg_Tujian_1005,extracted/unity/bundles/b_a47980c73bab4250/images/S/2762434863806027550_noalphabg_Tujian_1005.png,extracted/unity/bundles/b_a47980c73bab4250/images/T/-1388925835232960436_Painting_1005.png,Painting_1005,extracted/unity/bundles/b_a47980c73bab4250/textassets/7884510430429545721_SP_heroname_1005.skel.txt,extracted/unity/bundles/b_a47980c73bab4250/textassets/5081366588584777480_SP_heroname_1005.atlas.txt,extracted/unity/bundles/b_a47980c73bab4250/images/T/-3719539670443368749_SP_heroname_1005.png,11005,1005101|1005201|1005301|1005302|1005302|1005401|1005402|1005403|1005202|1005404|1005303|1005405|1005406,909,171,125,intro1005,"부드러운 말투의 차분한 소녀. 내면에는 강인함이 숨겨져 있다. 섬세하고 감성적이다. 가사일을 좋아하고 남을 잘 돌본다. 고향에서 항상 마을 아이들을 돌봐주었다. 현모양처라는 단어가 아마 그녀를 표현하는데 가장 적절하지 않을까 싶다. 아마테라스의 부름을 받고 구원자를 안내하고, 그들과 여행을 떠난다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1006,heroname_1006,마에다 도시이에,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1006,제어형 탱크・ 전의 통제,1,0,1,0,1006,True,1006,download/roleprefabsandres/battleprefabandres/1006.assetbundle,True,extracted/unity/bundles/b_5bdd8f1dad5c9079/textassets/-3833828236364966786_1006.skel.txt,extracted/unity/bundles/b_5bdd8f1dad5c9079/textassets/8580260667904424847_1006.atlas.txt,extracted/unity/bundles/b_5bdd8f1dad5c9079/images/T/-366846073795031237_1006.png,head1006,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-2369628884968465642_head1006.png,True,noalphabg_Tujian_1006,,extracted/unity/bundles/b_255f3c2f548b9c6d/images/T/6796732660719253877_Painting_1006.png,Painting_1006,,,,11006,1006101|1006201|1006301|1006302|1006302|1006401|1006402|1006403|1006202|1006404|1006303|1006405|1006406,1148,142,189,intro1006,창의 마타자로 불릴만큼 창술에 뛰어난 소녀. 한때 노부나가의 부하였지만 어떠한 연유로 추방당하고 만다. 귀족의 신분으로 태어났지만 뭔가 날것의 야성적인 느낌과 강한 기운이 느껴진다.,DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1007,heroname_1007,마에다 케이지,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1007,불굴의 탱크・ 용맹형 적수,1,0,2,0,1007,True,1007,download/roleprefabsandres/battleprefabandres/1007.assetbundle,True,extracted/unity/bundles/b_ac5cb316b5cac1f6/textassets/3116699401450808646_1007.skel.txt,extracted/unity/bundles/b_ac5cb316b5cac1f6/textassets/4791658922285621100_1007.atlas.txt,extracted/unity/bundles/b_ac5cb316b5cac1f6/images/T/6374665951330931904_1007.png,head1007,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-1086595787566369161_head1007.png,True,noalphabg_Tujian_1007,,extracted/unity/bundles/b_5a04f9d03fb42400/images/T/559298052789325053_1007.png,1007,,,,11007,1007101|1007201|1007301|1007302|1007302|1007401|1007402|1007403|1007202|1007404|1007303|1007405|1007406,1148,142,189,intro1007,"성숙한 춤으로 만인의 여자가 되고 싶은 소녀. 하지만 작은 체형으로 귀엽다는 말을 더 많이 듣는다. 기생들의 동작을 따라하며 ""유혹""하려 하지만 어린애 취급을 받으며, 모두 장난을 치고 있다고 생각한다. 그래서 그녀는 유독 ""귀엽다"" 라는 말에 민감해 했고, ""성숙미""에 집착했다. 하지만 그녀의 검술에 대적할 상대는 없었다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1008,heroname_1008,옥타비아누스,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1008,회복형 탱크・ 불사신,1,0,3,0,1008,True,1008,download/roleprefabsandres/battleprefabandres/1008.assetbundle,True,extracted/unity/bundles/b_9a032532d137bbe3/textassets/-7838107686927545810_1008.skel.txt,extracted/unity/bundles/b_9a032532d137bbe3/textassets/1802345466098125769_1008.atlas.txt,extracted/unity/bundles/b_9a032532d137bbe3/images/T/-83085701551060020_1008.png,head1008,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-6016372164841081108_head1008.png,True,noalphabg_Tujian_1008,extracted/unity/bundles/b_5bbd4c446920eda4/images/S/-7341751053329972403_noalphabg_Tujian_1008.png,extracted/unity/bundles/b_5bbd4c446920eda4/images/T/998910774356826725_Painting_1008.png,Painting_1008,extracted/unity/bundles/b_5bbd4c446920eda4/textassets/-8700033985595788947_SP_heroname_1008.skel.txt,extracted/unity/bundles/b_5bbd4c446920eda4/textassets/918340396043267164_SP_heroname_1008.atlas.txt,extracted/unity/bundles/b_5bbd4c446920eda4/images/T/1031660205262309295_SP_heroname_1008.png,11008,1008101|1008201|1008301|1008302|1008302|1008401|1008402|1008403|1008202|1008404|1008303|1008405|1008406,1148,142,189,intro1008,"하녀 코스프레를 좋아하는 소녀. 어떠한 다른 계획이 있어보이지만, 안타깝게도 그녀의 위대한 계획은 여러가지 이유들로 실패한다. 하지만 그저 하녀복을 좋아하는 그녀가 나쁜 마음을 먹으면 얼마나 나쁠 수 있을까.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1009,heroname_1009,사루토비 사스케,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1009,강력한 치명타・ 불꽃 구원투수,3,0,3,0,1009,True,1009,download/roleprefabsandres/battleprefabandres/1009.assetbundle,True,extracted/unity/bundles/b_959460708908a662/textassets/2757294314663111705_1009.skel.txt,extracted/unity/bundles/b_959460708908a662/textassets/8936886021194402913_1009.atlas.txt,extracted/unity/bundles/b_959460708908a662/images/T/5949146477609844284_1009.png,head1009,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-5919616633363533051_head1009.png,True,noalphabg_Tujian_1009,,extracted/unity/bundles/b_a523c41f7c579b2d/images/T/-1394604809910889715_1009.png,1009,,,,11009,1009101|1009201|1009301|1009302|1009302|1009401|1009402|1009403|1009202|1009404|1009303|1009405|1009406,909,171,125,intro1009,"극도로 활발하고 쾌활한 닌자 소녀. 그녀의 닌자술은 신의 경지로 매우 뛰어났다. 자신의 실력으로 많은 임무들을 수행하며 엄청난 부를 쌓았지만, 그중에 간혹 나쁜 임무도 있었다. 그녀는 돈보다 소중한 것이 있다면, 모든 것을 걸고 자신이 지켜낼 것이라 다짐한다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
1010,heroname_1010,세미라미스,4,2,,catalog_static_no_runtime_level; battle payload rows carry lockLevel/rankLevel,location1010,고대의 독・ 전체 피해,3,0,2,0,1010,True,1010,download/roleprefabsandres/battleprefabandres/1010.assetbundle,True,extracted/unity/bundles/b_947cf34fb28da4b0/textassets/8300897302303171248_1010.skel.txt,extracted/unity/bundles/b_947cf34fb28da4b0/textassets/808153855290952132_1010.atlas.txt,extracted/unity/bundles/b_947cf34fb28da4b0/images/T/-3091776730277471182_1010.png,head1010,extracted/unity/bundles/b_6ca02dad4f8af848/images/S/-2155862227574749595_head1010.png,True,noalphabg_Tujian_1010,extracted/unity/bundles/b_4b4c6b2bf25349c3/images/S/-6071689529176577637_noalphabg_Tujian_1010.png,extracted/unity/bundles/b_4b4c6b2bf25349c3/images/T/-9138262392885229816_Painting_1010.png,Painting_1010,extracted/unity/bundles/b_4b4c6b2bf25349c3/textassets/4538367315468844422_SP_heroname_1010.skel.txt,extracted/unity/bundles/b_4b4c6b2bf25349c3/textassets/868785946277021321_SP_heroname_1010.atlas.txt,extracted/unity/bundles/b_4b4c6b2bf25349c3/images/T/-3805977791848056794_SP_heroname_1010.png,11010,1010101|1010201|1010301|1010302|1010302|1010401|1010402|1010403|1010202|1010404|1010303|1010405|1010406,909,171,125,intro1010,"입만 열면 독설로 사람들에게 상처를 주는 소녀. 사실 그녀의 독설은 부끄러움을 감추기 위함이었고, 남들에게 독설하고 비아냥 거릴 때마다 속으로 엄청 후회한다. 이런 모순된 마음이 그녀 혼자 있을 때, 그녀가 되고 싶은 상상 속의 대상과 서로 대화하기도 한다.",DTHeroEntity -> DTmodelEntity; DTLangBattle/DTLangCommon; unity_images/unity_textassets indexes
