bundle,component_path_id,game_object_id,game_object_name,script_id,sprite_ref,material_ref,raycast_target,maskable,image_type,preserve_aspect,fill_method,fill_amount,color_r,color_g,color_b,color_a
download/ui/uiprefabandres/maininterface.assetbundle,-9222968706698306483,8666480542967982485,im_bg,-7030229213176759517,1:3767306702705834126,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9221180739824337541,6035669282862624489,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9198850071488046353,5688957898734943970,im_qipao1,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9192694981992067958,-5897180191770163959,bg_ditu,-7030229213176759517,3:-3583236969578776251,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9141229709530014860,9208864584828972610,im_kai,-7030229213176759517,8:8567226860985364068,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9119517270372078976,-739438087074354188,UI_bg,1242602534869556086,9:4648636570285078741,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9100342123053820732,-3538721197649515150,im_zhuangshi,-7030229213176759517,3:7073782107816661200,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9099952409312592063,6504023615553344529,input_3,-7030229213176759517,1:5486019642746247449,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9093056694265504684,3498737521722268994,warn_icon,1242602534869556086,11:-3463130419380364082,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9085582221566858819,-2270298199637752535,btn_yueka,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9068314485446055717,5617362597341813501,im_temporary_buff_Icon,1242602534869556086,13:-6706942253580952254,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9062549879810490451,5140802342601422660,btn_shangdian,-7030229213176759517,1:6617065208850742552,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9053803089037643406,-7854660943221330424,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9017624700360926612,-6592589273927292500,bg_set4,-7030229213176759517,1:8289117381427851916,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9011806713471101554,2445615007217633956,btn_go,-7030229213176759517,1:-3687368163992476616,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8996450508935789596,4243502778533821233,btn_qianghua,-7030229213176759517,8:3133559700552656058,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8985539667518180610,1468830982883555561,im_kai,-7030229213176759517,8:8567226860985364068,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8970169867621974275,-6658333135029825021,btn_huodong3,1242602534869556086,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8968548341628809593,3666887709237655095,im_face_icon,1242602534869556086,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8961032515968333731,8601611557098410749,im_round,-7030229213176759517,1:-6190256265202697880,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8959983922777908350,6050258275340965824,bg_mohuzhezhao,-7030229213176759517,0,0,0,1,0,0,4,1.0,0.0,0.0,0.0,0.47058823704719543
download/ui/uiprefabandres/maininterface.assetbundle,-8950316643970423666,-6692964299494375647,btn_fanhui,-7030229213176759517,8:1154577011564608905,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8928639130288303437,-5800019894487341267,btn_yincang,-7030229213176759517,3:-5556123453550250841,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8913075507972642051,389841532357394928,btn_act,-7030229213176759517,38861690050489314,0,1,1,1,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-8874427392270188134,3104671633234757760,btn_marry,1242602534869556086,8:-3970936928279692334,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8811032502264699446,-8616680438288117541,mask_notice,-7030229213176759517,-2320101112833093935,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8808742718043861372,-7197213230815142906,im_xuanzhong,-7030229213176759517,1:-3341524470259435328,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8778855844622558047,7021813262506456690,im_city_qipaoup2,-7030229213176759517,3:8230669418663780938,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8715019992654061951,-466875203844757278,btn_all,1242602534869556086,1:7663755524743813899,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8692715591144120712,2927634452078665020,bg_ditu,-7030229213176759517,3:-3583236969578776251,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8671459615763160602,-254005949419678723,btn_line,-7030229213176759517,11:-5743042215515589593,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8632761326470466012,-538706942045199029,im_qipao1,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8624608798422355141,-1803652809405326520,funhandbook_img,-7030229213176759517,11:-397911510302451416,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8619990807793159525,-2402655198330840544,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8589803945571585058,-1632007376296743628,im_summonpet_new,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8575969523061148081,4702909141101028920,p_chat_private_head,1242602534869556086,1:-8484185493004443083,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8539779251835337204,-4693892514567648628,bg_ditu,-7030229213176759517,1:3767306702705834126,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8518042784984868961,2479739931596025244,im_lover,1242602534869556086,1:-5862618822027723571,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8515934442750250836,5992321404387670060,Image,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-8511341317254472738,-6843216142695443089,im_fengxian2,-7030229213176759517,1:-388399315194175388,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8502604518238808353,-5624018882503145775,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8468165472734609075,530437044889353301,sound_off,-7030229213176759517,8:7618730662003263700,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8463006134225742955,595394027382119130,im_onlyUseAttTips,-7030229213176759517,1:2167273918361574048,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8462250650005508946,143731758941659153,im_dot,-7030229213176759517,1:-2271749065223651739,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8443444011742696380,-1487472682834102742,bg_zhezhao,-7030229213176759517,0,0,0,1,0,0,4,1.0,0.15294118225574493,0.1568627506494522,0.5254902243614197,0.10196078568696976
download/ui/uiprefabandres/maininterface.assetbundle,-8437504355871839712,-6313074656178493937,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8426518573507292908,2044657327016392991,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8423527114507180604,-8941736887647107992,bg,-7030229213176759517,1:-6260708255479593176,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8377730107825361291,-7648149541268916334,Viewport,-7030229213176759517,-2320101112833093935,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8349685501173178226,5711941155583718438,im_on,-7030229213176759517,8:-7228277309881816607,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8345742548080147690,1715590308689370597,Image,-7030229213176759517,11:7397200574302499367,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8291296213969346447,-4968405805457616892,im_round,-7030229213176759517,1:-6190256265202697880,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8260568205126050787,102081521486084841,bg_mohuzhezhao,-7030229213176759517,0,0,0,1,0,0,4,1.0,0.0,0.0,0.0,0.47058823704719543
download/ui/uiprefabandres/maininterface.assetbundle,-8254699646475310341,-8636894632507016656,im_bg,-7030229213176759517,1:-1182126779076344239,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8201573253639036947,-3813834853888882469,Checkmark,-7030229213176759517,1:-4466887312369507679,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8188943564525174049,4938571343597151654,im_start2,-7030229213176759517,1:-3991815054087902777,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8186646875550090425,-8921539976432059485,im_fengxian2,-7030229213176759517,1:-388399315194175388,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8160918663908728175,8874385273340425112,im_renwu,-7030229213176759517,3:-1041228431721065888,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8132973666517048800,-3958085157751211592,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
