bundle,path_id,game_object_id,game_object_name,game_object_active,father_id,father_name,child_ids,anchor_min_x,anchor_min_y,anchor_max_x,anchor_max_y,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,pivot_x,pivot_y,local_pos_x,local_pos_y,local_pos_z,local_scale_x,local_scale_y,local_scale_z
download/ui/uiprefabandres/maininterface.assetbundle,-9218882134003513103,1475413306827879235,bg,True,-8741851040598254191,,5393125369431159124;-2992576093108714442;6155679121026090349;-256084579613889624;8907339625383667941;4719733307146564116;-7295617886841680045;-1126986055711903423;885546718875818170;7033825448619731151,0.5,0.5,0.5,0.5,0.0,30.0,608.0,296.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9209347104461309832,5031097393348093697,bg_name,False,8444910397335596046,,2121041330272079105,0.0,1.0,0.0,1.0,3.100006103515625,0.0,56.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9190644805206880839,-5637072908798707947,Renderer20,False,-4598243874201664563,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9187470536547034892,2822546135608862477,root_red_fix,True,-1732933284312421217,,5237202988806147218,0.5,0.5,0.5,0.5,26.0,26.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9180670407118076205,7000841526401403172,SkeletonGraphic (hongdian01),False,-931540781044641590,,,0.5,0.5,0.5,0.5,0.0,0.0,33.0,32.0,0.5151515007019043,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9175449438888679380,-8790429359611917442,jiarutishi6,False,-8086237336721494818,,4931415888997160304,0.5,0.5,0.5,0.5,-166.0,318.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9167957265922100291,2706501749471202877,pop_Content,True,-2676247903786434401,,4093325246576984847;335310423175242409;-7439923719705402882;6332908192511171494;-1534023533238146764;-1501419673699854463;7113552466533076214;4420527479295269076;-9114602306741388876,0.5,0.5,0.5,0.5,-0.0,26.0,608.0,580.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9149647128896630310,-4052542709859237450,text_num,False,5743858256472703651,,,0.5,0.5,0.5,0.5,0.0,0.0,40.0,30.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9138204023542992015,8182931624728516534,mask,True,5568884429252053541,,-4297991356429001013;1516559955701054074,0.0,0.5,1.0,0.5,0.0,0.0,0.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9127774865139156643,-3211364850156125167,root_taskNotice,False,-7709903567246479490,,-3554275595740588331;459395314905934036;6962864708239999458;-2275930073253221663;5275839802377024791,0.5,0.5,0.5,0.5,343.10003662109375,-12.89996337890625,322.0,80.0,0.5,0.5,0.0,0.0,0.0,0.949999988079071,0.949999988079071,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9114602306741388876,3259863388441344583,btn_baocun,True,-9167957265922100291,,8917978688622219178,0.5,0.0,0.5,0.0,167.0,53.0,228.0,63.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9096751121470744188,1641594407972160086,Renderer20,False,1940689361009882882,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9096701703858665559,5410741362853330316,im_redpoint_funhandbook,False,7845553199416412129,,-7175557618146544358;8282134335013553043,0.5,0.5,0.5,0.5,18.0,19.5,27.0,27.0,0.5,0.5,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9086328333865767284,3083949444157497813,Image,True,-2474024227687465692,,,0.5,0.5,0.5,0.5,0.0,0.0,2500.0,2000.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9078646832146279541,-7446042330673923623,head_yuan150,True,955088791966696185,,-2434472612666855973;4817799507735568238;3280330884289973134;1960010429010490712,0.5,0.5,0.5,0.5,0.0,0.0,150.0,150.0,0.5,0.5,0.0,0.0,0.0,0.6299999952316284,0.6299999952316284,0.6299999952316284
download/ui/uiprefabandres/maininterface.assetbundle,-9075104532390718781,5702423596433342886,Image,True,1445380050083804015,,,0.5,0.5,0.5,0.5,0.0,0.0,342.0,135.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9059126300892919177,1437234691971142958,im_fight_red,False,8323302097355927964,,-2004332231546588790,0.5,0.5,0.5,0.5,40.0,70.0,27.0,27.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9050064193153203824,557248178706601804,im_qipao1,False,-3817517230233315748,,7801758371330488663,0.5,0.5,0.5,0.5,40.0,70.0,36.0,33.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9047331040974660233,-829607632274919997,un_MainInterface_fire,False,-3930377403474185176,,-503878450261988387,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9039792500208825851,-1374168847233985847,select_num_img,True,-7939757390251181673,,,0.5,0.5,0.5,0.5,0.0,0.0,26.0,34.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9038556042664949858,-7164761427818791499,txt_act_name,True,-4607820658579468155,,,0.5,0.5,0.5,0.5,0.0,-36.0,90.0,14.010000228881836,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9030225777943120210,-9150197433497601501,Renderer47,False,-4598243874201664563,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9026556915798597321,7843091743582124696,btn_act_3,True,-6697018699563164382,,7793004757606175778;6424475869775191271;5525877200523027916;-2519843682387849254;5782821645448639093;6552859661253289362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9026409384911866612,6829488236386157781,im_qipao2,True,8200385986759628221,,,0.5,0.5,0.5,0.5,12.54991340637207,29.00000762939453,30.0,30.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9024846189630148746,-7706293013834960964,Renderer11,False,-7124818692613558310,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9022672459704736657,5992321404387670060,Image,True,-2677669661497995812,,,0.5,0.5,0.5,0.5,0.0,0.0,2500.0,2000.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9006031666404957882,-2953389088978302027,Renderer9,False,-3554275595740588331,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9003885854906212706,8910731253140585657,text,True,6527999150919673281,,,0.5,0.5,0.5,0.5,-1.0,3.0,100.0,30.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9003613713569164504,-7776038682855926231,text_num,False,-8231863444120917264,,,0.5,0.5,0.5,0.5,0.0,0.0,40.0,30.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8997358644525314395,-739774170553967288,text_num,False,8371079076259191397,,,0.5,0.5,0.5,0.5,0.0,0.0,40.0,30.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8983757685903538481,-361521738298487153,im_fengxian,True,-7657983126192800822,,,0.5,0.5,0.5,0.5,-262.0,-151.0,500.0,12.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8969620125235493429,-4376411817997070536,im_new,False,1248986861928385883,,-6613396453356545719,0.5,0.5,0.5,0.5,37.0,73.30000305175781,27.0,27.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8967619348659299037,5048071749595073671,SkeletonGraphic (hongdian01),False,4491983719836190656,,,0.5,0.5,0.5,0.5,0.0,0.0,33.0,32.0,0.5151515007019043,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8964177782053028160,-3081033315441176970,bg_guanzhi,True,-2194597288458085354,,8964452163957540604,1.0,0.5,1.0,0.5,-241.89999389648438,41.5,160.0,117.0,0.5,0.5,0.0,0.0,0.0,0.6000000238418579,0.6000000238418579,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8963580708010450088,-2097571399620498979,root_red_special,True,-8188086455615052899,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8959560924587426541,9019926427908895691,Renderer8,False,3122424037418622381,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8953754584111101858,-6101740150280731012,RedDot,True,3267976971513925781,,-3001225574448882450,0.5,0.5,0.5,0.5,0.0,0.0,27.0,27.0,0.5,0.5,0.0,0.0,0.0,0.800000011920929,0.800000011920929,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8944789959033101677,-7862708552022441597,Renderer26,False,3122424037418622381,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8940325714194732415,-7923721367020523641,bg_jingyan,True,-2194597288458085354,,8130398403142678456,1.0,0.5,1.0,0.5,-297.20001220703125,2.4000000953674316,113.0,112.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8937506872554711845,-5370561409446635242,im_num,True,1438530466058082924,,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8927223249245901429,8599082713812629729,RedDot,True,4205489122990720985,,4767657109391419560,0.5,0.5,0.5,0.5,0.0,0.0,27.0,27.0,0.5,0.5,0.0,0.0,0.0,0.800000011920929,0.800000011920929,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8922558372551875431,659157052265032647,Slider2,True,-7439923719705402882,,1728326320639221127;-5608452871522361105;6076344091135745319,0.5,0.5,0.5,0.5,1.100000023841858,-64.89999389648438,552.0,16.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8918077397217582902,2957941445581383747,txt_act_name,True,4702396179718381985,,,0.5,0.5,0.5,0.5,0.0,-36.0,90.0,14.010000228881836,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8911614877487127355,8596691101592388550,spine_root,True,-750631173187271258,,,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0,0.8999999761581421,0.8999999761581421,0.699999988079071
