bundle,size,sha256,versionfile_res_offset,first_unityfs_offset,used_offset,is_prefix_obfuscated,clean_slice,status,object_count,type_counts
download/artsources/uispriteres/uibutton.assetbundle,1172087,4ab77a5310654f02d9e5c04d75fd89015d7996429d8b5eab1c5935a2ac107043,0,2453,2453,True,extracted/unity/clean_unityfs_slices/download/artsources/uispriteres/uibutton.assetbundle,ok,189,"{""Sprite"": 186, ""Texture2D"": 1, ""AssetBundle"": 1, ""SpriteAtlas"": 1}"
download/artsources/uispriteres/uicommonother.assetbundle,2963384,1caefd7c9759369a6c38ecb10c2949fb562125d4db55dff61a9e6b05edef3a5d,0,2454,2454,True,extracted/unity/clean_unityfs_slices/download/artsources/uispriteres/uicommonother.assetbundle,ok,550,"{""Sprite"": 545, ""Texture2D"": 3, ""AssetBundle"": 1, ""SpriteAtlas"": 1}"
download/artsources/uispriteres/uimaininterface.assetbundle,1181919,fe95f7862ede4a0b296459025a84cdaeb7b4f7301982a8df745d404293c6e34d,0,3816,3816,True,extracted/unity/clean_unityfs_slices/download/artsources/uispriteres/uimaininterface.assetbundle,ok,145,"{""Sprite"": 142, ""SpriteAtlas"": 1, ""AssetBundle"": 1, ""Texture2D"": 1}"
download/artsources/uispriteres/uimaininterface2.assetbundle,404148,81e96d999dc6990ec8b56ba328472bfa8b30c1513938ef25a42a4ebd40f0bcaa,0,1365,1365,True,extracted/unity/clean_unityfs_slices/download/artsources/uispriteres/uimaininterface2.assetbundle,ok,73,"{""Sprite"": 70, ""AssetBundle"": 1, ""Texture2D"": 1, ""SpriteAtlas"": 1}"
download/ui/uiprefabandres/common.assetbundle,3362431,2dc0bd14c40dd41d300f19f8cda51a2b3ce69482a5e43575fa1106983854c0f6,0,1366,1366,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/common.assetbundle,ok,16580,"{""MonoBehaviour"": 4314, ""GameObject"": 3979, ""RectTransform"": 3833, ""CanvasRenderer"": 3123, ""ParticleSystem"": 284, ""ParticleSystemRenderer"": 284, ""Transform"": 146, ""Animator"": 109, ""Canvas"": 80, ""AnimationClip"": 79, ""CanvasGroup"": 66, ""Material"": 52, ""TextAsset"": 52, ""MonoScript"": 43, ""AnimatorController"": 40, ""Texture2D"": 36, ""MeshRenderer"": 17, ""MeshFilter"": 17, ""MeshCollider"": 16, ""Sprite"": 6, ""Shader"": 2, ""Mesh"": 1, ""AssetBundle"": 1}"
download/ui/uiprefabandres/common_2.assetbundle,3033345,a3dc23ea8db2430aa5b1336ad6b47d7438f2021152e5c4a81375e6fdda47b9af,0,2456,2456,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/common_2.assetbundle,ok,163,"{""Texture2D"": 41, ""Sprite"": 33, ""GameObject"": 15, ""MonoBehaviour"": 15, ""RectTransform"": 13, ""MonoScript"": 9, ""Material"": 7, ""CanvasRenderer"": 7, ""ParticleSystem"": 6, ""ParticleSystemRenderer"": 6, ""TextAsset"": 4, ""Transform"": 2, ""AnimatorController"": 1, ""AnimationClip"": 1, ""AssetBundle"": 1, ""Animator"": 1, ""Shader"": 1}"
download/ui/uiprefabandres/common_3.assetbundle,1124892,e1b6f3695ec68a57ae0a8e474b7605fc8d3b1a18c58792dd838edfef0fd1729a,0,2456,2456,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/common_3.assetbundle,ok,857,"{""GameObject"": 188, ""MonoBehaviour"": 150, ""RectTransform"": 132, ""CanvasRenderer"": 104, ""Transform"": 56, ""Material"": 38, ""ParticleSystem"": 29, ""ParticleSystemRenderer"": 29, ""Texture2D"": 26, ""TextAsset"": 20, ""MonoScript"": 18, ""MeshFilter"": 14, ""MeshRenderer"": 14, ""MeshCollider"": 11, ""Animator"": 6, ""AnimationClip"": 5, ""AnimatorController"": 4, ""Mesh"": 3, ""CanvasGroup"": 3, ""Canvas"": 3, ""Shader"": 2, ""AssetBundle"": 1, ""Sprite"": 1}"
download/ui/uiprefabandres/maininterface.assetbundle,1866286,c3fc8c684c24283aadcd4e5e5f8885bd9960f18bb32e3c72ac27e19084912d61,0,2453,2453,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface.assetbundle,ok,10279,"{""MonoBehaviour"": 2819, ""GameObject"": 2471, ""RectTransform"": 2404, ""CanvasRenderer"": 2026, ""Animator"": 91, ""ParticleSystem"": 89, ""ParticleSystemRenderer"": 89, ""Canvas"": 74, ""Transform"": 67, ""CanvasGroup"": 52, ""MonoScript"": 46, ""Texture2D"": 17, ""Material"": 14, ""Font"": 13, ""Sprite"": 3, ""AssetBundle"": 1, ""VideoPlayer"": 1, ""RenderTexture"": 1, ""Shader"": 1}"
download/ui/uiprefabandres/maininterface_ext_1.assetbundle,131257,4313eeb21be8e98b63dfbd356c26e83d76f7e53df43804788213b1d5d6f4bf19,0,3101,3101,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_1.assetbundle,ok,90,"{""MonoBehaviour"": 28, ""TextAsset"": 28, ""Material"": 17, ""Texture2D"": 14, ""MonoScript"": 2, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_10.assetbundle,58547,6b5fdf650f796ab870c90403ffb10fe06495636bf077ca7d77b36ec8c06745bf,0,3816,3816,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_10.assetbundle,ok,10,"{""MonoBehaviour"": 2, ""TextAsset"": 2, ""MonoScript"": 2, ""Material"": 2, ""AssetBundle"": 1, ""Texture2D"": 1}"
