bundle,path_id,type,name,width,height,output,error
download/artsources/uispriteres/uibutton.assetbundle,-9142742408931714690,Sprite,BTN_shengji,42,46,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-9142742408931714690_BTN_shengji.png,
download/artsources/uispriteres/uibutton.assetbundle,-8942031854365527744,Sprite,SSRevent_btn_help,41,41,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8942031854365527744_SSRevent_btn_help.png,
download/artsources/uispriteres/uibutton.assetbundle,-8694482901219610277,Sprite,BTN_100x_maze_shangdian,108,110,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8694482901219610277_BTN_100x_maze_shangdian.png,
download/artsources/uispriteres/uibutton.assetbundle,-8650541987988962786,Sprite,BTN_recharge_row,245,57,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8650541987988962786_BTN_recharge_row.png,
download/artsources/uispriteres/uibutton.assetbundle,-8646293388789259768,Sprite,BTN_80x_UI_tedian_liaoli_shipu,86,89,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8646293388789259768_BTN_80x_UI_tedian_liaoli_shipu.png,
download/artsources/uispriteres/uibutton.assetbundle,-8551369255078532193,Sprite,BTN_100x_beibao,101,110,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8551369255078532193_BTN_100x_beibao.png,
download/artsources/uispriteres/uibutton.assetbundle,-8438844844834427903,Sprite,BTN_80x_T_jieyuan_suipian,86,89,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8438844844834427903_BTN_80x_T_jieyuan_suipian.png,
download/artsources/uispriteres/uibutton.assetbundle,-8423051609412815357,Sprite,BTN_80x_zhuye,106,110,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8423051609412815357_BTN_80x_zhuye.png,
download/artsources/uispriteres/uibutton.assetbundle,-8326068230517788735,Sprite,BTN_80x_jinengyulan,67,67,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8326068230517788735_BTN_80x_jinengyulan.png,
download/artsources/uispriteres/uibutton.assetbundle,-8254576565908192399,Sprite,BTN_80x_T_candan,86,89,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8254576565908192399_BTN_80x_T_candan.png,
download/artsources/uispriteres/uibutton.assetbundle,-8242558092085415315,Sprite,BTN_80x_skillshow,86,89,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8242558092085415315_BTN_80x_skillshow.png,
download/artsources/uispriteres/uibutton.assetbundle,-8218025329390806738,Sprite,BTN_xiaoanniu,115,44,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8218025329390806738_BTN_xiaoanniu.png,
download/artsources/uispriteres/uibutton.assetbundle,-8182990290449811990,Sprite,BTN_guide_skip,84,83,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8182990290449811990_BTN_guide_skip.png,
download/artsources/uispriteres/uibutton.assetbundle,-8098573956117141780,Sprite,BTN_80x_zzbaoxiang2,108,110,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8098573956117141780_BTN_80x_zzbaoxiang2.png,
download/artsources/uispriteres/uibutton.assetbundle,-8069183184279713036,Sprite,BTN_beibao_anniuxiaohuang,124,51,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8069183184279713036_BTN_beibao_anniuxiaohuang.png,
download/artsources/uispriteres/uibutton.assetbundle,-8042584042622701196,Sprite,BTN_100x_renwuwybqtb,100,112,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-8042584042622701196_BTN_100x_renwuwybqtb.png,
download/artsources/uispriteres/uibutton.assetbundle,-7899464630413152552,Sprite,BTN_Left,175,42,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-7899464630413152552_BTN_Left.png,
download/artsources/uispriteres/uibutton.assetbundle,-7879606561408361343,Sprite,BTN_80x_heros,86,89,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-7879606561408361343_BTN_80x_heros.png,
download/artsources/uispriteres/uibutton.assetbundle,-7863743160219227294,Sprite,btn_jieyuan_select,120,116,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-7863743160219227294_btn_jieyuan_select.png,
download/artsources/uispriteres/uibutton.assetbundle,-7796445307392136386,Sprite,uWife_baochou,89,90,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-7796445307392136386_uWife_baochou.png,
download/artsources/uispriteres/uibutton.assetbundle,-7743745483532033655,Sprite,BTN_shilain,102,103,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-7743745483532033655_BTN_shilain.png,
download/artsources/uispriteres/uibutton.assetbundle,-7539260124549667018,Sprite,BTN_tedian_qiuji_yeqian2,84,166,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-7539260124549667018_BTN_tedian_qiuji_yeqian2.png,
download/artsources/uispriteres/uibutton.assetbundle,-7228277309881816607,Sprite,BTN_right,175,42,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-7228277309881816607_BTN_right.png,
download/artsources/uispriteres/uibutton.assetbundle,-6917885059598229099,Sprite,BTN_graphic_help,96,96,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6917885059598229099_BTN_graphic_help.png,
download/artsources/uispriteres/uibutton.assetbundle,-6699997136965935691,Sprite,BTN_middle_1,175,42,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6699997136965935691_BTN_middle_1.png,
download/artsources/uispriteres/uibutton.assetbundle,-6551478092962218295,Sprite,hufu_tianfu,83,87,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6551478092962218295_hufu_tianfu.png,
download/artsources/uispriteres/uibutton.assetbundle,-6493854793812680114,Sprite,BTN_80x_guildinvite,86,89,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6493854793812680114_BTN_80x_guildinvite.png,
download/artsources/uispriteres/uibutton.assetbundle,-6381153751939765726,Sprite,BTN_100x_youji,86,91,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6381153751939765726_BTN_100x_youji.png,
download/artsources/uispriteres/uibutton.assetbundle,-6340689031887574392,Sprite,tb_jiantou1_btn,56,63,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6340689031887574392_tb_jiantou1_btn.png,
download/artsources/uispriteres/uibutton.assetbundle,-6278771254799281618,Sprite,zhs_tcbtn1,56,60,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6278771254799281618_zhs_tcbtn1.png,
download/artsources/uispriteres/uibutton.assetbundle,-6171087213742690640,Sprite,BTN_100x_maze_paihangbang,86,90,extracted/unity/bundles/b_db2d3e832d286f31/images/S/-6171087213742690640_BTN_100x_maze_paihangbang.png,
