component_path_id,game_object_id,game_object_name,sprite_ref,file_id,path_id,external_path,cab_name,dependency_bundle,sprite_name,width,height,source_output,unity_asset_path,raycast_target,maskable,image_type,preserve_aspect,fill_method,fill_amount,color_r,color_g,color_b,color_a,status
-9222968706698306483,8666480542967982485,im_bg,1:3767306702705834126,1,3767306702705834126,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,BG_wave,98,54,extracted/unity/bundles/b_e9b9d84959e15638/images/S/3767306702705834126_BG_wave.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_3767306702705834126_BG_wave.png,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9221180739824337541,6035669282862624489,RedDot,1:523894093744659759,1,523894093744659759,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,T_hongdian_1,27,27,extracted/unity/bundles/b_e9b9d84959e15638/images/S/523894093744659759_T_hongdian_1.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9198850071488046353,5688957898734943970,im_qipao1,0,,,,,,,,,,,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,empty_sprite_ref
-9192694981992067958,-5897180191770163959,bg_ditu,3:-3583236969578776251,3,-3583236969578776251,archive:/CAB-3c1aceb67701c2c3c44bb952321e0a4f/CAB-3c1aceb67701c2c3c44bb952321e0a4f,CAB-3c1aceb67701c2c3c44bb952321e0a4f,download/artsources/uispriteres/uimaininterface.assetbundle,BG_qipao,190,111,extracted/unity/bundles/b_3c369578efb6ef62/images/S/-3583236969578776251_BG_qipao.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface/fid3_-3583236969578776251_BG_qipao.png,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9141229709530014860,9208864584828972610,im_kai,8:8567226860985364068,8,8567226860985364068,archive:/CAB-eb0022000d6929718b7dc303bf0c009d/CAB-eb0022000d6929718b7dc303bf0c009d,CAB-eb0022000d6929718b7dc303bf0c009d,download/artsources/uispriteres/uibutton.assetbundle,BTN_kaiguan,73,32,extracted/unity/bundles/b_db2d3e832d286f31/images/S/8567226860985364068_BTN_kaiguan.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uibutton/fid8_8567226860985364068_BTN_kaiguan.png,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9119517270372078976,-739438087074354188,UI_bg,9:4648636570285078741,9,4648636570285078741,archive:/CAB-49c1f05230b816be33c8bc20fd0047a5/CAB-49c1f05230b816be33c8bc20fd0047a5,CAB-49c1f05230b816be33c8bc20fd0047a5,download/uicommonbg/uicommonbg2.assetbundle,noalphabg_BG_changjing_2,1680,720,extracted/unity/bundles/b_ac0e1c5f2f781b02/images/S/4648636570285078741_noalphabg_BG_changjing_2.png,Assets/RestoredSprites/maininterface/download_uicommonbg_uicommonbg2/fid9_4648636570285078741_noalphabg_BG_changjing_2.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9100342123053820732,-3538721197649515150,im_zhuangshi,3:7073782107816661200,3,7073782107816661200,archive:/CAB-3c1aceb67701c2c3c44bb952321e0a4f/CAB-3c1aceb67701c2c3c44bb952321e0a4f,CAB-3c1aceb67701c2c3c44bb952321e0a4f,download/artsources/uispriteres/uimaininterface.assetbundle,BG_qipao_zhuangshi,30,31,extracted/unity/bundles/b_3c369578efb6ef62/images/S/7073782107816661200_BG_qipao_zhuangshi.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface/fid3_7073782107816661200_BG_qipao_zhuangshi.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9099952409312592063,6504023615553344529,input_3,1:5486019642746247449,1,5486019642746247449,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,BG_shurukuang,58,36,extracted/unity/bundles/b_e9b9d84959e15638/images/S/5486019642746247449_BG_shurukuang.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_5486019642746247449_BG_shurukuang.png,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9093056694265504684,3498737521722268994,warn_icon,11:-3463130419380364082,11,-3463130419380364082,archive:/CAB-b00a67ad72ab5775baa44a302dd53ae4/CAB-b00a67ad72ab5775baa44a302dd53ae4,CAB-b00a67ad72ab5775baa44a302dd53ae4,download/artsources/uispriteres/uimaininterface2.assetbundle,tixing_zhengzhan,36,35,extracted/unity/bundles/b_3d571cf9b531ccfb/images/S/-3463130419380364082_tixing_zhengzhan.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-3463130419380364082_tixing_zhengzhan.png,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9085582221566858819,-2270298199637752535,btn_yueka,0,,,,,,,,,,,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,empty_sprite_ref
-9068314485446055717,5617362597341813501,im_temporary_buff_Icon,13:-6706942253580952254,13,-6706942253580952254,archive:/CAB-d0aac0c2d97be8ac14dbe54488091fe3/CAB-d0aac0c2d97be8ac14dbe54488091fe3,CAB-d0aac0c2d97be8ac14dbe54488091fe3,download/artsources/uispriteres/uibufficon.assetbundle,buff_100000,40,36,extracted/unity/bundles/b_8237b78acdf5ea29/images/S/-6706942253580952254_buff_100000.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uibufficon/fid13_-6706942253580952254_buff_100000.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9062549879810490451,5140802342601422660,btn_shangdian,1:6617065208850742552,1,6617065208850742552,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,Image_blank,2,2,extracted/unity/bundles/b_e9b9d84959e15638/images/S/6617065208850742552_Image_blank.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_6617065208850742552_Image_blank.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9053803089037643406,-7854660943221330424,RedDot,1:523894093744659759,1,523894093744659759,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,T_hongdian_1,27,27,extracted/unity/bundles/b_e9b9d84959e15638/images/S/523894093744659759_T_hongdian_1.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9017624700360926612,-6592589273927292500,bg_set4,1:8289117381427851916,1,8289117381427851916,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,BG_shuzhi,70,34,extracted/unity/bundles/b_e9b9d84959e15638/images/S/8289117381427851916_BG_shuzhi.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_8289117381427851916_BG_shuzhi.png,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0,ready
