bundle,component_path_id,game_object_id,game_object_name,script_id,text,font_size,alignment,raycast_target,color_r,color_g,color_b,color_a
download/ui/uiprefabandres/maininterface.assetbundle,-9210450104231470196,-3258252110694695343,text_num,-7978266203517415465,,20,4,1,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9169955995487634709,6099186281708994144,text_off,-5755350681981302373,동 맹,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9101714339323267865,-6179388290721735867,text_num,-7978266203517415465,6,20,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9075025307981695997,-6005187361460479994,text,-5755350681981302373,수령 ,20.0,1,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9036452279196250576,-8734565794043040060,text_num,-7978266203517415465,6,20,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-9001524857115273491,4733557662678222366,text_off,-5755350681981302373,무 장,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8933725059554946811,-1759341788187230058,text_kr,-7978266203517415465,한,20,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8842570151588361151,-7349131133143407055,text_youjian,-5755350681981302373,      d,20.0,1,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8832976236568273424,-7295124886294054497,txt_act_name,-5755350681981302373,,20.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8816761211318364610,1108672014035209329,text_set1,-7978266203517415465,동맹 선물 구매 정보 숨기기,20,3,0,0.2862745225429535,0.24313727021217346,0.20784315466880798,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8785529312977370068,-6388828218037548926,text_off,-5755350681981302373,마을,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8753555553609287632,-5763841338298484450,text_num,-7978266203517415465,,20,4,1,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8686807682725696350,-7758940932814905663,text,-5755350681981302373,총 6명의 소녀 무장을 배경으로 선택하실 수 있습니다.,20.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8686722307351452481,8323713141565151266,text_name,-7978266203517415465,시스템 ,18,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8600598423974834717,-6776804184382871339,inputAcc,-6449259990898891853,1234,,,,,,,
download/ui/uiprefabandres/maininterface.assetbundle,-8587595076594253511,4913076362513536371,text_name,-5755350681981302373,이름,30.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8558017568156120155,-3035383074510152146,num,-5755350681981302373,99,20.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8548314998860509617,4149620439162436217,text_fight_num,-5755350681981302373,"844,651,695",26.0,1,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8539762602504004017,4113570728556326904,Text,-7978266203517415465,,20,3,1,1.0,0.9669811129570007,0.9669811129570007,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8509123253941265486,7427960514218364506,text_num,-7978266203517415465,6,20,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8426488999792253068,-5413678246363012866,txt_apple_unbind,5191574263247149380,Apple 로그인 삭제,24,4,1,0.0,0.0,0.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8409273557318605140,8136134781209646885,text_title,-5755350681981302373,이미지,30.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8358797115357997715,4512528125967927824,text_youjian,-5755350681981302373,      dadfadsfadsf,20.0,1,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8318630676036174251,2553992600669226189,text_wanfaTips,-5755350681981302373,000,18.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8285597675448055735,8611650040139552239,text_off,-5755350681981302373,모 험,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8241999686805195154,1476419751717041805,text_tmp_message (1),-5755350681981302373,"용녀 토벌령
뜨겁게 진행 중!",20.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8139157947392758730,4082039795303117925,text_off,-5755350681981302373,동 맹,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8067749576511705451,1379931244662496729,text_queren,5191574263247149380,취소,26,4,1,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8010001099342242387,-2002401583210569359,text_num,-7978266203517415465,6,20,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8005870272167240310,2300963885127414928,text_set1,-7978266203517415465,홍옥 소비 알림,20,3,0,0.2862745225429535,0.24313727021217346,0.20784315466880798,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7996790143332653384,-4284752466418043719,text_tmp_nandu_num,-5755350681981302373,"7
",20.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7978778445362889911,5211986611953937469,text_message,-7978266203517415465,동맹 가입시 홍옥 400개 무료 획득,20,4,0,0.27843138575553894,0.24313725531101227,0.2078431397676468,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7932612160430140606,7976057013547036725,text_off,-5755350681981302373,마 을,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7921586808545455900,-1581283951147234726,text_name,-7978266203517415465,시스템,18,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7865037889663508451,863557913757643176,text,-7978266203517415465,음악 설정,20,4,1,0.2862745225429535,0.24313725531101227,0.2078431397676468,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7855073822951797152,-6041248253756072020,text_level_num,-5755350681981302373,12,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7764631197483468842,-1247753148101655124,text_qianghua,-5755350681981302373,전속 비서,20.0,2,1,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7755602249026151433,-6676038060271445053,text_6,-5755350681981302373, 설정,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7749753264278278351,769869287154541144,text_shezhi,-5755350681981302373,설정,22.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7704712689043706027,1834040184046815307,text_num,-7978266203517415465,6,20,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7633222589485954418,62432215881023157,text_num,-7978266203517415465,99,20,4,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7613288749363844043,6094897319733571985,text,-5755350681981302373,임무 관련 설명,18.0,1,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7548399963800416050,-7982451266254442775,lab_shangdian_text,-5755350681981302373,상점 ,18.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7523546300752786205,-8159328885677309973,text_queren,5191574263247149380,이메일 삭제,26,4,1,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7501338167499325205,-2850655315310142644,text_tmp_message,-5755350681981302373,<color=#599F50>누적 {0}시간</color> 방치 보상! 어서 수령하세요!,20.0,1,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7486414071341900398,-4383067012425487823,text_2,-7978266203517415465,"주의사항: 로그인 시, 기존 서버를 선택해 주세요.",20,0,0,0.19607843458652496,0.19607843458652496,0.19607843458652496,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7477270092640817535,-1112031935058178255,text_tmp_chengyuan,-5755350681981302373,동맹원: ,20.0,2,0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7433060445405961867,-154447302177155526,text_lv,-7978266203517415465,lv.150  123456789/12345678,20,3,0,0.2862745225429535,0.24313727021217346,0.20784315466880798,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7414013004970850872,1265805457670374347,text_3,-7978266203517415465,비밀번호를 재입력해 주세요.,20,3,0,0.27843138575553894,0.24313725531101227,0.2078431397676468,1.0
