component_path_id,game_object_id,game_object_name,script_id,source_text_raw,display_text,enabled,raycast_target,font_asset_file_id,font_asset_path_id,font_asset_name,font_asset_bundle,font_family,font_style_name,font_material_path_id_from_font_asset,shared_material_file_id,shared_material_path_id,font_material_path_id,base_material_path_id,font_size,font_size_base,font_size_min,font_size_max,font_weight,font_style,enable_auto_sizing,horizontal_alignment,vertical_alignment,text_alignment,resolved_alignment,character_spacing,word_spacing,line_spacing,line_spacing_max,paragraph_spacing,char_width_max_adj,enable_word_wrapping,word_wrapping_ratios,overflow_mode,enable_kerning,enable_extra_padding,is_rich_text,parse_ctrl_characters,is_right_to_left,color_mode,override_html_colors,geometry_sorting_order,use_max_visible_descender,page_to_display,color_r,color_g,color_b,color_a,color_rgba,font_color_r,font_color_g,font_color_b,font_color_a,font_color_rgba,font_color32_r,font_color32_g,font_color32_b,font_color32_a,font_color32_rgba,face_color_r,face_color_g,face_color_b,face_color_a,face_color_rgba,margin_x,margin_y,margin_z,margin_w,mask_offset_x,mask_offset_y,mask_offset_z,mask_offset_w
-9169955995487634709,6099186281708994144,text_off,-5755350681981302373,동 맹,동 맹,1,0,4,2268522548353052838,riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,DFMincho-SU,Regular,254871510493496748,5,-6541690290105773087,0,0,22.0,22.0,18.0,72.0,400,0,0,2,512,65535,514,5.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,0.2862745225429535,0.24313727021217346,0.20784315466880798,1.0,,,,,,4281679433,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9075025307981695997,-6005187361460479994,text,-5755350681981302373,수령 ,수령 ,1,0,4,2268522548353052838,riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,DFMincho-SU,Regular,254871510493496748,12,-6469808170336859405,0,0,20.0,20.0,18.0,72.0,400,0,0,1,512,65535,513,20.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.9019607901573181,,,,,,3875536895,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9001524857115273491,4733557662678222366,text_off,-5755350681981302373,무 장,무 장,1,0,4,2268522548353052838,riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,DFMincho-SU,Regular,254871510493496748,5,-6541690290105773087,0,0,22.0,22.0,18.0,72.0,400,0,0,2,512,65535,514,5.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,0.2862745225429535,0.24313727021217346,0.20784315466880798,1.0,,,,,,4281679433,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8842570151588361151,-7349131133143407055,text_youjian,-5755350681981302373,      d,      d,1,0,18,-724809986894116682,EPM,download/ui/uifont/japanese/tmp/epm.assetbundle,EPSON ?????S?V?b?N???a,Regular,-161800820888374377,19,3932716197974622303,0,0,20.0,20.0,18.0,72.0,400,0,0,1,256,65535,257,0.0,0.0,25.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,0.2862745225429535,0.24313727021217346,0.20784315466880798,1.0,,,,,,4281679433,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8832976236568273424,-7295124886294054497,txt_act_name,-5755350681981302373,,,1,0,21,454391846754054610,num,download/ui/uifont/japanese/tmp/num.assetbundle,Impact,Regular,7258057046760579642,22,5346313758352445069,0,0,20.0,20.0,18.0,72.0,400,0,0,2,512,65535,514,5.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,0.29411765933036804,0.24313727021217346,0.2039215862751007,1.0,,,,,,4281613899,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8785529312977370068,-6388828218037548926,text_off,-5755350681981302373,마을,마을,1,0,4,2268522548353052838,riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,DFMincho-SU,Regular,254871510493496748,5,-6541690290105773087,0,0,22.0,22.0,18.0,72.0,400,0,0,2,512,65535,514,5.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,0.2862745225429535,0.24313727021217346,0.20784315466880798,1.0,,,,,,4281679433,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8686807682725696350,-7758940932814905663,text,-5755350681981302373,총 6명의 소녀 무장을 배경으로 선택하실 수 있습니다.,총 6명의 소녀 무장을 배경으로 선택하실 수 있습니다.,1,0,18,-724809986894116682,EPM,download/ui/uifont/japanese/tmp/epm.assetbundle,EPSON ?????S?V?b?N???a,Regular,-161800820888374377,23,8649783434632076371,0,0,20.0,20.0,18.0,72.0,400,0,0,2,512,65535,514,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,4294967295,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8587595076594253511,4913076362513536371,text_name,-5755350681981302373,이름,이름,1,0,4,2268522548353052838,riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,DFMincho-SU,Regular,254871510493496748,25,4174273018840097604,0,0,30.0,30.0,18.0,72.0,400,0,0,2,256,65535,258,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,2,0,0,1,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,4294967295,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8558017568156120155,-3035383074510152146,num,-5755350681981302373,99,99,1,0,21,454391846754054610,num,download/ui/uifont/japanese/tmp/num.assetbundle,Impact,Regular,7258057046760579642,26,3398605064068647022,0,0,20.0,20.0,10.0,40.0,400,0,0,2,512,65535,514,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,3,0,0,1,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,4294967295,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8548314998860509617,4149620439162436217,text_fight_num,-5755350681981302373,"844,651,695","844,651,695",1,0,21,454391846754054610,num,download/ui/uifont/japanese/tmp/num.assetbundle,Impact,Regular,7258057046760579642,22,5346313758352445069,0,0,26.0,26.0,18.0,72.0,400,2,0,1,256,65535,257,9.0,0.0,0.0,0.0,0.0,0.0,1,0.4000000059604645,0,0,0,1,1,0,2,0,0,1,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,4294967295,,,,,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
