bundle,source_bundle,path_id,name,size,output,prefix4,ascii_ratio_first512,source_kind
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-4998461180519599919,CSGuildWarManager,13847,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-4998461180519599919_CSGuildWarManager.bytes,A-EV,0.562,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-213036035943061423,CSGuildWarRecord,5171,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-213036035943061423_CSGuildWarRecord.bytes,A-EV,0.570,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-5411665373452428845,GuildWarBattleController,1201,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-5411665373452428845_GuildWarBattleController.bytes,A-EV,0.576,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-8720495977353795385,GuildWarBigMap,11221,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-8720495977353795385_GuildWarBigMap.bytes,A-EV,0.588,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-5482282185907040828,PlayerListView,3731,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-5482282185907040828_PlayerListView.bytes,A-EV,0.572,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,4416777479609603395,UI_GuildWarAwards,5791,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/4416777479609603395_UI_GuildWarAwards.bytes,A-EV,0.523,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-5038574723730485097,UI_GuildWarBattleGround,9422,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-5038574723730485097_UI_GuildWarBattleGround.bytes,A-EV,0.543,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-3387105332748696774,UI_GuildWarBoxRewardGet,1065,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-3387105332748696774_UI_GuildWarBoxRewardGet.bytes,A-EV,0.580,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,7442298698365924799,UI_GuildWarBuff,3979,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/7442298698365924799_UI_GuildWarBuff.bytes,A-EV,0.562,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,6593926176491140856,UI_GuildWarDefDetails,2907,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/6593926176491140856_UI_GuildWarDefDetails.bytes,A-EV,0.576,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,3969173748548123151,UI_GuildWarEmbattle,24996,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/3969173748548123151_UI_GuildWarEmbattle.bytes,A-EV,0.572,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-6880858889513559174,UI_GuildWarEmbattleForDef,17146,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-6880858889513559174_UI_GuildWarEmbattleForDef.bytes,A-EV,0.584,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-1675479621401984231,UI_GuildWarGuildStatusReview,907,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-1675479621401984231_UI_GuildWarGuildStatusReview.bytes,A-EV,0.576,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,6236922712412529074,UI_GuildWarMain,18791,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/6236922712412529074_UI_GuildWarMain.bytes,A-EV,0.545,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-9136809040951575545,UI_GuildWarNoOpenForFirst,6985,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-9136809040951575545_UI_GuildWarNoOpenForFirst.bytes,A-EV,0.564,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,6391966298141356139,UI_GuildWarRank,5145,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/6391966298141356139_UI_GuildWarRank.bytes,A-EV,0.557,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,8356540313804495266,UI_GuildWarRecord,3053,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/8356540313804495266_UI_GuildWarRecord.bytes,A-EV,0.576,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,2163167273297453880,UI_GuildWarRewardsReview,866,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/2163167273297453880_UI_GuildWarRewardsReview.bytes,A-EV,0.568,str_surrogateescape_utf8
download/xlualogic/modules/csguildwar.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\csguildwar.assetbundle,-3935362408085155332,UI_GuildWarWin,8822,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/csguildwar/-3935362408085155332_UI_GuildWarWin.bytes,A-EV,0.566,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-4837665355094276425,GuildMgr,15569,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-4837665355094276425_GuildMgr.bytes,A-EV,0.561,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,5886671002234963311,UI_DanmuItem,5517,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/5886671002234963311_UI_DanmuItem.bytes,A-EV,0.553,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-5831311429067198371,UI_GameGuildBoxInfoView,5202,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-5831311429067198371_UI_GameGuildBoxInfoView.bytes,A-EV,0.561,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-5071768381013241184,UI_GuildApplyManageView,3481,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-5071768381013241184_UI_GuildApplyManageView.bytes,A-EV,0.570,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-271223067868279773,UI_GuildChangeNameView,1978,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-271223067868279773_UI_GuildChangeNameView.bytes,K7HT,0.580,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,4501327492351748898,UI_GuildCreateView,2352,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/4501327492351748898_UI_GuildCreateView.bytes,A-EV,0.562,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,5324956038145873430,UI_GuildDetailView,4151,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/5324956038145873430_UI_GuildDetailView.bytes,A-EV,0.580,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-300712329476106692,UI_GuildFightSetView,2797,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-300712329476106692_UI_GuildFightSetView.bytes,A-EV,0.576,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,4758199554370105319,UI_GuildGiftView,23098,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/4758199554370105319_UI_GuildGiftView.bytes,A-EV,0.549,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,4564304041344739031,UI_GuildIconSetView,4031,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/4564304041344739031_UI_GuildIconSetView.bytes,A-EV,0.557,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,8433448044541422097,UI_GuildInfoView,3144,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/8433448044541422097_UI_GuildInfoView.bytes,A-EV,0.561,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-3179589984429850782,UI_GuildInviteView,2361,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-3179589984429850782_UI_GuildInviteView.bytes,A-EV,0.566,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-6588719257960332185,UI_GuildJoinEntranceView,993,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-6588719257960332185_UI_GuildJoinEntranceView.bytes,K7HT,0.580,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-4263789113467508367,UI_GuildJoinListNewView,15541,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-4263789113467508367_UI_GuildJoinListNewView.bytes,A-EV,0.570,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-9152277616978666343,UI_GuildJoinListView,12532,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-9152277616978666343_UI_GuildJoinListView.bytes,A-EV,0.566,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-300454849125121486,UI_GuildMailView,2666,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-300454849125121486_UI_GuildMailView.bytes,K7HT,0.570,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,1895751769857850875,UI_GuildMainView,66181,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/1895751769857850875_UI_GuildMainView.bytes,A-EV,0.555,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,3850179914080718837,UI_GuildManageView,5645,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/3850179914080718837_UI_GuildManageView.bytes,K7HT,0.574,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-5008914833845666756,UI_GuildMemberView,8864,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-5008914833845666756_UI_GuildMemberView.bytes,A-EV,0.596,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,3031538988165312112,UI_GuildNoticeView,3263,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/3031538988165312112_UI_GuildNoticeView.bytes,K7HT,0.572,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-7771212120794852774,UI_GuildQuestView,7189,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-7771212120794852774_UI_GuildQuestView.bytes,A-EV,0.564,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,3616050640121861978,UI_GuildRankView,5081,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/3616050640121861978_UI_GuildRankView.bytes,A-EV,0.580,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-2268841746494127236,UI_GuildRecruit,3001,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-2268841746494127236_UI_GuildRecruit.bytes,K7HT,0.574,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-4796881995646760023,UI_GuildRecruitNoticeView,3393,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-4796881995646760023_UI_GuildRecruitNoticeView.bytes,K7HT,0.582,str_surrogateescape_utf8
download/xlualogic/modules/guild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guild.assetbundle,-7933401008250600194,UI_GuildSearchView,2128,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guild/-7933401008250600194_UI_GuildSearchView.bytes,K7HT,0.564,str_surrogateescape_utf8
download/xlualogic/modules/guildterritory.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guildterritory.assetbundle,7110822757496889974,GuildTerritoryMgr,17724,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guildterritory/7110822757496889974_GuildTerritoryMgr.bytes,A-EV,0.576,str_surrogateescape_utf8
download/xlualogic/modules/guildterritory.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guildterritory.assetbundle,-8814899686091847913,TestGuildTerritoryMgr,6363,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guildterritory/-8814899686091847913_TestGuildTerritoryMgr.bytes,A-EV,0.566,str_surrogateescape_utf8
download/xlualogic/modules/guildterritory.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guildterritory.assetbundle,-8407352861860174125,UI_GuildTerritory_LogTips,2349,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guildterritory/-8407352861860174125_UI_GuildTerritory_LogTips.bytes,A-EV,0.605,str_surrogateescape_utf8
download/xlualogic/modules/guildterritory.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guildterritory.assetbundle,-2339830379826305021,UI_GuildTerritory_LvUp,1221,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guildterritory/-2339830379826305021_UI_GuildTerritory_LvUp.bytes,A-EV,0.564,str_surrogateescape_utf8
download/xlualogic/modules/guildterritory.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\guildterritory.assetbundle,1563110776378753012,UI_GuildTerritory_Main,17630,extracted/unity/raw_textassets/guildmain_runtime_lua_xlua/guildterritory/1563110776378753012_UI_GuildTerritory_Main.bytes,A-EV,0.549,str_surrogateescape_utf8
