kind,key,node,name,path,classification,detail1,detail2,detail3,decision
"Target","Spine_shijieanniu","spine_diqiu","spine_diqiu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392","trace_only_white_panel_source_narrowed_to_original_attachment_candidates","mesh=63/78;bounds=0,0,0/253,253,0","canvasRendererMaterialCount=1;materialForRendering=SkeletonGraphicDefault / Spine/SkeletonGraphic / ","maskable=True;maskAncestor=False;rectMask2D=False","The large visible white route shape aligns with original Spine_shijieanniu attachment candidates, especially zhuye_di1/zhuye_bian; removing or hiding them would require original runtime visibility/mask evidence.;canvasRendererTexture="
"Target","8007","spine_xiaoren","spine_xiaoren","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/spine_xiaoren__3375689855543054311","trace_only_white_panel_source_narrowed_to_original_attachment_candidates","mesh=737/2316;bounds=-14.039,79.9131,0/144.8493,162.6354,0","canvasRendererMaterialCount=1;materialForRendering=SkeletonGraphicDefault / Spine/SkeletonGraphic / ","maskable=True;maskAncestor=False;rectMask2D=False","The character SkeletonGraphic mesh/material is traced; it is not the main large white panel candidate.;canvasRendererTexture="
"Attachment","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","large_route_shape_candidate_from_original_attachment","drawOrder=0;bone=zong;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=0;slot=zhuye_di1;bone=zong;attachment=zhuye_di1;type=RegionAttachment;vertices=4;minX=-1.265;minY=-1.265;maxX=1.265;maxY=1.265;width=2.53;height=2.53;boneWorldX=0;boneWorldY=0;scale=1",""
"Attachment","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","large_route_shape_candidate_from_original_attachment","drawOrder=1;bone=zong;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=1;slot=zhuye_bian;bone=zong;attachment=zhuye_bian;type=RegionAttachment;vertices=4;minX=-1.19;minY=-1.19;maxX=1.19;maxY=1.19;width=2.38;height=2.38;boneWorldX=0;boneWorldY=0;scale=1",""
"Attachment","Spine_shijieanniu","spine_diqiu","zong1","zong1","active_draw_order_attachment","drawOrder=2;bone=zong;type=ClippingAttachment","color=1,1,1,1;boneActive=True","",""
"Attachment","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","large_route_shape_candidate_from_original_attachment","drawOrder=3;bone=zhuan;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=3;slot=diqiu;bone=zhuan;attachment=diqiu;type=RegionAttachment;vertices=4;minX=-1.6896;minY=-2.9247;maxX=1.6896;maxY=0.4641;width=3.3792;height=3.3888;boneWorldX=0;boneWorldY=-1.2159;scale=1",""
"Attachment","Spine_shijieanniu","spine_diqiu","yun","yun3","active_draw_order_attachment","drawOrder=4;bone=zong4;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=4;slot=yun3;bone=zong4;attachment=yun;type=RegionAttachment;vertices=4;minX=-0.0558;minY=0.3893;maxX=0.7874;maxY=0.9313;width=0.8431;height=0.542;boneWorldX=0.3876;boneWorldY=0.6883;scale=1",""
"Attachment","Spine_shijieanniu","spine_diqiu","yun2","yun2","active_draw_order_attachment","drawOrder=5;bone=zong2;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=5;slot=yun2;bone=zong2;attachment=yun2;type=RegionAttachment;vertices=4;minX=0.3918;minY=0.2391;maxX=1.4759;maxY=1.1124;width=1.084;height=0.8733;boneWorldX=0.9793;boneWorldY=0.7336;scale=1",""
"Attachment","Spine_shijieanniu","spine_diqiu","yun2","yun4","active_draw_order_attachment","drawOrder=6;bone=zong5;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=5;slot=yun2;bone=zong2;attachment=yun2;type=RegionAttachment;vertices=4;minX=0.3918;minY=0.2391;maxX=1.4759;maxY=1.1124;width=1.084;height=0.8733;boneWorldX=0.9793;boneWorldY=0.7336;scale=1",""
"Attachment","Spine_shijieanniu","spine_diqiu","yun","yun","active_draw_order_attachment","drawOrder=7;bone=zong3;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=4;slot=yun3;bone=zong4;attachment=yun;type=RegionAttachment;vertices=4;minX=-0.0558;minY=0.3893;maxX=0.7874;maxY=0.9313;width=0.8431;height=0.542;boneWorldX=0.3876;boneWorldY=0.6883;scale=1",""
"Attachment","Spine_shijieanniu","spine_diqiu","yun","yun5","active_draw_order_attachment","drawOrder=8;bone=zong6;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=A;sampleTime=0;drawOrder=4;slot=yun3;bone=zong4;attachment=yun;type=RegionAttachment;vertices=4;minX=-0.0558;minY=0.3893;maxX=0.7874;maxY=0.9313;width=0.8431;height=0.542;boneWorldX=0.3876;boneWorldY=0.6883;scale=1",""
"Attachment","8007","spine_xiaoren","b14","a24","active_draw_order_attachment","drawOrder=0;bone=a40;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=0;slot=a24;bone=a40;attachment=b14;type=MeshAttachment;vertices=22;minX=-0.2213;minY=0.4919;maxX=-0.0149;maxY=0.6429;width=0.2063;height=0.151;boneWorldX=-0.2105;boneWorldY=0.5928;scale=0.5",""
"Attachment","8007","spine_xiaoren","b16","a18","active_draw_order_attachment","drawOrder=1;bone=a36;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=1;slot=a18;bone=a36;attachment=b16;type=MeshAttachment;vertices=19;minX=-0.1278;minY=0.4142;maxX=-0.0119;maxY=0.5656;width=0.116;height=0.1514;boneWorldX=-0.0597;boneWorldY=0.5387;scale=0.5",""
"Attachment","8007","spine_xiaoren","b15","a17","active_draw_order_attachment","drawOrder=2;bone=a42;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=2;slot=a17;bone=a42;attachment=b15;type=MeshAttachment;vertices=18;minX=-0.1521;minY=0.3605;maxX=-0.072;maxY=0.446;width=0.0801;height=0.0855;boneWorldX=-0.0967;boneWorldY=0.4396;scale=0.5",""
"Attachment","8007","spine_xiaoren","","d1","active_draw_order_attachment","drawOrder=3;bone=a37;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","b13","b13","active_draw_order_attachment","drawOrder=4;bone=a44;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=4;slot=b13;bone=a44;attachment=b13;type=MeshAttachment;vertices=22;minX=-0.8646;minY=0.8136;maxX=-0.4845;maxY=1.2768;width=0.3802;height=0.4631;boneWorldX=-0.5712;boneWorldY=1.3207;scale=0.5",""
"Attachment","8007","spine_xiaoren","","b9","active_draw_order_attachment","drawOrder=5;bone=a10;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","a30","a30","active_draw_order_attachment","drawOrder=6;bone=a30;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=6;slot=a30;bone=a30;attachment=a30;type=MeshAttachment;vertices=49;minX=-0.3545;minY=0.613;maxX=0.5839;maxY=1.244;width=0.9384;height=0.631;boneWorldX=-0.2216;boneWorldY=1.2213;scale=0.5",""
"Attachment","8007","spine_xiaoren","","a29","active_draw_order_attachment","drawOrder=7;bone=a91;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","a28","a28","active_draw_order_attachment","drawOrder=8;bone=a79;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=8;slot=a28;bone=a79;attachment=a28;type=MeshAttachment;vertices=51;minX=-0.6128;minY=0.5753;maxX=0.2203;maxY=1.4036;width=0.8331;height=0.8283;boneWorldX=-0.2752;boneWorldY=1.389;scale=0.5",""
"Attachment","8007","spine_xiaoren","a11","a11","active_draw_order_attachment","drawOrder=9;bone=a75;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=9;slot=a11;bone=a75;attachment=a11;type=MeshAttachment;vertices=31;minX=-0.575;minY=0.6202;maxX=-0.2265;maxY=1.0466;width=0.3485;height=0.4264;boneWorldX=-0.5483;boneWorldY=1.1437;scale=0.5",""
"Attachment","8007","spine_xiaoren","b10","a10","active_draw_order_attachment","drawOrder=10;bone=a10;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=10;slot=a10;bone=a10;attachment=b10;type=MeshAttachment;vertices=26;minX=-0.558;minY=0.6451;maxX=-0.0792;maxY=1.2385;width=0.4788;height=0.5934;boneWorldX=-0.2213;boneWorldY=0.6895;scale=0.5",""
"Attachment","8007","spine_xiaoren","a27","a27","active_draw_order_attachment","drawOrder=11;bone=a64;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=11;slot=a27;bone=a64;attachment=a27;type=MeshAttachment;vertices=49;minX=-0.1823;minY=0.1819;maxX=0.2839;maxY=0.489;width=0.4662;height=0.3071;boneWorldX=-0.1685;boneWorldY=0.4319;scale=0.5",""
"Attachment","8007","spine_xiaoren","","a26","active_draw_order_attachment","drawOrder=12;bone=a53;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","a25","a25","active_draw_order_attachment","drawOrder=13;bone=a58;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=13;slot=a25;bone=a58;attachment=a25;type=MeshAttachment;vertices=42;minX=-0.0765;minY=0.283;maxX=0.4067;maxY=0.5021;width=0.4832;height=0.2191;boneWorldX=-0.0893;boneWorldY=0.473;scale=0.5",""
"Attachment","8007","spine_xiaoren","b27","a23","active_draw_order_attachment","drawOrder=14;bone=a73;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=14;slot=a23;bone=a73;attachment=b27;type=MeshAttachment;vertices=25;minX=-0.3038;minY=-0.014;maxX=-0.1213;maxY=0.2305;width=0.1826;height=0.2446;boneWorldX=-0.1816;boneWorldY=0.1759;scale=0.5",""
"Attachment","8007","spine_xiaoren","b26","a22","active_draw_order_attachment","drawOrder=15;bone=a69;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=15;slot=a22;bone=a69;attachment=b26;type=MeshAttachment;vertices=23;minX=-0.2433;minY=0.1396;maxX=0.0002;maxY=0.4205;width=0.2435;height=0.281;boneWorldX=-0.0785;boneWorldY=0.3907;scale=0.5",""
"Attachment","8007","spine_xiaoren","b25","a21","active_draw_order_attachment","drawOrder=16;bone=a70;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=16;slot=a21;bone=a70;attachment=b25;type=MeshAttachment;vertices=21;minX=-0.0472;minY=0.15;maxX=0.2109;maxY=0.3031;width=0.2581;height=0.1531;boneWorldX=0.0103;boneWorldY=0.1925;scale=0.5",""
"Attachment","8007","spine_xiaoren","b24","a20","active_draw_order_attachment","drawOrder=17;bone=a68;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=17;slot=a20;bone=a68;attachment=b24;type=MeshAttachment;vertices=19;minX=-0.2139;minY=0.1323;maxX=0.0467;maxY=0.4355;width=0.2606;height=0.3033;boneWorldX=-0.1504;boneWorldY=0.3773;scale=0.5",""
"Attachment","8007","spine_xiaoren","b21","a19","active_draw_order_attachment","drawOrder=18;bone=a19;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=18;slot=a19;bone=a19;attachment=b21;type=MeshAttachment;vertices=39;minX=-0.255;minY=0.3247;maxX=-0.0366;maxY=0.7048;width=0.2184;height=0.38;boneWorldX=-0.1801;boneWorldY=0.4482;scale=0.5",""
"Attachment","8007","spine_xiaoren","b20","a16","active_draw_order_attachment","drawOrder=19;bone=a51;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=19;slot=a16;bone=a51;attachment=b20;type=MeshAttachment;vertices=21;minX=-0.2928;minY=0.4661;maxX=-0.1561;maxY=0.6096;width=0.1367;height=0.1435;boneWorldX=-0.2221;boneWorldY=0.6091;scale=0.5",""
"Attachment","8007","spine_xiaoren","","a12","active_draw_order_attachment","drawOrder=20;bone=a12;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","b5","a4","active_draw_order_attachment","drawOrder=21;bone=a4;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=21;slot=a4;bone=a4;attachment=b5;type=MeshAttachment;vertices=24;minX=-0.5204;minY=0.9205;maxX=-0.1015;maxY=1.2661;width=0.4189;height=0.3456;boneWorldX=-0.4437;boneWorldY=1.3368;scale=0.5",""
"Attachment","8007","spine_xiaoren","b7","a8","active_draw_order_attachment","drawOrder=22;bone=a92;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=22;slot=a8;bone=a92;attachment=b7;type=MeshAttachment;vertices=4;minX=-0.4012;minY=0.7043;maxX=-0.3611;maxY=0.7247;width=0.0401;height=0.0204;boneWorldX=-0.3808;boneWorldY=0.713;scale=0.5",""
"Attachment","8007","spine_xiaoren","a9","a9","active_draw_order_attachment","drawOrder=23;bone=a9;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=23;slot=a9;bone=a9;attachment=a9;type=MeshAttachment;vertices=31;minX=-0.6683;minY=0.8462;maxX=0.1422;maxY=1.45;width=0.8105;height=0.6038;boneWorldX=-0.4659;boneWorldY=1.2525;scale=0.5",""
"Attachment","8007","spine_xiaoren","","a31","active_draw_order_attachment","drawOrder=24;bone=a79;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","b6","a7","active_draw_order_attachment","drawOrder=25;bone=a89;type=RegionAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=25;slot=a7;bone=a89;attachment=b6;type=RegionAttachment;vertices=4;minX=-0.4647;minY=0.7685;maxX=-0.2513;maxY=0.9716;width=0.2135;height=0.2032;boneWorldX=-0.3472;boneWorldY=0.8205;scale=0.5",""
"Attachment","8007","spine_xiaoren","","a32","active_draw_order_attachment","drawOrder=26;bone=a89;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","","a6","active_draw_order_attachment","drawOrder=27;bone=a17;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","b3","a5","active_draw_order_attachment","drawOrder=28;bone=a5;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=28;slot=a5;bone=a5;attachment=b3;type=MeshAttachment;vertices=23;minX=-0.6734;minY=0.8384;maxX=-0.4149;maxY=1.2942;width=0.2585;height=0.4558;boneWorldX=-0.5387;boneWorldY=1.3154;scale=0.5",""
"Attachment","8007","spine_xiaoren","b4","a3","active_draw_order_attachment","drawOrder=29;bone=a3;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=29;slot=a3;bone=a3;attachment=b4;type=MeshAttachment;vertices=42;minX=-0.4098;minY=0.6774;maxX=-0.0203;maxY=1.3092;width=0.3894;height=0.6318;boneWorldX=-0.3207;boneWorldY=1.3352;scale=0.5",""
"Attachment","8007","spine_xiaoren","b2","a2","active_draw_order_attachment","drawOrder=30;bone=a91;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=30;slot=a2;bone=a91;attachment=b2;type=MeshAttachment;vertices=4;minX=-0.4422;minY=0.952;maxX=-0.308;maxY=1.0158;width=0.1342;height=0.0638;boneWorldX=-0.4364;boneWorldY=0.9578;scale=0.5",""
"Attachment","8007","spine_xiaoren","a1","a1","active_draw_order_attachment","drawOrder=31;bone=a1;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=31;slot=a1;bone=a1;attachment=a1;type=MeshAttachment;vertices=56;minX=-0.8614;minY=0.795;maxX=0.3355;maxY=1.6123;width=1.1969;height=0.8173;boneWorldX=-0.1159;boneWorldY=1.3682;scale=0.5",""
"Attachment","8007","spine_xiaoren","","d2","active_draw_order_attachment","drawOrder=32;bone=d2;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","b17","a13","active_draw_order_attachment","drawOrder=33;bone=a35;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=33;slot=a13;bone=a35;attachment=b17;type=MeshAttachment;vertices=26;minX=-0.2518;minY=0.4638;maxX=-0.1138;maxY=0.6665;width=0.1379;height=0.2028;boneWorldX=-0.1591;boneWorldY=0.6566;scale=0.5",""
"Attachment","8007","spine_xiaoren","","b12","active_draw_order_attachment","drawOrder=34;bone=a79;type=","color=1,1,1,1;boneActive=True","",""
"Attachment","8007","spine_xiaoren","a15","a15","active_draw_order_attachment","drawOrder=35;bone=a29;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=35;slot=a15;bone=a29;attachment=a15;type=MeshAttachment;vertices=17;minX=-0.3616;minY=0.449;maxX=-0.2114;maxY=0.5406;width=0.1502;height=0.0917;boneWorldX=-0.226;boneWorldY=0.4976;scale=0.5",""
"Attachment","8007","spine_xiaoren","a14","a14","active_draw_order_attachment","drawOrder=36;bone=a37;type=MeshAttachment","color=1,1,1,1;boneActive=True","animation=run;sampleTime=0;drawOrder=36;slot=a14;bone=a37;attachment=a14;type=MeshAttachment;vertices=29;minX=-0.4178;minY=0.4404;maxX=-0.3309;maxY=0.5251;width=0.0869;height=0.0847;boneWorldX=-0.3403;boneWorldY=0.4862;scale=0.5",""
"AtlasRegion","Spine_shijieanniu","spine_diqiu","diqiu","2,257,704,706","texture_region_trace","alphaRatio=0.604361","whiteishRatio=0.000934","avg=86,85,42,153;pixels=497024",""
"AtlasRegion","Spine_shijieanniu","spine_diqiu","yun","497,152,83,36","texture_region_trace","alphaRatio=0.337349","whiteishRatio=0.248661","avg=238,238,237,59;pixels=2988",""
"AtlasRegion","Spine_shijieanniu","spine_diqiu","yun2","497,190,108,65","texture_region_trace","alphaRatio=0.45755","whiteishRatio=0.270655","avg=214,215,206,104;pixels=7020",""
"AtlasRegion","Spine_shijieanniu","spine_diqiu","zhuye_bian","257,17,238,238","texture_region_trace","alphaRatio=0.035079","whiteishRatio=0","avg=254,254,254,3;pixels=56644",""
"AtlasRegion","Spine_shijieanniu","spine_diqiu","zhuye_di1","2,2,253,253","texture_region_trace","alphaRatio=0.538331","whiteishRatio=0.030168","avg=156,213,235,131;pixels=64009",""
"AtlasRegion","8007","spine_xiaoren","a1","0,157,123,99","texture_region_trace","alphaRatio=0.425967","whiteishRatio=0.006323","avg=45,36,43,105;pixels=12177",""
"AtlasRegion","8007","spine_xiaoren","a10","431,106,67,68","texture_region_trace","alphaRatio=0.813652","whiteishRatio=0.209175","avg=208,162,153,203;pixels=4556",""
"AtlasRegion","8007","spine_xiaoren","a11","431,73,15,53","texture_region_trace","alphaRatio=0.591195","whiteishRatio=0.010063","avg=147,103,116,136;pixels=795",""
"AtlasRegion","8007","spine_xiaoren","a12","330,0,15,8","texture_region_trace","alphaRatio=0.566667","whiteishRatio=0","avg=86,71,86,112;pixels=120",""
"AtlasRegion","8007","spine_xiaoren","a13","283,17,15,20","texture_region_trace","alphaRatio=0.733333","whiteishRatio=0.12","avg=121,97,100,167;pixels=300",""
"AtlasRegion","8007","spine_xiaoren","a14","355,0,9,9","texture_region_trace","alphaRatio=0.753086","whiteishRatio=0","avg=28,24,31,152;pixels=81",""
"AtlasRegion","8007","spine_xiaoren","a15","232,117,12,16","texture_region_trace","alphaRatio=0.59375","whiteishRatio=0.03125","avg=94,75,81,130;pixels=192",""
"AtlasRegion","8007","spine_xiaoren","a16","363,48,24,18","texture_region_trace","alphaRatio=0.645833","whiteishRatio=0.136574","avg=130,97,106,152;pixels=432",""
"AtlasRegion","8007","spine_xiaoren","a17","373,0,8,8","texture_region_trace","alphaRatio=0.671875","whiteishRatio=0","avg=26,21,29,134;pixels=64",""
"AtlasRegion","8007","spine_xiaoren","a18","258,4,8,9","texture_region_trace","alphaRatio=0.791667","whiteishRatio=0.055556","avg=90,82,74,169;pixels=72",""
"AtlasRegion","8007","spine_xiaoren","a19","478,50,23,34","texture_region_trace","alphaRatio=0.634271","whiteishRatio=0","avg=129,89,93,150;pixels=782",""
"AtlasRegion","8007","spine_xiaoren","a2","52,0,48,4","texture_region_trace","alphaRatio=0.21875","whiteishRatio=0","avg=114,58,104,23;pixels=192",""
"AtlasRegion","8007","spine_xiaoren","a20","406,16,20,32","texture_region_trace","alphaRatio=0.685938","whiteishRatio=0.007813","avg=92,69,78,162;pixels=640",""
"AtlasRegion","8007","spine_xiaoren","a21","498,92,14,26","texture_region_trace","alphaRatio=0.64011","whiteishRatio=0.021978","avg=91,78,95,146;pixels=364",""
"AtlasRegion","8007","spine_xiaoren","a22","234,13,15,32","texture_region_trace","alphaRatio=0.683333","whiteishRatio=0.039583","avg=95,68,79,157;pixels=480",""
"AtlasRegion","8007","spine_xiaoren","a23","232,133,12,23","texture_region_trace","alphaRatio=0.75","whiteishRatio=0.014493","avg=91,77,95,171;pixels=276",""
"AtlasRegion","8007","spine_xiaoren","a24","298,17,15,20","texture_region_trace","alphaRatio=0.64","whiteishRatio=0.04","avg=103,80,84,146;pixels=300",""
"AtlasRegion","8007","spine_xiaoren","a25","426,13,36,40","texture_region_trace","alphaRatio=0.439583","whiteishRatio=0","avg=94,63,85,102;pixels=1440",""
"AtlasRegion","8007","spine_xiaoren","a26","466,9,20,40","texture_region_trace","alphaRatio=0.44625","whiteishRatio=0","avg=84,61,76,102;pixels=800",""
