kind,key,node,name,path,classification,detail1,detail2,detail3,decision
"Target","Spine_shijieanniu","spine_diqiu","spine_diqiu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392","trace_only_no_evidence_to_hide_route_frame_candidates","animationFound=True;duration=10;slots=9;drawOrder=9","mesh=63/78;submesh=1;bounds=0,0,0/253,253,0","maskable=True;maskAncestor=False;nonZeroStencil=False;canvasRendererTexture=","Animation samples and original node material/mask state were traced without changing hierarchy, rect, scale, sibling order, or visual state."
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","candidate_attachment_visibility_sample","sample=setup_pose;time=-1;drawOrder=0;slotIndex=0","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","candidate_attachment_visibility_sample","sample=setup_pose;time=-1;drawOrder=1;slotIndex=1","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zong1","zong1","spine_clipping_attachment_present","sample=setup_pose;time=-1;drawOrder=2;slotIndex=2","type=ClippingAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","candidate_attachment_visibility_sample","sample=setup_pose;time=-1;drawOrder=3;slotIndex=8","type=RegionAttachment;bone=zhuan;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","candidate_attachment_visibility_sample","sample=animation_A;time=0;drawOrder=0;slotIndex=0","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","candidate_attachment_visibility_sample","sample=animation_A;time=0;drawOrder=1;slotIndex=1","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zong1","zong1","spine_clipping_attachment_present","sample=animation_A;time=0;drawOrder=2;slotIndex=2","type=ClippingAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","candidate_attachment_visibility_sample","sample=animation_A;time=0;drawOrder=3;slotIndex=8","type=RegionAttachment;bone=zhuan;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","candidate_attachment_visibility_sample","sample=animation_A;time=1.25;drawOrder=0;slotIndex=0","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","candidate_attachment_visibility_sample","sample=animation_A;time=1.25;drawOrder=1;slotIndex=1","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zong1","zong1","spine_clipping_attachment_present","sample=animation_A;time=1.25;drawOrder=2;slotIndex=2","type=ClippingAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","candidate_attachment_visibility_sample","sample=animation_A;time=1.25;drawOrder=3;slotIndex=8","type=RegionAttachment;bone=zhuan;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","candidate_attachment_visibility_sample","sample=animation_A;time=2.5;drawOrder=0;slotIndex=0","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","candidate_attachment_visibility_sample","sample=animation_A;time=2.5;drawOrder=1;slotIndex=1","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zong1","zong1","spine_clipping_attachment_present","sample=animation_A;time=2.5;drawOrder=2;slotIndex=2","type=ClippingAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","candidate_attachment_visibility_sample","sample=animation_A;time=2.5;drawOrder=3;slotIndex=8","type=RegionAttachment;bone=zhuan;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","candidate_attachment_visibility_sample","sample=animation_A;time=3.75;drawOrder=0;slotIndex=0","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","candidate_attachment_visibility_sample","sample=animation_A;time=3.75;drawOrder=1;slotIndex=1","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zong1","zong1","spine_clipping_attachment_present","sample=animation_A;time=3.75;drawOrder=2;slotIndex=2","type=ClippingAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","candidate_attachment_visibility_sample","sample=animation_A;time=3.75;drawOrder=3;slotIndex=8","type=RegionAttachment;bone=zhuan;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","candidate_attachment_visibility_sample","sample=animation_A;time=5;drawOrder=0;slotIndex=0","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","candidate_attachment_visibility_sample","sample=animation_A;time=5;drawOrder=1;slotIndex=1","type=RegionAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","zong1","zong1","spine_clipping_attachment_present","sample=animation_A;time=5;drawOrder=2;slotIndex=2","type=ClippingAttachment;bone=zong;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
"AttachmentSample","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","candidate_attachment_visibility_sample","sample=animation_A;time=5;drawOrder=3;slotIndex=8","type=RegionAttachment;bone=zhuan;boneActive=True","visible=True;alpha=1;color=1,1,1,1",""
