kind,key,node,name,path,classification,detail1,detail2,detail3,decision
"Target","Spine_shijieanniu","spine_diqiu","spine_diqiu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392","trace_only_clipping_and_texture_handoff_verified_no_visual_patch","mesh=63/78;submesh=1;bounds=253,253,0","instructions=True;hasActiveClipping=True;instructionSubmeshCount=1","mainTexture=Spine_shijieanniu 1024x1024;baseTexture=Spine_shijieanniu 1024x1024;canvasRendererTexture=","zhuye_di1/zhuye_bian are before zong1 clipping in draw order; zong1 clipping applies to later attachments such as diqiu. SkeletonGraphic.mainTexture/baseTexture carry the atlas texture even though CanvasRenderer.GetTexture reflection is empty."
"Clip","Spine_shijieanniu","spine_diqiu","zhuye_di1","zhuye_di1","pre_clipping_unclipped_attachment","drawOrder=0;type=RegionAttachment;clipActive=False;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=4;clippedTris=2","rawBounds=-1.265,-1.265,1.265,1.265;clippedBounds=-1.265,-1.265,1.265,1.265",""
"Clip","Spine_shijieanniu","spine_diqiu","zhuye_bian","zhuye_bian","pre_clipping_unclipped_attachment","drawOrder=1;type=RegionAttachment;clipActive=False;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=4;clippedTris=2","rawBounds=-1.19,-1.19,1.19,1.19;clippedBounds=-1.19,-1.19,1.19,1.19",""
"Clip","Spine_shijieanniu","spine_diqiu","zong1","zong1","clip_start_zong1","drawOrder=2;type=ClippingAttachment;clipActive=True;clipStart=True;clipEndSlot=zong1","rawVerts=13;rawTris=0;clippedVerts=13;clippedTris=0","rawBounds=;clippedBounds=",""
"Clip","Spine_shijieanniu","spine_diqiu","diqiu","diqiu","clipping_applied_geometry_changed","drawOrder=3;type=RegionAttachment;clipActive=True;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=15;clippedTris=11","rawBounds=-1.6896,-2.9247,1.6896,0.4641;clippedBounds=-1.207,-1.2058,1.2048,0.4641",""
"Clip","Spine_shijieanniu","spine_diqiu","yun","yun3","clipping_applied_geometry_changed","drawOrder=4;type=RegionAttachment;clipActive=True;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=7;clippedTris=3","rawBounds=-0.0558,0.3893,0.7874,0.9313;clippedBounds=-0.0558,0.3893,0.726,0.9313",""
"Clip","Spine_shijieanniu","spine_diqiu","yun2","yun2","clipping_applied_geometry_changed","drawOrder=5;type=RegionAttachment;clipActive=True;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=7;clippedTris=3","rawBounds=0.3918,0.2391,1.4759,1.1124;clippedBounds=0.3918,0.2391,0.8791,0.786",""
"Clip","Spine_shijieanniu","spine_diqiu","yun2","yun4","clipping_applied_geometry_changed","drawOrder=6;type=RegionAttachment;clipActive=True;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=6;clippedTris=2","rawBounds=-1.4111,0.0834,-0.1788,1.0762;clippedBounds=-1.1182,0.1056,-0.1788,0.8834",""
"Clip","Spine_shijieanniu","spine_diqiu","yun","yun","clipping_applied_geometry_changed","drawOrder=7;type=RegionAttachment;clipActive=True;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=7;clippedTris=3","rawBounds=-0.6046,0.4839,0.2146,1.0106;clippedBounds=-0.5453,0.4839,0.2146,0.9429",""
"Clip","Spine_shijieanniu","spine_diqiu","yun","yun5","clipping_applied_geometry_changed","drawOrder=8;type=RegionAttachment;clipActive=True;clipStart=False;clipEndSlot=","rawVerts=4;rawTris=2;clippedVerts=0;clippedTris=0","rawBounds=-1.5638,0.6769,-0.7446,1.2036;clippedBounds=",""
