variant,name,path,parent,siblingIndex,childCount,activeSelf,activeInHierarchy,anchoredPosition,sizeDelta,localScale,anchorMin,anchorMax,pivot,imageSprite,imageColor,raycastTarget,button,buttonInteractable,tmpText,canvasSortingOrder,canvasOverrideSorting,components
"default_root_route_state","UI_bg__-7723620072473078182","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/UI_bg__-7723620072473078182","UI_MainInterface__5568884429252053541",0,0,True,True,"0,0","1680,720","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","runtime_UI_bg_noalphabg_PaintingBG_1005","1,1,1,1",True,True,True,,0,False,"RectTransform|CanvasRenderer|Image|Button|RestoreClickLogger"
"default_root_route_state","UI_heroSpine__-5284402592931468190","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/UI_heroSpine__-5284402592931468190","UI_MainInterface__5568884429252053541",1,0,True,True,"0,0","0,0","1,1,1","0,0","1,1","0.5,0.5",,"1,1,1,0",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","UI_touchSpine__718716608411067892","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/UI_touchSpine__718716608411067892","UI_MainInterface__5568884429252053541",2,0,True,True,"-61,-28","650,400","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5",,"1,1,1,0",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","left__-7709903567246479490","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490","UI_MainInterface__5568884429252053541",8,11,True,True,"-125,0","0,0","1,1,1","0,0.5","0,0.5","0.5,0.5",,,False,False,False,,0,False,"RectTransform"
"default_root_route_state","bg_juese__8924767933396413025","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025","left__-7709903567246479490",0,12,True,True,"175,293.7","253.5,68","1,1,1","0.5,0.5","0.5,0.5","0,0.5","fid1_6617065208850742552_Image_blank","1,1,1,1",True,True,True,,0,False,"RectTransform|CanvasRenderer|Image|Button|RestoreClickLogger"
"default_root_route_state","bg_guanzhi__-8534250633972333745","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/bg_guanzhi__-8534250633972333745","bg_juese__8924767933396413025",6,1,True,True,"-114.9,41.5","160,117","0.6,0.6,1","0.5,0.5","0.5,0.5","0.5,0.5","fid1_4706490186155028499_guanzhi_maozi1","1,1,1,1",True,False,False,,0,False,"RectTransform|CanvasRenderer|Image|RestoreClickLogger"
"default_root_route_state","text_guan_num__661874068022739656__font_riyu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/bg_guanzhi__-8534250633972333745/text_guan_num__661874068022739656__font_riyu","bg_guanzhi__-8534250633972333745",0,0,True,True,"1.8,12","0,15","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5",,,False,False,False,"2",0,False,"RectTransform|CanvasRenderer|TextMeshProUGUI"
"default_root_route_state","bg_jingyan__-2773496565854113313","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/bg_jingyan__-2773496565854113313","bg_juese__8924767933396413025",1,1,True,True,"-66.7,2.4","270,12","1,1,1","0.5,0.5","0.5,0.5","0,0.5","fid11_5224562917610092977_zhuye_jindu1","1,1,1,1",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","im_jingyan__-4893102460208870818","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/bg_jingyan__-2773496565854113313/im_jingyan__-4893102460208870818","bg_jingyan__-2773496565854113313",0,0,True,True,"-0.9,0","266,8","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","fid11_-5535224778061071107_zhuye_jindu2","1,1,1,1",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","btn_discord__-910126287860930647","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/btn_discord__-910126287860930647","bg_juese__8924767933396413025",9,0,False,False,"-86,-315","150,150","0.3,0.3,1","0.5,0.5","0.5,0.5","0.5,0.5",,"1,1,1,0",True,True,True,,0,False,"RectTransform|CanvasRenderer|Image|Button|RestoreClickLogger"
"default_root_route_state","btn_naver__-2480755093783065391","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/btn_naver__-2480755093783065391","bg_juese__8924767933396413025",10,0,False,False,"-206,-311","150,150","0.3,0.3,1","0.5,0.5","0.5,0.5","0.5,0.5",,"1,1,1,0",True,True,True,,0,False,"RectTransform|CanvasRenderer|Image|Button|RestoreClickLogger"
"default_root_route_state","btn_twitter__8621551243087461226","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/btn_twitter__8621551243087461226","bg_juese__8924767933396413025",8,0,False,False,"-146,-313.7","150,150","0.3,0.3,1","0.5,0.5","0.5,0.5","0.5,0.5","fid3_-7706873069668347874_btn_tt","1,1,1,1",True,True,True,,0,False,"RectTransform|CanvasRenderer|Image|Button|RestoreClickLogger"
"default_root_route_state","head_yuan150__-3481527396824609616","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/head_yuan150__-3481527396824609616","bg_juese__8924767933396413025",2,3,True,True,"-113,1","0,0","0.7,0.7,0.7","0.5,0.5","0.5,0.5","0.5,0.5",,,False,False,False,,0,False,"RectTransform"
"default_root_route_state","im_kuang__-1763203909323240405","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/head_yuan150__-3481527396824609616/im_kuang__-1763203909323240405","head_yuan150__-3481527396824609616",1,0,True,True,"0,0","200,200","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","fid52_-196143430353613404_headframe_02","1,1,1,1",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","im_mask__7191594683930153885","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/head_yuan150__-3481527396824609616/im_mask__7191594683930153885","head_yuan150__-3481527396824609616",0,1,True,True,"0,0","150,150","0.9,0.9,1","0.5,0.5","0.5,0.5","0.5,0.5","fid1_-8484185493004443083_IC_touxiangzhezhao","1,1,1,1",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","btn_head__-1793161656856365654","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/head_yuan150__-3481527396824609616/im_mask__7191594683930153885/btn_head__-1793161656856365654","im_mask__7191594683930153885",0,0,True,True,"0,0","145,145","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5",,"1,1,1,0",True,True,True,,0,False,"RectTransform|CanvasRenderer|Image|Button|RestoreClickLogger"
"default_root_route_state","im_xuanzhong__-4933049869330783874","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/head_yuan150__-3481527396824609616/im_xuanzhong__-4933049869330783874","head_yuan150__-3481527396824609616",2,0,False,False,"0,0","200,200","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","fid1_-3341524470259435328_T_xuanzhongxiaoguo","1,1,1,1",True,False,False,,0,False,"RectTransform|CanvasRenderer|Image|RestoreClickLogger"
"default_root_route_state","im_bg__1541906479260934459","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/im_bg__1541906479260934459","bg_juese__8924767933396413025",0,0,True,True,"98.3,28","411,39","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","fid11_-3144903747913858528_zhuye_name","1,1,1,1",True,False,False,,0,False,"RectTransform|CanvasRenderer|Image|RestoreClickLogger"
"default_root_route_state","im_redpoint_line__-3311789473616963467","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/im_redpoint_line__-3311789473616963467","bg_juese__8924767933396413025",11,2,True,True,"-70.5,27.3","27,27","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5",,"1,1,1,0",True,False,False,,0,False,"RectTransform|CanvasRenderer|Image|RestoreClickLogger"
"default_root_route_state","RedDot__846085349476589029","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/im_redpoint_line__-3311789473616963467/RedDot__846085349476589029","im_redpoint_line__-3311789473616963467",0,1,True,True,"0,0","27,27","0.8,0.8,1","0.5,0.5","0.5,0.5","0.5,0.5","fid1_523894093744659759_T_hongdian_1","1,1,1,1",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","SkeletonGraphic (hongdian01)__8731991334981787512","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/im_redpoint_line__-3311789473616963467/RedDot__846085349476589029/SkeletonGraphic (hongdian01)__8731991334981787512","RedDot__846085349476589029",0,0,False,False,"0,0","33,32","1,1,1","0.5,0.5","0.5,0.5","0.515,0.5",,,False,False,False,,0,False,"RectTransform"
"default_root_route_state","text_num__-6918533542538965523","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/im_redpoint_line__-3311789473616963467/text_num__-6918533542538965523","im_redpoint_line__-3311789473616963467",1,0,False,False,"0,0","40,30","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5",,,False,False,False,,0,False,"RectTransform|CanvasRenderer|Text"
"default_root_route_state","im_zhan__-1299672952214551046","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/im_zhan__-1299672952214551046","bg_juese__8924767933396413025",3,0,True,True,"111.9,31.4","42,40","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","fid1_3394737168634826602_multilang_IC_zhandouli","1,1,1,1",False,False,False,,0,False,"RectTransform|CanvasRenderer|Image"
"default_root_route_state","img_playerLevel__2764982086506843084","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/img_playerLevel__2764982086506843084","bg_juese__8924767933396413025",7,1,True,True,"-153.4,32.7","46,46","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","fid11_2863876615875186783_zhuye_lv","1,1,1,1",True,False,False,,0,False,"RectTransform|CanvasRenderer|Image|RestoreClickLogger"
"default_root_route_state","text_level_num__-3321106006577057027__font_num","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/img_playerLevel__2764982086506843084/text_level_num__-3321106006577057027__font_num","img_playerLevel__2764982086506843084",0,0,True,True,"0.4,0","0,30","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5",,,False,False,False,"12",0,False,"RectTransform|CanvasRenderer|TextMeshProUGUI"
"default_root_route_state","text_fight_num__7563613817165128761__font_num","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/text_fight_num__7563613817165128761__font_num","bg_juese__8924767933396413025",4,0,True,True,"229.3,28.1","180,35","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5",,,False,False,False,"844,651,695",0,False,"RectTransform|CanvasRenderer|TextMeshProUGUI"
"default_root_route_state","text_name__2373153506476881520__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/text_name__2373153506476881520__font_EPM","bg_juese__8924767933396413025",5,1,True,True,"-57.3,32","0,20","1,1,1","0.5,0.5","0.5,0.5","0,0.5",,,False,False,False,"안나 ",0,False,"RectTransform|CanvasRenderer|TextMeshProUGUI"
"default_root_route_state","im_redpoint_name__-1557498962857941110","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/text_name__2373153506476881520__font_EPM/im_redpoint_name__-1557498962857941110","text_name__2373153506476881520__font_EPM",0,1,True,True,"10,0","27,27","1,1,1","1,1","1,1","0.5,0.5",,,False,False,False,,0,False,"RectTransform"
"default_root_route_state","Image__8493737604580952637","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/text_name__2373153506476881520__font_EPM/im_redpoint_name__-1557498962857941110/Image__8493737604580952637","im_redpoint_name__-1557498962857941110",0,0,True,True,"15.9,-10.5","24,24","1,1,1","0.5,0.5","0.5,0.5","0.5,0.5","fid11_2936850142702270063_zhuye_gai","1,1,1,1",True,False,False,,0,False,"RectTransform|CanvasRenderer|Image|RestoreClickLogger"
