variant,name,path,activeInHierarchy,text,fontSize,enableAutoSizing,fontSizeMin,fontSizeMax,font,material,materialShader,color,localScale,sizeDelta,raycastTarget
"default_root_route_state","text_guan_num__661874068022739656__font_riyu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/bg_guanzhi__-8534250633972333745/text_guan_num__661874068022739656__font_riyu",True,"2",28,False,18,72,"GirlsWarStaticProbe_riyu_TMP","TMPShared_riyu_m4383744721098263825","TextMeshPro/Mobile/Distance Field","1,0.923,0.401,1","1,1,1","0,15",False
"default_root_route_state","text_level_num__-3321106006577057027__font_num","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/img_playerLevel__2764982086506843084/text_level_num__-3321106006577057027__font_num",True,"12",22,False,18,72,"GirlsWarStaticProbe_num_TMP","TMPShared_num_3398605064068647022","TextMeshPro/Mobile/Distance Field","1,1,1,1","1,1,1","0,30",False
"default_root_route_state","text_fight_num__7563613817165128761__font_num","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/text_fight_num__7563613817165128761__font_num",True,"844,651,695",26,False,18,72,"GirlsWarStaticProbe_num_TMP","TMPShared_num_5346313758352445069","TextMeshPro/Mobile/Distance Field","1,1,1,1","1,1,1","180,35",False
"default_root_route_state","text_name__2373153506476881520__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/text_name__2373153506476881520__font_EPM",True,"안나 ",20,False,18,72,"GirlsWarStaticProbe_EPM_bai_0_2_0_2_TMP","GirlsWarStaticProbe_EPM_bai_0_2_0_2_Material","TextMeshPro/Mobile/Distance Field","0.286,0.243,0.208,1","1,1,1","0,20",False
"default_root_route_state","tmp_bubble_pro__-5206898783637326912__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/btn_download__7328067398302382935/tmp_bubble_pro__-5206898783637326912__font_EPM",True,"0%",18,False,5,20,"GirlsWarStaticProbe_EPM_TMP","TMPShared_EPM_5325321661327454409","TextMeshPro/Mobile/Distance Field","1,1,1,1","1,1,1","0,30",False
"default_root_route_state","text_temporary_buff__3182646447603101199__font_riyu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/btn_temporary_buff__-4503624219808831110/text_temporary_buff__3182646447603101199__font_riyu",True,"보너스 발동 중",20,False,5,20,"GirlsWarStaticProbe_riyu_TMP","TMPShared_riyu_8263912359925383730","TextMeshPro/Mobile/Distance Field","0.498,0.314,0.059,1","1,1,1","160,30",False
"default_root_route_state","txt_face_name__3575362382831631425__font_riyu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/faceGiftNode__2915645714390258269/txt_face_name__3575362382831631425__font_riyu",True,"옷장 속 약속",20,False,16,72,"GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP","GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material","TextMeshPro/Mobile/Distance Field","0,0,0,1","0.9,0.9,1","200,14.01",False
"default_root_route_state","txt_face_time__8000622557060133872__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/faceGiftNode__2915645714390258269/txt_face_time__8000622557060133872__font_EPM",True,"10:10",18,False,18,72,"GirlsWarStaticProbe_EPM_TMP","TMPShared_EPM_8649783434632076371","TextMeshPro/Mobile/Distance Field","1,1,1,1","1,1,1","200,30",False
"default_root_route_state","text_vip_num__-6064814721411876321__font_riyu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/funcsBtnOpt__-957505502039124638/im_vip_bg__4898268749995599164/vip_img__-4560014356866549307/text_vip_num__-6064814721411876321__font_riyu",False,"10",18,False,18,72,"GirlsWarStaticProbe_riyu_shenzong_0_2_0_2_TMP","GirlsWarStaticProbe_riyu_shenzong_0_2_0_2_Material","TextMeshPro/Mobile/Distance Field","0.965,0.831,0.008,1","1,1,1","40,22",False
"default_root_route_state","txt_act_leftTime__6300221414991411963__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/left_node_face_btn__1861898826191704551/btn_face_item_1__-3948317681477490579/txt_act_leftTime__6300221414991411963__font_EPM",False,"10:10:10",18,False,16,72,"GirlsWarStaticProbe_EPM_TMP","TMPShared_EPM_m3548449482811076398","TextMeshPro/Mobile/Distance Field","0.333,0.878,0.922,1","1,1,1","110,14.01",False
