font_key,bundle,font_path_id,glyph_index,width,height,bearing_x,bearing_y,advance,rect_x,rect_y,rect_width,rect_height,scale,atlas_index
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,1,0.0,0.0,0.0,0.0,11.203125,0,0,0,0,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,2,24.0,28.640625,0.0,27.59375,24.046875,40,10,24,30,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,4,29.1875,30.25,1.40625,29.046875,32.046875,10,93,30,32,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,7,11.96875,35.828125,2.078125,29.59375,14.515625,10,144,13,37,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,8,11.953125,35.828125,0.484375,29.59375,14.515625,10,200,13,37,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,10,21.4375,21.4375,1.4375,22.4375,24.6875,10,256,22,22,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,11,7.875,10.90625,1.921875,0.3125,11.796875,43,59,9,12,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,12,21.4375,3.953125,1.4375,13.3125,24.28125,42,144,22,5,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,13,7.890625,7.875,1.953125,0.3125,11.796875,59,90,9,9,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,14,14.4375,36.109375,0.046875,30.796875,15.234375,83,10,15,37,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,15,25.359375,35.40625,1.28125,29.640625,27.6875,42,168,26,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,16,12.25,34.203125,1.796875,28.84375,16.28125,10,297,14,35,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,17,25.953125,34.640625,1.046875,29.234375,28.796875,10,351,26,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,18,26.453125,35.4375,1.234375,29.640625,28.796875,51,223,27,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,19,27.90625,34.796875,-0.3125,29.15625,28.796875,51,278,29,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,20,26.515625,34.953125,0.765625,29.15625,28.796875,87,66,28,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,21,25.640625,36.046875,2.078125,29.640625,28.796875,117,10,26,37,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,22,24.953125,34.796875,1.125,29.15625,27.796875,87,121,26,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,23,25.328125,35.5625,0.796875,29.84375,28.765625,97,176,27,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,24,25.640625,36.046875,2.078125,29.640625,28.796875,134,66,26,37,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,25,7.875,25.078125,2.765625,24.71875,13.203125,97,231,9,26,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,32,30.46875,34.796875,0.046875,29.15625,30.484375,162,10,31,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,33,29.671875,34.796875,-0.4375,29.15625,30.40625,10,406,31,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,34,28.40625,36.359375,0.953125,29.953125,30.765625,55,333,30,37,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,35,30.875,34.796875,-0.4375,29.15625,32.046875,99,276,32,36,1.0,0
riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,7841306283836229386,36,28.15625,34.796875,-0.4375,29.15625,28.84375,143,122,29,36,1.0,0
