button_name,normalized_token,candidate_xlua_modules,lua_com_exact_match_count,lua_script_paths,lua_group_names,lua_com_names,direct_hit_count,source_kinds,guide_or_event_evidence,hit_1,hit_2,hit_3
UI_bg,bg,UI_MainPage;MainPageMgr,0,,,,1,il2cpp,,"{""source_kind"": ""il2cpp"", ""file"": ""extracted/il2cpp_dump/dump.cs"", ""line"": ""440063"", ""excerpt"": ""public const int UI_BgSet = 262;""}",,
autoHelper_Root,autohelper_root,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,autohelper,autoHelper_Root,0,,,,,
bannerBgBtn,bannerbgbtn,UI_MainPage;MainPageMgr;UI_MainPageActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,act_banner,bannerBgBtn,0,,,,,
bg_ditu2,bg_ditu2,UI_MainPage;MainPageMgr,0,,,,0,,,,,
bg_juese,bg_juese,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,tuxiang,bg_juese,0,,,,,
btnToggle1,btntoggle1,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle1,0,,,,,
btnToggle2,btntoggle2,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle2,0,,,,,
btnToggle3,btntoggle3,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle3,0,,,,,
btnToggle4,btntoggle4,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle4,1,guide_textasset,"{99003,99,{34},249,""guide_btnToggle4"",1,1,0,0,"""","""","""",0,0,0,2,""1.5"",0,0,"""",""ON_CLICK_MAINHUFU_SUC"",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,""noviceguidebubble100206"",0,0,1,{-151,183},{99},{""isInPage(0,219)""}},","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""374"", ""excerpt"": ""{99003,99,{34},249,\""guide_btnToggle4\"",1,1,0,0,\""\"",\""\"",\""\"",0,0,0,2,\""1.5\"",0,0,\""\"",\""ON_CLICK_MAINHUFU_SUC\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""noviceguidebubble100206\"",0,0,1,{-151,183},{99},{\""isInPage(0,219)\""}},""}",,
btnToggle5,btntoggle5,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle5,0,,,,,
btnToggle6,btntoggle6,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle6,0,,,,,
btnToggle7,btntoggle7,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,righbottom2,btnToggle7,0,,,,,
