button_component_path_id,button_game_object_id,button_game_object_name,lua_exact_match_count,lua_script_modules,candidate_xlua_modules,lua_group_names,lua_com_names,candidate_targets,matched_target,handler_confidence,handler_module,handler_kind,handler_event,handler,handler_line,handler_raw_line
-9041744500020260455,3162074945722731914,btn_watch2,1,UI_MainPage,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,btn_show,btn_watch2,btn_watch2;btn_watch2;btn_show,btn_watch2,module_and_target,UI_MainPage,listener,onClick,onBtnWatch,161,btn_watch2.onClick:AddListener(onBtnWatch)
-8804151756104759869,-6650442623983403701,p_chat_private_head,1,UI_MainPage,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem;UI_Line_Show,Chat,p_chat_private_head,p_chat_private_head;p_chat_private_head;Chat,,missing,,,,,,
-8652188601832821423,269919480588369530,btn_act,0,,UI_MainPage;MainPageMgr;UI_MainPageActItem,,,btn_act,btn_act,candidate_module_and_target,UI_MainPageActItem,listener,onClick,inline_function,24,"self._bicoms[""btn_act""].onClick:AddListener(function(e)"
-8367117025283260214,-6973826045512480434,btn_qianwang,1,UI_MainPage,UI_MainPage;MainPageMgr,right,btn_qianwang,btn_qianwang;btn_qianwang;right,,missing,,,,,,
-7953309675492957080,-6178576418460602108,btn_act,0,,UI_MainPage;MainPageMgr;UI_MainPageActItem,,,btn_act,btn_act,candidate_module_and_target,UI_MainPageActItem,listener,onClick,inline_function,24,"self._bicoms[""btn_act""].onClick:AddListener(function(e)"
-7511714136645954787,5665041054821263364,warn_item2,1,UI_MainPage,UI_MainPage;MainPageMgr,warn,warn_item2,warn_item2;warn_item2;warn,,missing,,,,,,
-7481061962792381934,4464877392471899717,btn_act,0,,UI_MainPage;MainPageMgr;UI_MainPageActItem,,,btn_act,btn_act,candidate_module_and_target,UI_MainPageActItem,listener,onClick,inline_function,24,"self._bicoms[""btn_act""].onClick:AddListener(function(e)"
-7469346116232948381,4721660477782303194,btn_show,1,UI_MainPage,UI_MainPage;MainPageMgr,middle,btn_show,btn_show;btn_show;middle,,missing,,,,,,
-7461889320061174885,7632541445361125350,btn_act,0,,UI_MainPage;MainPageMgr;UI_MainPageActItem,,,btn_act,btn_act,candidate_module_and_target,UI_MainPageActItem,listener,onClick,inline_function,24,"self._bicoms[""btn_act""].onClick:AddListener(function(e)"
-7281142146625083404,-547111661572642448,btn_jia,1,UI_MainPage,UI_MainPage;MainPageMgr,right,btn_jia_holy,btn_jia_holy;btn_jia;right,btn_jia_holy,module_and_target,UI_MainPage,listener,onClick,onBtnAddHoly,183,btn_jia_holy.onClick:AddListener(onBtnAddHoly)
-7006722214097567714,4264185002932378359,btn_naver,1,UI_MainPage,UI_MainPage;MainPageMgr,leftNode,btn_naver,btn_naver;btn_naver;leftNode,btn_naver,module_and_target,UI_MainPage,listener,onClick,inline_function,147,btn_naver.onClick:AddListener(function()
-6162253039939774535,-8321253577145861072,btn_act,0,,UI_MainPage;MainPageMgr;UI_MainPageActItem,,,btn_act,btn_act,candidate_module_and_target,UI_MainPageActItem,listener,onClick,inline_function,24,"self._bicoms[""btn_act""].onClick:AddListener(function(e)"
-6120225511886839045,-8911406556776068391,btnToggle5,1,UI_MainPage,UI_MainPage;MainPageMgr,rightbom,btnToggle5,btnToggle5;btnToggle5;rightbom,btnToggle5,module_and_target,UI_MainPage,listener,onClick,onBtnGuild,198,btnToggle5.onClick:AddListener(onBtnGuild)
-6063970793930699349,-1793922948707889990,btn_act,0,,UI_MainPage;MainPageMgr;UI_MainPageActItem,,,btn_act,btn_act,candidate_module_and_target,UI_MainPageActItem,listener,onClick,inline_function,24,"self._bicoms[""btn_act""].onClick:AddListener(function(e)"
-5329947491786617253,-8883531350448583426,wanfaBtn,0,,UI_MainPage;MainPageMgr,,,wanfaBtn,wanfaBtn,candidate_module_and_target,UI_MainPage,listener,onClick,onBtnAdventure,187,"e[""wanfaBtn""].onClick:AddListener(onBtnAdventure)"
-5081063114955252591,1846121534783890253,btn_beijing,1,UI_MainPage,UI_MainPage;MainPageMgr,leftNode,btn_beijing,btn_beijing;btn_beijing;leftNode,btn_beijing,module_and_target,UI_MainPage,listener,onClick,onBtnBgSet,134,btn_beijing.onClick:AddListener(onBtnBgSet)
-5070654917775660480,-8501376378821000551,shangdian_Btn,0,,UI_MainPage;MainPageMgr,,,shangdian_Btn,,missing,,,,,,
-4307678747511824550,-1457103517121630268,UI_bg,0,,UI_MainPage;MainPageMgr,,,UI_bg,,missing,,,,,,
-4007150474949512852,1827243085730985232,vip_Btn,1,UI_MainPage,UI_MainPage;MainPageMgr,leftNode,vip_Btn,vip_Btn;vip_Btn;leftNode,vip_Btn,module_and_target,UI_MainPage,listener,onClick,onBtnVip,138,vip_Btn.onClick:AddListener(onBtnVip)
-3668807821403088494,-3593029120460745446,btnToggle3,1,UI_MainPage,UI_MainPage;MainPageMgr,rightbom,btnToggle3,btnToggle3;btnToggle3;rightbom,btnToggle3,module_and_target,UI_MainPage,listener,onClick,onBtnShouhu,196,btnToggle3.onClick:AddListener(onBtnShouhu)
-3657107032362470042,-589134538826087092,wanfaBtn,0,,UI_MainPage;MainPageMgr,,,wanfaBtn,wanfaBtn,candidate_module_and_target,UI_MainPage,listener,onClick,onBtnAdventure,187,"e[""wanfaBtn""].onClick:AddListener(onBtnAdventure)"
-3568137785440752602,-5047846913675438484,btn_act,0,,UI_MainPage;MainPageMgr;UI_MainPageActItem,,,btn_act,btn_act,candidate_module_and_target,UI_MainPageActItem,listener,onClick,inline_function,24,"self._bicoms[""btn_act""].onClick:AddListener(function(e)"
-3325906521697426660,7397495788158367873,btn_jiantou1,1,UI_MainPage,UI_MainPage;MainPageMgr,middle,btn_left,btn_left;btn_jiantou1;middle,btn_left,module_and_target,UI_MainPage,listener,onClick,onBtnLeft,107,btn_left.onClick:AddListener(onBtnLeft)
-2340392683981828803,-4236469219681929378,btn_qianwang,0,,UI_MainPage;MainPageMgr,,,btn_qianwang,,missing,,,,,,
