button_component_path_id,button_game_object_id,button_game_object_name,lua_exact_match_count,lua_script_paths,lua_group_names,lua_com_names,lua_owner_game_object_name
-9041744500020260455,3162074945722731914,btn_watch2,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,btn_show,btn_watch2,UI_MainInterface
-8804151756104759869,-6650442623983403701,p_chat_private_head,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,Chat,p_chat_private_head,UI_MainInterface
-8652188601832821423,269919480588369530,btn_act,0,,,,
-8367117025283260214,-6973826045512480434,btn_qianwang,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,right,btn_qianwang,UI_MainInterface
-7953309675492957080,-6178576418460602108,btn_act,0,,,,
-7511714136645954787,5665041054821263364,warn_item2,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,warn,warn_item2,UI_MainInterface
-7481061962792381934,4464877392471899717,btn_act,0,,,,
-7469346116232948381,4721660477782303194,btn_show,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,middle,btn_show,UI_MainInterface
-7461889320061174885,7632541445361125350,btn_act,0,,,,
-7281142146625083404,-547111661572642448,btn_jia,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,right,btn_jia_holy,UI_MainInterface
-7006722214097567714,4264185002932378359,btn_naver,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_naver,UI_MainInterface
-6162253039939774535,-8321253577145861072,btn_act,0,,,,
-6120225511886839045,-8911406556776068391,btnToggle5,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle5,UI_MainInterface
-6063970793930699349,-1793922948707889990,btn_act,0,,,,
-5329947491786617253,-8883531350448583426,wanfaBtn,0,,,,
-5081063114955252591,1846121534783890253,btn_beijing,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_beijing,UI_MainInterface
-5070654917775660480,-8501376378821000551,shangdian_Btn,0,,,,
-4307678747511824550,-1457103517121630268,UI_bg,0,,,,
-4007150474949512852,1827243085730985232,vip_Btn,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,vip_Btn,UI_MainInterface
-3668807821403088494,-3593029120460745446,btnToggle3,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightbom,btnToggle3,UI_MainInterface
-3657107032362470042,-589134538826087092,wanfaBtn,0,,,,
-3568137785440752602,-5047846913675438484,btn_act,0,,,,
-3325906521697426660,7397495788158367873,btn_jiantou1,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,middle,btn_left,UI_MainInterface
-2340392683981828803,-4236469219681929378,btn_qianwang,0,,,,
-1937302480939607868,8722396124062621871,btn_show_fanhui,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,btn_show,btn_show_fanhui,UI_MainInterface
-1664502759550802495,-2557286150029182793,btn_baiqipao,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,Chat,btn_baiqipao,UI_MainInterface
-1524173034531017806,5893478712417956079,haoyou_Btn,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,haoyou_Btn,UI_MainInterface
-1368142340573859670,6069286315854834525,wanfaBtn,0,,,,
-767262747198555675,-8786651459083853759,btn_act,0,,,,
-638488223082562287,-7571833000352612256,btn_act,0,,,,
-384152171734761225,2183609097357589804,btn_head,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,tuxiang,btn_head,UI_MainInterface
-183327855690800550,-1344885700461243728,btn_renwu,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,right,btn_renwu,UI_MainInterface
