button_name,component_path_id,game_object_id,hierarchy_path,unity_object_path,parent_rect_id,parent_name,sibling_index,screen_x,screen_y,raycast_top_object,raycast_top_kind,target_graphic_component_path_id,target_graphic_raycast_target,click_raycast_clickable,click_invoked,lua_module,lua_handler_reported,lua_handler_resolved,lua_confidence_reported,handler_correction,handler_raw_line,navigation_kind,target_key,target_ui_form,target_lua_module_bundle,target_lua_textasset_path_id,target_lua_textasset_output,target_prefab_bundle,target_prefab_root_name,target_prefab_root_path_id,target_prefab_game_object_id,target_prefab_resolved,resolved_confidence,source_evidence
wanfaBtn,-1368142340573859670,6069286315854834525,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/wanfaBtn(1986840053565196790),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/wanfaBtn(1986840053565196790),51920382737909704,UI_Main_wanfa_item_1,8,1087.994,646.364,wanfaBtn,Button,975500412906767799,1,1,1,UI_MainPage,onBtnAdventure,onBtnAdventure,candidate_module_and_target,hierarchy override: UI_Main_wanfa_item_1 wanfaBtn,"e[""wanfaBtn""].onClick:AddListener(onBtnAdventure)",jump_ui,jump.OnGameJumpUIAdventure,UI_AdventureInterface,download/xlualogic/modules/maininterface.assetbundle,-7116734803677859758,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-7116734803677859758_UI_AdventureInterface.txt,download/ui/uiprefabandres/adventure_ext_prefabs.assetbundle,UI_AdventureInterface,9126857078056841888,7589076574205857087,1,handler_and_jump_target,UI_MainPage line 2826: JumpMgr.OnGameJumpUIAdventure(); UI_Dock lines 274-275 open UI_AdventureInterface
btn_baiqipao,-1664502759550802495,-2557286150029182793,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/liaotian(5395517689795111462)/btn_baiqipao(-524215810688394471),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/liaotian(5395517689795111462)/btn_baiqipao(-524215810688394471),5395517689795111462,liaotian,4,738.12,450.427,btn_baiqipao,Button,-1573743318961785985,,1,1,UI_MainPage,onChat,onChat,module_and_target,,btn_baiqipao.onClick:AddListener(onChat),event_ui,event.CommonEventId.OnShowChatView,,,,,,,,,0,event_target_unknown,UI_MainPage lines 2597-2608 send CommonEventId.OnShowChatView with chat payload
btn_jiantou1,-3325906521697426660,7397495788158367873,UI_MainInterface(5568884429252053541)/mask(-9138204023542992015)/btn_jiantou1(-4297991356429001013),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/mask(-9138204023542992015)/btn_jiantou1(-4297991356429001013),-9138204023542992015,mask,0,813.763,625.198,boxcollider,RaycastTransparentCandidate,4590884574268237296,0,1,1,UI_MainPage,onBtnLeft,onBtnLeft,module_and_target,,btn_left.onClick:AddListener(onBtnLeft),local_state,local.changeBg.previous,,,,,,,,,0,local_action,UI_MainPage lines 2786-2790 call changeBg(1); no page navigation
btn_act,-3568137785440752602,-5047846913675438484,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_5(-1716593492458519915)/btn_act(6156200035339212182),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_5(-1716593492458519915)/btn_act(6156200035339212182),-1716593492458519915,btn_act_5,4,818.379,707.846,btn_act,Button,7775194149923776698,1,1,1,UI_MainPageActItem,inline_function,inline_UI_MainPageActItem,candidate_module_and_target,,"self._bicoms[""btn_act""].onClick:AddListener(function(e)",runtime_activity,runtime.ActMgr.CheckJumpViewById,,,,,,,,,0,handler_runtime_target,UI_MainPageActItem lines 24-35 choose actId/mainPageTouchJumpId then UI_ActRallyRoot or ActMgr:CheckJumpViewById
wanfaBtn,-3657107032362470042,-589134538826087092,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/wanfaBtn(840801985878816193),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/wanfaBtn(840801985878816193),-3930377403474185176,UI_Main_wanfa_item_2,8,1221.038,646.364,wanfaBtn,Button,7677582287010058776,1,1,1,UI_MainPage,onBtnAdventure,onBtnJinji,candidate_module_and_target,hierarchy override: UI_Main_wanfa_item_2 wanfaBtn,"e[""wanfaBtn""].onClick:AddListener(onBtnAdventure)",jump_ui,jump.OnGameJumpUIJingjiRoot,UI_JingjiFrame_View,download/xlualogic/modules/maininterface.assetbundle,2102292922432672894,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/2102292922432672894_UI_JingjiFrame_View.txt,download/ui/uiprefabandres/jingjiframe_ext_prefabs.assetbundle,UI_JingjiFrame,-6930504648548146342,4460317897034033208,1,handler_and_jump_target,UI_MainPage line 2842: JumpMgr.OnGameJumpUIJingjiRoot(); UI_JingjiFrame_View module/root are indexed
btn_head,-384152171734761225,2183609097357589804,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/bg_juese(8924767933396413025)/head_yuan150(-3481527396824609616)/im_mask(7191594683930153885)/btn_head(-1793161656856365654),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/bg_juese(8924767933396413025)/head_yuan150(-3481527396824609616)/im_mask(7191594683930153885)/btn_head(-1793161656856365654),7191594683930153885,im_mask,0,672.127,748.515,btn_head,Button,-7152778008308996810,1,1,1,UI_MainPage,onBtnHead,onBtnHead,module_and_target,,btn_head.onClick:AddListener(onBtnHead),open_ui_form,ui.UI_SystemSet,UI_SystemSet,download/xlualogic/modules/maininterface.assetbundle,412370137018619402,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/412370137018619402_UI_SystemSet.txt,download/ui/uiprefabandres/maininterface.assetbundle,UI_SystemSettings,-6416344286478723216,4945632583473714809,1,direct_ui_form,UI_MainPage lines 2679-2680: GameEntry.UI:OpenUIForm(UIFormId.UI_SystemSet)
UI_bg,-4307678747511824550,-1457103517121630268,UI_MainInterface(5568884429252053541)/UI_bg(-7723620072473078182),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/UI_bg(-7723620072473078182),5568884429252053541,UI_MainInterface,0,960,600,UI_bg,Button,6259596902678607660,1,1,1,,,unknown,missing,,,unknown,unknown,,,,,,,,,0,unknown,No decoded Lua handler/target evidence resolved for this active button.
wanfaBtn,-5329947491786617253,-8883531350448583426,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/wanfaBtn(7344258773029800384),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/wanfaBtn(7344258773029800384),1745568030950951925,UI_Main_wanfa_item_3,8,1087.994,542.549,wanfaBtn,Button,-5740242890252651072,1,1,1,UI_MainPage,onBtnAdventure,onBtnLimit,candidate_module_and_target,hierarchy override: UI_Main_wanfa_item_3 wanfaBtn,"e[""wanfaBtn""].onClick:AddListener(onBtnAdventure)",runtime_activity,runtime.MainPageLimitMgr.LimitClickHandler,,,,,,,,,0,handler_runtime_target,UI_MainPage lines 2857-2861 call MainPageLimitMgr:checkCanShowLimitPage() then LimitClickHandler(t)
btnToggle5,-6120225511886839045,-8911406556776068391,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/toogles(3866169621397050666)/toggle5(4700239085922634030)/toggle_node(-5378092167677093850)/btnToggle5(2076358912804206005),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/toogles(3866169621397050666)/toggle5(4700239085922634030)/toggle_node(-5378092167677093850)/btnToggle5(2076358912804206005),-5378092167677093850,toggle_node,1,1263.818,417.569,btnToggle5,Button,4983162894814796976,,1,1,UI_MainPage,onBtnGuild,onBtnGuild,module_and_target,,btnToggle5.onClick:AddListener(onBtnGuild),jump_ui,jump.OnGameJumpUIGuild,UI_GuildMainView,download/xlualogic/modules/guild.assetbundle,1895751769857850875,extracted/unity/bundles/b_9fd0fa29e9182b56/textassets/1895751769857850875_UI_GuildMainView.txt,download/ui/uiprefabandres/guild_ext_prefabs.assetbundle,UI_GuildMain,6405374180942476390,-1602363443589323670,1,handler_and_jump_target,UI_MainPage lines 2912-2913 call JumpMgr.OnGameJumpUIGuild(); UI_Dock lines 277-278 open UI_GuildMainView
btn_jia,-7281142146625083404,-547111661572642448,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/UI_currency(80910812660760128)/btn_jia(-6796115180463095428),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/UI_currency(80910812660760128)/btn_jia(-6796115180463095428),80910812660760128,UI_currency,1,1264.377,768.824,boxcollider,RaycastTransparentCandidate,2269709866082812139,0,1,1,UI_MainPage,onBtnAddHoly,onBtnAddHoly,module_and_target,,btn_jia_holy.onClick:AddListener(onBtnAddHoly),runtime_activity,runtime.ActMgr.CheckJumpViewById.301,,,,,,,,,0,handler_runtime_target,UI_MainPage lines 2740-2741: ActMgr:CheckJumpViewById(301)
