path_id,game_object_id,game_object_name,active,anchor_min_x,anchor_min_y,anchor_max_x,anchor_max_y,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,pivot_x,pivot_y,local_scale_x,local_scale_y
-9138204023542992015,8182931624728516534,mask,True,0.0,0.5,1.0,0.5,0.0,0.0,0.0,100.0,0.5,0.5,1.0,1.0
-7723620072473078182,-1457103517121630268,UI_bg,True,0.5,0.5,0.5,0.5,0.0,0.0,1680.0,720.0,0.5,0.5,1.0,1.0
-7709903567246479490,5001222786603717847,left,True,0.0,0.5,0.0,0.5,-125.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
-7066683132857930382,7146817651936697072,autoHelper_Root,True,0.5,0.5,0.5,0.5,-20.0,142.0,100.0,100.0,0.5,0.5,1.0,1.0
-6050138707530382152,723914069151155929,guide_mask,False,0.5,0.5,0.5,0.5,0.0,0.0,1680.0,720.0,0.5,0.5,1.0,1.0
-5284402592931468190,6569245046781814939,UI_heroSpine,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
-4903014397176617737,-254853779455259542,warn_grid,False,0.5,0.5,0.5,0.5,-142.0,-159.0,0.0,0.0,0.0,0.5,1.0,1.0
-2970014087872762083,1154320393282923384,p_changeBgHero,False,0.5,0.5,0.5,0.5,0.0,0.0,100.0,100.0,0.5,0.5,1.0,1.0
-2490213508203975378,-312107174295067971,but_mask,False,0.0,0.0,1.0,1.0,0.0,0.0,2336.0,405.0,0.5,0.5,1.0,1.0
718716608411067892,-1874286104444283317,UI_touchSpine,True,0.5,0.5,0.5,0.5,-61.0,-28.0,650.0,400.0,0.5,0.5,1.0,1.0
1062022579683624892,4721660477782303194,btn_show,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
6922878451781464554,9014236583741273727,right,True,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
8271973229136916334,-1967199957036241082,middle,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
8482476106785833996,-5586894584856445900,bg_dibu,False,0.5,0.5,0.5,0.5,0.0,-360.0,2500.0,48.0,0.5,0.0,1.0,1.0
