kind,hierarchy_path,type_name,count,missing_script_count,existing_mono_behaviour_types,nearby_components,is_top_white_blocker_path,image_type,sprite_name
component_type_count,,UnityEngine.UI.Image,868,,,,,,
component_type_count,,YouYou.YouYouImage,640,,,,,,
component_type_count,,TMPro.TextMeshProUGUI,373,,,,,,
component_type_count,,UnityEngine.UI.Button,212,,,,,,
component_type_count,,LuaComponentBinder.LuaComBinder,58,,,,,,
component_type_count,,UnityEngine.UI.ContentSizeFitter,54,,,,,,
component_type_count,,YouYou.UISpineCtr,47,,,,,,
component_type_count,,UnityEngine.UI.Text,17,,,,,,
component_type_count,,UnityEngine.UI.HorizontalLayoutGroup,12,,,,,,
component_type_count,,UnityEngine.UI.VerticalLayoutGroup,7,,,,,,
component_type_count,,YouYou.YouYouCanvasHelper,7,,,,,,
component_type_count,,UnityEngine.UI.Mask,4,,,,,,
component_type_count,,UnityEngine.UI.ScrollRect,3,,,,,,
component_type_count,,YouYou.UIEventListener,2,,,,,,
component_type_count,,SuperScrollView.LoopListView2,1,,,,,,
component_type_count,,UnityEngine.UI.Empty4Raycast,1,,,,,,
component_type_count,,UnityEngine.UI.GraphicRaycaster,1,,,,,,
component_type_count,,YouYou.FullscreenCenter,1,,,,,,
component_type_count,,YouYou.GuideNode,1,,,,,,
component_type_count,,YouYou.LuaForm,1,,,,,,
component_type_count,,YouYou.UIAniTrigger,1,,,,,,
missing_script,UI_GuildMain_NavigationPrototype/left/rd_shezhi/RedDot/SkeletonGraphic (hongdian01),,,1,,UnityEngine.CanvasRenderer;UnityEngine.RectTransform,0,,
missing_script,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/im_new/NewShow,,,1,,UnityEngine.CanvasRenderer;UnityEngine.RectTransform,0,,
missing_script,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/p_curr_state/rd_wanfa/RedDot/SkeletonGraphic (hongdian01),,,1,,UnityEngine.CanvasRenderer;UnityEngine.RectTransform,0,,
missing_script,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/im_new/NewShow,,,1,,UnityEngine.CanvasRenderer;UnityEngine.RectTransform,0,,
missing_script,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/lingtu_status/p_lingtu_red/RedDot/SkeletonGraphic (hongdian01),,,1,,UnityEngine.CanvasRenderer;UnityEngine.RectTransform,0,,
missing_script,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/node_tips/item_group/award_trans_1/itemCell50_1/im_quality/sp_quality_7,,,1,YouYou.UISpineCtr,UnityEngine.CanvasRenderer;UnityEngine.RectTransform;YouYou.UISpineCtr,0,,
