script_path_id,namespace,class_name,assembly,full_name,component_count
-7030229213176759517,UnityEngine.UI,Image,UnityEngine.UI.dll,UnityEngine.UI.Image,1558
1242602534869556086,YouYou,YouYouImage,Assembly-CSharp.dll,YouYou.YouYouImage,931
-5755350681981302373,TMPro,TextMeshProUGUI,Unity.TextMeshPro.dll,TMPro.TextMeshProUGUI,637
-787143586316466668,UnityEngine.UI,Button,UnityEngine.UI.dll,UnityEngine.UI.Button,389
-6938409698251234290,Spine.Unity,SkeletonGraphic,spine-unity.dll,Spine.Unity.SkeletonGraphic,172
-7978266203517415465,UnityEngine.UI,Text,UnityEngine.UI.dll,UnityEngine.UI.Text,161
-5392852106782294089,UnityEngine.UI,ContentSizeFitter,UnityEngine.UI.dll,UnityEngine.UI.ContentSizeFitter,161
1924290018182821150,LuaComponentBinder,LuaComBinder,Assembly-CSharp.dll,LuaComponentBinder.LuaComBinder,107
-8877758280253173385,YouYou,UISpineCtr,Assembly-CSharp.dll,YouYou.UISpineCtr,67
-7396295067816475631,Coffee.UIExtensions,UIParticle,Coffee.UIParticle.dll,Coffee.UIExtensions.UIParticle,64
5804373309048859138,Spine.Unity,SkeletonSubmeshGraphic,spine-unity.dll,Spine.Unity.SkeletonSubmeshGraphic,52
8390977652835490180,UnityEngine.UI,GraphicRaycaster,UnityEngine.UI.dll,UnityEngine.UI.GraphicRaycaster,46
2150366434557054024,YouYou,YouYouCanvasHelper,Assembly-CSharp.dll,YouYou.YouYouCanvasHelper,31
-8797238614672040712,UnityEngine.UI,CanvasScaler,UnityEngine.UI.dll,UnityEngine.UI.CanvasScaler,30
-7784299604066853536,UnityEngine.UI,Mask,UnityEngine.UI.dll,UnityEngine.UI.Mask,29
9044316936709120141,YouYou,FullscreenCenter,Assembly-CSharp.dll,YouYou.FullscreenCenter,24
8347263561838679580,YouYou,LuaForm,Assembly-CSharp.dll,YouYou.LuaForm,23
-8826248144273319766,UnityEngine.UI,ScrollRect,UnityEngine.UI.dll,UnityEngine.UI.ScrollRect,18
-8091456346061954500,UnityEngine.UI,HorizontalLayoutGroup,UnityEngine.UI.dll,UnityEngine.UI.HorizontalLayoutGroup,15
348253180598357110,UnityEngine.UI,VerticalLayoutGroup,UnityEngine.UI.dll,UnityEngine.UI.VerticalLayoutGroup,12
-8634314620412448528,SuperScrollView,LoopStaggeredGridView,Assembly-CSharp.dll,SuperScrollView.LoopStaggeredGridView,11
-6449259990898891853,UnityEngine.UI,InputField,UnityEngine.UI.dll,UnityEngine.UI.InputField,8
-6333827617915679503,YouYou,UIEventListener,Assembly-CSharp.dll,YouYou.UIEventListener,6
9006062995516675145,UnityEngine.UI,Toggle,UnityEngine.UI.dll,UnityEngine.UI.Toggle,5
-2324043793906593294,UnityEngine.UI,Empty4Raycast,Assembly-CSharp.dll,UnityEngine.UI.Empty4Raycast,5
-6380373314413769357,DG.Tweening,DOTweenAnimation,Assembly-CSharp-firstpass.dll,DG.Tweening.DOTweenAnimation,4
4776882142093204921,UnityEngine.EventSystems,EventTrigger,UnityEngine.UI.dll,UnityEngine.EventSystems.EventTrigger,3
7914300768251963145,UnityEngine.UI,ToggleGroup,UnityEngine.UI.dll,UnityEngine.UI.ToggleGroup,3
3319520142972745523,YouYou,LuaUnit,Assembly-CSharp.dll,YouYou.LuaUnit,3
-3250829715501753706,YouYou,ToggleEx,Assembly-CSharp.dll,YouYou.ToggleEx,3
-3254468290337994374,SuperScrollView,LoopListView2,Assembly-CSharp.dll,SuperScrollView.LoopListView2,3
6236441469479178695,UnityEngine.UI,GridLayoutGroup,UnityEngine.UI.dll,UnityEngine.UI.GridLayoutGroup,2
8302033850027404168,Spine.Unity,SkeletonDataAsset,spine-unity.dll,Spine.Unity.SkeletonDataAsset,1
8906382794883379252,YouYou,TouchEventTransfer,Assembly-CSharp.dll,YouYou.TouchEventTransfer,1
1000905783825868205,YouYou,UIAniTrigger,Assembly-CSharp.dll,YouYou.UIAniTrigger,1
2349074181781781832,YouYou,GuideNode,Assembly-CSharp.dll,YouYou.GuideNode,1
4690068939610666942,YouYou,ClickRichText,Assembly-CSharp.dll,YouYou.ClickRichText,1
4452942400327435936,UnityEngine.UI,RectMask2D,UnityEngine.UI.dll,UnityEngine.UI.RectMask2D,1
1008803689438726606,Spine.Unity,SpineAtlasAsset,spine-unity.dll,Spine.Unity.SpineAtlasAsset,1
