rank,hierarchy_path,active_in_hierarchy,sibling_index,component_type,mono_behaviour_types,missing_script_count_on_object,canvas_sorting_order,canvas_override_sorting,canvas_render_mode,screen_min_x,screen_min_y,screen_max_x,screen_max_y,screen_pixel_area,screen_whiteish_pixel_count,screen_whiteish_ratio,sprite_name,sprite_local_id,sprite_texture_name,sprite_texture_width,sprite_texture_height,sprite_rect_x,sprite_rect_y,sprite_rect_width,sprite_rect_height,material_name,material_local_id,shader_name,render_queue,material_for_rendering_name,material_for_rendering_shader_name,color,alpha,raycast_target,image_type,preserve_aspect,fill_center,fill_method,fill_amount,fill_clockwise,fill_origin,pixels_per_unit_multiplier,reason_class,original_hierarchy_path,was_missing_before_join,join_missing_ref,join_sprite_name,join_sprite_bundle,join_sprite_png,join_confidence,final_reason_class,source_png_exists,source_png_width,source_png_height,source_alpha_ratio,source_opaque_ratio,source_opaque_white_ratio,source_bright_alpha_ratio,source_avg_rgba_alpha_pixels
1,UI_GuildMain_NavigationPrototype/bg_beijingtu,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,1,0,0,WorldSpace,-240,0,880,480,422400,408918,0.9681,noalphabg_BG_Guid,-2068213050,noalphabg_BG_Guid,1680,720,0,0,1680,720,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/bg_beijingtu,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
2,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image;UnityEngine.UI.Mask,0,0,0,WorldSpace,-213.333,24,853.333,411.333,332206,321580,0.9680,UIMask,-1902620975,UIMask,32,32,0,0,32,32,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Replace, Comp:Always, WriteMask:255, ReadMask:255, ColorMask:0 AlphaClip:True (Default UI Material)",UI/Default,FFFFFFFF,1,1,Sliced,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
3,UI_GuildMain_NavigationPrototype/middle/Image,1,4,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,-246.667,-1.333,886.667,106,94022,94022,1.0000,guild_tmqj,-1253496364,,0,0,0,0,1600,161,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/Image,1,missing#53252,guild_tmqj,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\4660243182255679956_guild_tmqj.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,1600,161,0.4951,0.3808,0.0036,0.0958,"223.9,210.3,186.6,219.1"
4,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_bg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.ContentSizeFitter;UnityEngine.UI.Image,0,0,0,WorldSpace,907.728,77.667,1087.061,352.333,49956,49956,1.0000,T_baoxiangniang,1175700216,,0,0,0,0,269,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_bg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
5,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/bg_ditu,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,61.728,77.667,239.728,352.333,49404,49404,1.0000,lsmj_rukou,-955706588,,0,0,0,0,265,397,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/bg_ditu,1,missing#53242,lsmj_rukou,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\220566425327702820_lsmj_rukou.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,265,397,0.8650,0.8322,0.1681,0.2161,"154.8,171.2,178.4,246.9"
6,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/bg_ditu,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,231.061,77.667,409.061,352.333,49404,49404,1.0000,huachuanbisairukou,-595329732,,0,0,0,0,267,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/bg_ditu,1,missing#53222,huachuanbisairukou,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\-6790297150442701508_huachuanbisairukou.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,267,412,0.8646,0.8216,0.1103,0.1460,"141.8,178.7,182.1,244.7"
7,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/bg_ditu,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,400.395,77.667,578.395,352.333,49404,49404,1.0000,T_tongmenghezhan,238415810,,0,0,0,0,267,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/bg_ditu,1,missing#53218,T_tongmenghezhan,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\-7852898000241823806_T_tongmenghezhan.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,267,412,0.8625,0.8185,0.1737,0.2125,"170.2,143.5,134.5,243.6"
8,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/bg_ditu,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,569.728,77.667,747.728,352.333,49404,49404,1.0000,T_tianxiazhengba,596939716,,0,0,0,0,267,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/bg_ditu,1,missing#49778,T_tianxiazhengba,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\-8340595513483815996_T_tianxiazhengba.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,267,412,0.8549,0.8158,0.0763,0.1424,"154.2,177.7,199.7,245.8"
9,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_cup2,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,739.061,77.667,917.061,352.333,49404,49404,1.0000,T_yanchang3,-968356140,,0,0,0,0,267,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_cup2,1,missing#53238,T_yanchang3,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\-2200601506677780780_T_yanchang3.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,267,412,0.8605,0.8273,0.1572,0.1972,"171.3,128.7,161.3,247.0"
10,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_cup,1,1,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,739.061,77.667,917.061,352.333,49404,49404,1.0000,T_yanchang1,-583268251,,0,0,0,0,267,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_cup,1,missing#53254,T_yanchang1,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\5105025851456227429_T_yanchang1.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,267,412,0.8577,0.8238,0.1632,0.2061,"171.6,136.2,170.9,246.4"
