lua_component_path_id,owner_game_object_id,owner_game_object_name,owner_in_main_root,script_id,lua_script_path,lua_script_path_id,group_count,lua_com_count,button_type4_count,type_counts
-8987083808260043621,-883079703027215962,UI_MainInterface,true,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,24,181,47,"{""0"": 1, ""17"": 1, ""19"": 3, ""2"": 1, ""21"": 14, ""24"": 22, ""25"": 2, ""3"": 26, ""4"": 47, ""5"": 44, ""6"": 18, ""7"": 2}"
-8365219102625758705,-2739981314955153384,UI_Dock,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_Dock.bytes,-4615102950863731052,5,48,14,"{""17"": 1, ""2"": 5, ""21"": 1, ""3"": 15, ""4"": 14, ""5"": 10, ""6"": 1, ""7"": 1}"
-7301311678051700079,4361410172207855729,UI_ChapterCityShow,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_ChapterCityShow.bytes,3870553443684809765,1,2,1,"{""25"": 1, ""4"": 1}"
-7042423676774442879,-7836955457927708483,UI_Dock_old,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_Dock.bytes,-4615102950863731052,7,61,14,"{""17"": 1, ""2"": 5, ""21"": 2, ""25"": 8, ""3"": 20, ""4"": 14, ""5"": 9, ""6"": 1, ""7"": 1}"
-6800869770090420764,-2112429087779887161,UI_MainInterface_old,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,8,104,32,"{""14"": 1, ""17"": 1, ""19"": 2, ""2"": 1, ""21"": 7, ""24"": 20, ""25"": 2, ""3"": 12, ""4"": 32, ""5"": 13, ""6"": 11, ""7"": 2}"
-6719498748719728542,5655384476101466467,UI_xiaojuchang,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_HeroSmallTheater.bytes,3172197260861878181,1,7,4,"{""16"": 1, ""4"": 4, ""5"": 2}"
-5858209526923253452,-5666339092464868040,UI_DeleteHint,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_DeleteHint.bytes,8567412482073730079,1,4,3,"{""4"": 3, ""8"": 1}"
-5374974843803971427,8338915694149390950,UI_GeneralSettings,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_NormalSet.bytes,2140832171205353675,3,20,7,"{""19"": 1, ""20"": 2, ""3"": 2, ""4"": 7, ""5"": 8}"
-4918051929089729135,7616101601041884798,UI_xuanzebeijing,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_BgSet.bytes,-1733260267463332757,1,18,15,"{""19"": 1, ""21"": 1, ""4"": 15, ""5"": 1}"
-3583560281801628263,-6086483197124057510,UI_ConversionCode,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_CDKExchange.bytes,1971560719683477620,1,5,4,"{""11"": 1, ""4"": 4}"
-3541851372815418427,4945632583473714809,UI_SystemSettings,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_SystemSet.bytes,412370137018619402,4,37,20,"{""11"": 1, ""21"": 2, ""24"": 1, ""25"": 1, ""3"": 1, ""4"": 20, ""5"": 4, ""6"": 1, ""7"": 6}"
-2042560559292951027,-1103505727157068523,UI_connecting,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_ChangeAccSet.bytes,8904829059943066562,1,6,3,"{""11"": 3, ""4"": 3}"
-1845397421296517055,659358048716631625,UI_zhanghaoyinji,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_ChangeAccSet.bytes,8904829059943066562,1,6,3,"{""11"": 3, ""4"": 3}"
-1479405275701642969,-2996959628094241707,UI_changename,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_PlayerChangeName.bytes,-4390964976853321662,1,8,4,"{""11"": 1, ""21"": 3, ""4"": 4}"
104441386141182512,-3905121958407047278,UI_ChangeAccSetSelect,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_ChangeAccSetSelect.bytes,6111914470868363254,1,9,5,"{""4"": 5, ""8"": 4}"
121463830016178678,-6936466458068100831,UI_shuoming,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_GameExplain.bytes,4111656470328788358,1,2,2,"{""4"": 2}"
380140939255796295,2163542044490324427,UI_RoleLordShow,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_RoleLordShow.bytes,4894329040263920622,2,5,1,"{""21"": 2, ""3"": 1, ""4"": 1, ""6"": 1}"
461571198103335579,-5696455087820957841,UI_AccountTransfer,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_ChangeAccExplain.bytes,-1797000904635088904,1,4,3,"{""3"": 1, ""4"": 3}"
2483124688794015852,6247472329402434885,UI_VolumeSet,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_VoiceSet.bytes,4380632613086954470,7,28,6,"{""20"": 10, ""3"": 4, ""4"": 6, ""5"": 6, ""7"": 2}"
6025563133221374404,-1936952624246385983,UI_ImageSet,false,8347263561838679580,/Download/xLuaLogic/Modules/MainInterface/UI_HeadSet.bytes,2308907811627836930,3,35,8,"{""16"": 1, ""19"": 1, ""21"": 1, ""22"": 2, ""24"": 1, ""3"": 1, ""4"": 8, ""5"": 12, ""6"": 1, ""7"": 7}"
