hierarchy_path,rect_path_id,game_object_id,game_object_name,parent_name,parent_path_id,prefab_active,active_chain,override_present,script_id,classification,text,font_size,alignment,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,diagnosis
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/node_renwu(-4328360473624011333)/btn_renwu_2(-4730123679661778056)/bg_ditu2(-1708687417708810598)/btn_lingqu(-7724840300703644562)/text(280097607619077675),280097607619077675,-6005187361460479994,text,btn_lingqu,-7724840300703644562,True,False,False,-5755350681981302373,TMP_like,수령 ,20.0,1,0.0,3.0,44.0099983215332,25.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/UI_currency(80910812660760128)/txt_act_name(3213084086211771374),3213084086211771374,-7295124886294054497,txt_act_name,UI_currency,80910812660760128,True,True,False,-5755350681981302373,TMP_like,,20.0,2,-2.5,0.0,0.0,0.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/toogles(3866169621397050666)/toggle6(-5709011800109032647)/toggle_node(-3001135698830835598)/btnToggle6(5407916960501945402)/text_off(5170748638307436376),5170748638307436376,-6388828218037548926,text_off,btnToggle6,5407916960501945402,True,True,False,-5755350681981302373,TMP_like,마을,22.0,2,0.0,-24.0,70.0,30.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/text_wanfaTips(2778291803801687173),2778291803801687173,2553992600669226189,text_wanfaTips,UI_Main_wanfa_item_2,-3930377403474185176,False,False,False,-5755350681981302373,TMP_like,000,18.0,2,-70.5999984741211,-30.0,140.0,30.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_shangdian(66722844441448537)/lab_shangdian_text(-3977453356989481465),-3977453356989481465,-7982451266254442775,lab_shangdian_text,btn_shangdian,66722844441448537,True,True,False,-5755350681981302373,TMP_like,상점 ,18.0,2,0.0,-36.0,100.0,22.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_2(3872457781356019796)/im_qipao1(5722529282497958366)/text_num(-4306555507224085388),-4306555507224085388,-7741460210314033726,text_num,im_qipao1,5722529282497958366,False,False,False,-7978266203517415465,UGUI_Text,,20,4,0.0,0.0,40.0,30.0,UGUI Text path
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/jiarutishi5(4204883052151701807)/text_tmp_message(-3490783371578027493)/text_tmp_message (1)(-8760727324534218354),-8760727324534218354,5716084942009330476,text_tmp_message (1),text_tmp_message,-3490783371578027493,True,False,False,-5755350681981302373,TMP_like,천하 쟁패 열렬히 진행 중!,20.0,2,0.0,0.0,157.60000610351562,68.4000015258789,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/text_wanfaTips(-2209049531134370308),-2209049531134370308,6235884102698714236,text_wanfaTips,UI_Main_wanfa_item_1,51920382737909704,False,False,False,-5755350681981302373,TMP_like,000,18.0,2,-70.5999984741211,-30.0,140.0,30.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/toogles(3866169621397050666)/toggle6(-5709011800109032647)/toggle_node(-3001135698830835598)/text_wanfaTips(-3672314570509988370),-3672314570509988370,-5038400558281525007,text_wanfaTips,toggle_node,-3001135698830835598,False,False,False,-5755350681981302373,TMP_like,,18.0,2,0.0,20.0,100.0,50.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/toogles(3866169621397050666)/toggle4(8371218141009531374)/toggle_node(-4064055762651516724)/text_wanfaTips(-8115060381664646458),-8115060381664646458,-2568686707463358350,text_wanfaTips,toggle_node,-4064055762651516724,False,False,False,-5755350681981302373,TMP_like,,18.0,2,0.0,20.0,100.0,50.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_shangdian(66722844441448537)/text_wanfaTips(-7392353942166903559),-7392353942166903559,-6583767661166205574,text_wanfaTips,btn_shangdian,66722844441448537,False,False,False,-5755350681981302373,TMP_like,,18.0,2,0.0,0.0,100.0,50.0,TMP rendered as UGUI Text in current builder
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/im_redpoint(1061094201511039461)/text_num(4418924208635237715),4418924208635237715,-1315993129005937158,text_num,im_redpoint,1061094201511039461,False,False,False,-7978266203517415465,UGUI_Text,6,20,4,0.0,0.0,40.0,30.0,UGUI Text path
