component_path_id,game_object_id,game_object_name,sprite_ref,file_id,path_id,external_path,cab_name,dependency_bundle,sprite_name,width,height,source_output,unity_asset_path,raycast_target,maskable,image_type,preserve_aspect,fill_method,fill_amount,color_r,color_g,color_b,color_a,status
-9222968706698306483,8666480542967982485,im_bg,1:3767306702705834126,1,3767306702705834126,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,BG_wave,98,54,extracted/unity/bundles/b_e9b9d84959e15638/images/S/3767306702705834126_BG_wave.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_3767306702705834126_BG_wave.png,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9093056694265504684,3498737521722268994,warn_icon,11:-3463130419380364082,11,-3463130419380364082,archive:/CAB-b00a67ad72ab5775baa44a302dd53ae4/CAB-b00a67ad72ab5775baa44a302dd53ae4,CAB-b00a67ad72ab5775baa44a302dd53ae4,download/artsources/uispriteres/uimaininterface2.assetbundle,tixing_zhengzhan,36,35,extracted/unity/bundles/b_3d571cf9b531ccfb/images/S/-3463130419380364082_tixing_zhengzhan.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-3463130419380364082_tixing_zhengzhan.png,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9068314485446055717,5617362597341813501,im_temporary_buff_Icon,13:-6706942253580952254,13,-6706942253580952254,archive:/CAB-d0aac0c2d97be8ac14dbe54488091fe3/CAB-d0aac0c2d97be8ac14dbe54488091fe3,CAB-d0aac0c2d97be8ac14dbe54488091fe3,download/artsources/uispriteres/uibufficon.assetbundle,buff_100000,40,36,extracted/unity/bundles/b_8237b78acdf5ea29/images/S/-6706942253580952254_buff_100000.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uibufficon/fid13_-6706942253580952254_buff_100000.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9062549879810490451,5140802342601422660,btn_shangdian,1:6617065208850742552,1,6617065208850742552,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,Image_blank,2,2,extracted/unity/bundles/b_e9b9d84959e15638/images/S/6617065208850742552_Image_blank.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_6617065208850742552_Image_blank.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-9011806713471101554,2445615007217633956,btn_go,1:-3687368163992476616,1,-3687368163992476616,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,renwuqwjt,37,28,extracted/unity/bundles/b_e9b9d84959e15638/images/S/-3687368163992476616_renwuqwjt.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_-3687368163992476616_renwuqwjt.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-8968548341628809593,3666887709237655095,im_face_icon,0,,,,,,,,,,,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,empty_sprite_ref
-8811032502264699446,-8616680438288117541,mask_notice,-2320101112833093935,,,,,,,,,,,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0,empty_sprite_ref
-8632761326470466012,-538706942045199029,im_qipao1,0,,,,,,,,,,,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,empty_sprite_ref
-8624608798422355141,-1803652809405326520,funhandbook_img,11:-397911510302451416,11,-397911510302451416,archive:/CAB-b00a67ad72ab5775baa44a302dd53ae4/CAB-b00a67ad72ab5775baa44a302dd53ae4,CAB-b00a67ad72ab5775baa44a302dd53ae4,download/artsources/uispriteres/uimaininterface2.assetbundle,zhuye_xitong,27,26,extracted/unity/bundles/b_3d571cf9b531ccfb/images/S/-397911510302451416_zhuye_xitong.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-397911510302451416_zhuye_xitong.png,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-8619990807793159525,-2402655198330840544,RedDot,1:523894093744659759,1,523894093744659759,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,T_hongdian_1,27,27,extracted/unity/bundles/b_e9b9d84959e15638/images/S/523894093744659759_T_hongdian_1.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
-8589803945571585058,-1632007376296743628,im_summonpet_new,0,,,,,,,,,,,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,empty_sprite_ref
-8502604518238808353,-5624018882503145775,RedDot,1:523894093744659759,1,523894093744659759,archive:/CAB-24e61ef52c76ead21626b48aa531d6ac/CAB-24e61ef52c76ead21626b48aa531d6ac,CAB-24e61ef52c76ead21626b48aa531d6ac,download/artsources/uispriteres/uicommonother.assetbundle,T_hongdian_1,27,27,extracted/unity/bundles/b_e9b9d84959e15638/images/S/523894093744659759_T_hongdian_1.png,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0,ready
