owner,node,component,component_path_id,active_chain,raycast_target,sprite_or_text,asset_or_material,font_size,size,hierarchy_path
UI_Main_wanfa_item_3,im_bg,Image,5384635133936752699,False,True,BG_wave,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_3767306702705834126_BG_wave.png,,140.22999572753906x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/im_bg(-1786927514953282374)
UI_Main_wanfa_item_3,wanfaBtn,Image,-5740242890252651072,True,True,Image_blank,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_6617065208850742552_Image_blank.png,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/wanfaBtn(7344258773029800384)
UI_Main_wanfa_item_3,wanfaBtn,Button,-5329947491786617253,True,,,-5740242890252651072,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/wanfaBtn(7344258773029800384)
UI_Main_wanfa_item_1,text_name,TMP,5282519860984731819,True,0,모험,4174273018840097604,28.0,100.0x35.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/text_name(-5982825750273040741)
UI_Main_wanfa_item_3,text_name,TMP,1410564674237950582,True,0,모험,4174273018840097604,28.0,200.0x0.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/text_name(-6275118336609310875)
UI_Main_wanfa_item_4,wanfaBtn,Image,-7870406640315514268,True,True,Image_blank,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_6617065208850742552_Image_blank.png,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/wanfaBtn(-2510216933665100986)
UI_Main_wanfa_item_4,wanfaBtn,Button,1037335828034283471,True,,,-7870406640315514268,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/wanfaBtn(-2510216933665100986)
UI_Main_wanfa_item_4,text_num,Text,-1321490898155011159,False,0,6,,20,40.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/im_redpoint(5954440455150368682)/text_num(9102633676184429647)
UI_Main_wanfa_item_3,text_wanfaTips,TMP,7169664062991865874,False,0,,3932716197974622303,18.0,180.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/text_wanfaTips(-4444991916405094732)
UI_Main_wanfa_item_3,wanfaBgImg,Image,1874859207229406503,True,False,zhuye_maoxian,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-1459155864645330874_zhuye_maoxian.png,,144.0x144.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/wanfaBgImg(-2011011070318215459)
