owner,name,rect_path_id,path,active_self,active_in_hierarchy,sibling_index,original_sibling_index,anchor_min,anchor_max,pivot,anchored_position,size_delta,local_scale,world_bounds,original_active,original_active_chain,original_anchor_min,original_anchor_max,original_pivot,original_anchored_position,original_size,original_local_scale,tmp_text,tmp_font_size,tmp_alignment,tmp_overflow_mode,tmp_word_wrapping,tmp_material,image_sprite,image_raycast_target,button_interactable,object_layout_components,parent_layout_components,component_evidence,override_present,decision
wanfaWorldNode,dianjigq1,8881639963676581038,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/fanhui_guide_shou__4770820143629459276/dianjigq1__8881639963676581038,True,False,0,0,"0.5,0.5","0.5,0.5","0.5,0.5","87,71","100,100","1,1,1","22,177,122,277",True,False,"0.5,0.5","0.5,0.5","0.5,0.5","87.0,71.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer0,-1944703430346364680,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392/Renderer0__-1944703430346364680,True,True,0,0,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","22,177,122,277",True,True,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer0,6767582923164459311,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/fanhui_guide_shou__4770820143629459276/spine_xiaoshou__3122424037418622381/Renderer0__6767582923164459311,True,False,0,0,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","66,151,166,251",True,False,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer0,-5262723536132930251,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/spine_xiaoren__3375689855543054311/Renderer0__-5262723536132930251,True,True,0,0,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","70.1,186.6,120.1,236.6",True,True,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,SkeletonGraphic (hongdian01),5560473991156168445,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/world_node_red__3339705364331503776/SkeletonGraphic (hongdian01)__5560473991156168445,False,False,0,0,"0.5,0.5","0.5,0.5","0.515,0.5","0,0","33,32","1,1,1","153.4,245.2,179.8,270.8",False,False,"0.5,0.5","0.5,0.5","0.5151515007019043,0.5","0.0,0.0",33.0x32.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,spine_diqiu,-1766545527926586392,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392,True,True,0,0,"0.5,0.5","0.5,0.5","0.5,0.5","0,-1","100,100","1,1,1","22,177,122,277",True,True,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,-1.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,wanfaWorldNode,-3820167396480157270,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270,True,True,0,0,"0.5,0.5","0.5,0.5","0.5,0.5","-12,87","100,100","1,1,1","123,177,223,277",True,True,"0.5,0.5","0.5,0.5","0.5,0.5","-12.0,87.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,preserve_original_route_owner_transform
wanfaWorldNode,worldwanfaBtn,3512211464843089861,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861,True,True,0,0,"0.5,0.5","0.5,0.5","0.5,0.5","-101,1","253,253","1,1,1","-54.5,101.5,198.5,354.5",True,True,"0.5,0.5","0.5,0.5","0.5,0.5","-101.0,1.0",253.0x253.0,"1.0,1.0,1.0",,,,,,,,True,True,,,Button:,False,trace_only
wanfaWorldNode,Renderer1,-8775254085364118339,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/spine_xiaoren__3375689855543054311/Renderer1__-8775254085364118339,False,False,1,1,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","70.1,186.6,120.1,236.6",False,False,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer1,-5350169600996009560,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/fanhui_guide_shou__4770820143629459276/spine_xiaoshou__3122424037418622381/Renderer1__-5350169600996009560,False,False,1,1,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","66,151,166,251",False,False,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer1,-5151581002277016097,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392/Renderer1__-5151581002277016097,False,False,1,1,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","22,177,122,277",False,False,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,spine_xiaoren,3375689855543054311,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/spine_xiaoren__3375689855543054311,True,True,1,1,"0.5,0.5","0.5,0.5","0.5,0.5","-77.9,-15.4","100,100","0.5,0.5,0.5","70.1,186.6,120.1,236.6",True,True,"0.5,0.5","0.5,0.5","0.5,0.5","-77.9000015258789,-15.399999618530273",100.0x100.0,"0.5,0.5,0.5",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,spine_xiaoshou,3122424037418622381,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/fanhui_guide_shou__4770820143629459276/spine_xiaoshou__3122424037418622381,True,False,1,1,"0.5,0.5","0.5,0.5","0.5,0.5","131,45","100,100","1,1,1","66,151,166,251",True,False,"0.5,0.5","0.5,0.5","0.5,0.5","130.9998779296875,45.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer2,7342652040154304849,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/fanhui_guide_shou__4770820143629459276/spine_xiaoshou__3122424037418622381/Renderer2__7342652040154304849,False,False,2,2,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","66,151,166,251",False,False,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer2,1508327614217869180,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/spine_xiaoren__3375689855543054311/Renderer2__1508327614217869180,False,False,2,2,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","70.1,186.6,120.1,236.6",False,False,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
wanfaWorldNode,Renderer2,1976523744598218949,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392/Renderer2__1976523744598218949,False,False,2,2,"0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1","22,177,122,277",False,False,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0",,,,,,,,,,,,,False,trace_only
