category,action_class,decision,new_fix_applied,owner,candidate,original_name,original_path_id,game_object_id,component_path_id,script_id,original_path,current_path,original_active,original_active_chain,current_active_self,current_active_in_hierarchy,original_sibling_index,current_sibling_index,original_sibling_count,original_anchor_min,original_anchor_max,original_pivot,original_anchored_position,original_size,original_local_scale,current_anchor_min,current_anchor_max,current_pivot,current_anchored_position,current_size,current_local_scale,components,tmp_text,sprite_or_texture,texture_exists,applied_visual_override,region_rect,bundle,skeleton_name,atlas_textasset,texture_path,material_refs,starting_animation,starting_loop,renderer_child_count,active_renderer_child_count,particle_ref_count,evidence,reason
skeleton_graphic,applyable_already_applied,keep_existing_three_layer_bitmap_fallback,False,wanfaWorldNode,spine_diqiu,spine_diqiu,-1766545527926586392,-18476541444226972,436703697333276380,-6938409698251234290,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/worldwanfaBtn(3512211464843089861)/spine_diqiu(-1766545527926586392),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861/spine_diqiu__-1766545527926586392,True,True,True,True,0,0,1,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,-1.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","0,-1","100,100","1,1,1",RectTransform,,,,,,download/ui/uiprefabandres/maininterface_ext_8.assetbundle,Spine_shijieanniu_SkeletonData,extracted/unity/bundles/b_35f69f1e4224c83e/textassets/4125696125331628132_Spine_shijieanniu.atlas.txt,extracted/unity/bundles/b_35f69f1e4224c83e/images/T/-1569618029946744867_Spine_shijieanniu.png,m_Material=file6:1869315399850166803;additiveMaterial=file6:-7852358095173771177;multiplyMaterial=file6:-13276894215973044;screenMaterial=file6:-5524858707655825726,A,1,15,2,,SkeletonGraphic-like component carrying material and skeletonDataAsset reference,SkeletonGraphic evidence points to Spine_shijieanniu; only atlas regions with clear worldwanfaBtn/frame evidence are allowed. zhuye_di1/diqiu/zhuye_bian are already applied.
skeleton_graphic,blocked,blocked_spine_runtime_slot_bone_animation_required,False,wanfaWorldNode,spine_xiaoren,spine_xiaoren,3375689855543054311,-2079722989211931163,6019494885889741372,-6938409698251234290,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/spine_xiaoren(3375689855543054311),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/spine_xiaoren__3375689855543054311,True,True,True,True,1,1,6,"0.5,0.5","0.5,0.5","0.5,0.5","-77.9000015258789,-15.399999618530273",100.0x100.0,"0.5,0.5,0.5","0.5,0.5","0.5,0.5","0.5,0.5","-77.9,-15.4","100,100","0.5,0.5,0.5",RectTransform,,,,,,download/roleprefabsandres/npcprefabandres/8007.assetbundle,8007_SkeletonData,extracted/unity/bundles/b_df52239564024098/textassets/-5959284149285428779_8007.atlas.txt,extracted/unity/bundles/b_df52239564024098/images/T/1969165562093376026_8007.png,m_Material=file6:1869315399850166803;additiveMaterial=file6:-7852358095173771177;multiplyMaterial=file6:-13276894215973044;screenMaterial=file6:-5524858707655825726,run,1,15,2,,SkeletonGraphic-like component carrying material and skeletonDataAsset reference,"8007 texture and SkeletonData are known, but the active node uses animation run at localScale 0.5; applying a whole texture or guessed crop would violate sprite/slot evidence gates."
atlas_region,applyable_already_applied,keep_existing_region_layer,False,worldwanfaBtn,diqiu,diqiu,,,,,Spine_shijieanniu.atlas/diqiu,worldwanfaBtn/route_fallback_diqiu,,,True,True,,,,,,,,,,,,,,,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_diqiu.png,True,True,704x706 normalized into 253x253,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_diqiu.png,,,,,,,"route renderer multi-layer fallback: original active child spine_diqiu is a SkeletonGraphic under worldwanfaBtn; atlas region diqiu is the globe attachment, normalized into the 253x253 worldwanfaBtn rect until Spine runtime transforms are restored",Globe attachment is proven under active spine_diqiu; current fallback is intentionally normalized to the original button rect until Spine runtime is restored.
atlas_region,trace-only,trace_only_slot_transform_missing,False,worldwanfaBtn,yun,yun,,,,,Spine_shijieanniu.atlas/yun,,,,,,,,,,,,,,,,,,,,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_yun.png,True,False,83x36,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_yun.png,,,,,,,,"Cloud region is cropped, but original Spine slot/bone transform is not decoded; placing it by eye would be coordinate-only."
atlas_region,trace-only,trace_only_slot_transform_missing,False,worldwanfaBtn,yun2,yun2,,,,,Spine_shijieanniu.atlas/yun2,,,,,,,,,,,,,,,,,,,,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_yun2.png,True,False,108x65,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_yun2.png,,,,,,,,"Cloud region is cropped, but original Spine slot/bone transform is not decoded; placing it by eye would be coordinate-only."
atlas_region,applyable_already_applied,keep_existing_region_layer,False,worldwanfaBtn,zhuye_bian,zhuye_bian,,,,,Spine_shijieanniu.atlas/zhuye_bian,worldwanfaBtn/route_fallback_zhuye_bian,,,True,True,,,,,,,,,,,,,,,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_zhuye_bian.png,True,True,238x238,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_zhuye_bian.png,,,,,,,route renderer multi-layer fallback: Spine_shijieanniu atlas region zhuye_bian is the 238x238 border/rim layer from the same world button skeleton; centered under worldwanfaBtn so route text siblings remain above it,Border/rim layer is same skeleton atlas and centered under worldwanfaBtn.
atlas_region,applyable_already_applied,keep_existing_region_layer,False,worldwanfaBtn,zhuye_di1,zhuye_di1,,,,,Spine_shijieanniu.atlas/zhuye_di1,worldwanfaBtn/route_fallback_zhuye_di1,,,True,True,,,,,,,,,,,,,,,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_zhuye_di1.png,True,True,253x253,,,,Assets/RestoreData/route_renderer_fallbacks/Spine_shijieanniu_zhuye_di1.png,,,,,,,route renderer multi-layer fallback: original worldwanfaBtn RectTransform is 253x253; Spine_shijieanniu atlas region zhuye_di1 is 253x253 and is the matching base disk/frame layer,Base disk/frame region matches original worldwanfaBtn 253x253 rect.
particle_style_effect,blocked,blocked_particle_runtime_material_binding,False,UI_Main_wanfa_item_1,un_MainInterface_fire,un_MainInterface_fire,-6801489505443444490,110133099090071515,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/un_MainInterface_fire(-6801489505443444490),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_1__51920382737909704/un_MainInterface_fire__-6801489505443444490,False,False,False,False,2,2,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"0.0,0.0,0.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,3,particle component refs: 5216293920747233905;-1076137277311393856;-3545103994146592104,"Original owner is inactive and/or zero-scale in route cluster evidence, while particle material/renderer fields are empty in current trace. Forcing it visible would violate active-chain and material evidence gates."
particle_style_effect,blocked,blocked_particle_runtime_material_binding,False,UI_Main_wanfa_item_2,un_MainInterface_fire,un_MainInterface_fire,-9047331040974660233,-829607632274919997,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/un_MainInterface_fire(-9047331040974660233),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_2__-3930377403474185176/un_MainInterface_fire__-9047331040974660233,False,False,False,False,2,2,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,3,particle component refs: 5146312771676040036;7748922114967798215;6878234595295346742,"Original owner is inactive and/or zero-scale in route cluster evidence, while particle material/renderer fields are empty in current trace. Forcing it visible would violate active-chain and material evidence gates."
particle_style_effect,blocked,blocked_particle_runtime_material_binding,False,UI_Main_wanfa_item_3,un_MainInterface_fire,un_MainInterface_fire,3550262967849686076,4075735502667467169,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/un_MainInterface_fire(3550262967849686076),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_3__1745568030950951925/un_MainInterface_fire__3550262967849686076,False,False,False,False,2,2,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"0.0,0.0,0.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,3,particle component refs: 4755348348919417730;8008581053753154100;-4562316792719445970,"Original owner is inactive and/or zero-scale in route cluster evidence, while particle material/renderer fields are empty in current trace. Forcing it visible would violate active-chain and material evidence gates."
