game_object_name,game_object_id,hierarchy_path,game_object_active,rect_path_id,anchored_pos,size,local_scale,component_path_id,component_type,script_id,component_ids_on_go,component_types_on_go,skeleton_file_id,skeleton_path_id,skeleton_bundle,skeleton_name,atlas_path_id,atlas_textasset_path,texture_path,material_refs,starting_animation,starting_loop,particle_refs,canvas_renderer_count,note
Renderer20,-1216848932547399852,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer20(-8041054903911149008),False,-8041054903911149008,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",-8041054903911149008,RectTransform,,-8041054903911149008;6452092246243113878,RectTransform;MonoBehaviour,,,,,,,,,,,,,
Renderer20,-1216848932547399852,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer20(-8041054903911149008),False,-8041054903911149008,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",6452092246243113878,MonoBehaviour,5804373309048859138,-8041054903911149008;6452092246243113878,RectTransform;MonoBehaviour,,,,,,,,,,,,,CanvasRenderer separator/helper graphic under SkeletonGraphic; actual bitmap comes from parent SkeletonGraphic skeletonDataAsset
Renderer38,-1657554076061681423,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer38(4421066571418173394),False,4421066571418173394,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",-3255228294302028061,MonoBehaviour,5804373309048859138,-3255228294302028061;4421066571418173394,MonoBehaviour;RectTransform,,,,,,,,,,,,,CanvasRenderer separator/helper graphic under SkeletonGraphic; actual bitmap comes from parent SkeletonGraphic skeletonDataAsset
Renderer38,-1657554076061681423,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer38(4421066571418173394),False,4421066571418173394,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",4421066571418173394,RectTransform,,-3255228294302028061;4421066571418173394,MonoBehaviour;RectTransform,,,,,,,,,,,,,
Renderer10,-1688584524682524821,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer10(8872625139788799714),False,8872625139788799714,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",-7127459137386179687,MonoBehaviour,5804373309048859138,-7127459137386179687;8872625139788799714,MonoBehaviour;RectTransform,,,,,,,,,,,,,CanvasRenderer separator/helper graphic under SkeletonGraphic; actual bitmap comes from parent SkeletonGraphic skeletonDataAsset
Renderer10,-1688584524682524821,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer10(8872625139788799714),False,8872625139788799714,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",8872625139788799714,RectTransform,,-7127459137386179687;8872625139788799714,MonoBehaviour;RectTransform,,,,,,,,,,,,,
Renderer37,-1789282159644442202,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer37(3552071331317606962),False,3552071331317606962,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",3552071331317606962,RectTransform,,3552071331317606962;8576438089374336066,RectTransform;MonoBehaviour,,,,,,,,,,,,,
Renderer37,-1789282159644442202,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer37(3552071331317606962),False,3552071331317606962,"0.0,0.0",100.0x100.0,"1.0,1.0,1.0",8576438089374336066,MonoBehaviour,5804373309048859138,3552071331317606962;8576438089374336066,RectTransform;MonoBehaviour,,,,,,,,,,,,,CanvasRenderer separator/helper graphic under SkeletonGraphic; actual bitmap comes from parent SkeletonGraphic skeletonDataAsset
spine_diqiu,-18476541444226972,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/worldwanfaBtn(3512211464843089861)/spine_diqiu(-1766545527926586392),True,-1766545527926586392,"0.0,-1.0",100.0x100.0,"1.0,1.0,1.0",-6844958033202623203,MonoBehaviour,-8877758280253173385,-6844958033202623203;-1766545527926586392;436703697333276380,MonoBehaviour;RectTransform;MonoBehaviour,,,,,,,,,,,,,route wrapper MonoBehaviour on same GameObject as SkeletonGraphic
spine_diqiu,-18476541444226972,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/worldwanfaBtn(3512211464843089861)/spine_diqiu(-1766545527926586392),True,-1766545527926586392,"0.0,-1.0",100.0x100.0,"1.0,1.0,1.0",-1766545527926586392,RectTransform,,-6844958033202623203;-1766545527926586392;436703697333276380,MonoBehaviour;RectTransform;MonoBehaviour,,,,,,,,,,,,,
