hierarchy_path,game_object_id,game_object_name,parent_name,text,active_chain,prefab_active,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,font_asset_name,font_size,font_size_min,font_size_max,enable_auto_sizing,resolved_alignment,character_spacing,line_spacing,overflow_mode,shared_material_path_id,shared_material_name,shared_material_bundle,flags
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/node_renwu(-4328360473624011333)/btn_renwu_2(-4730123679661778056)/bg_ditu2(-1708687417708810598)/btn_lingqu(-7724840300703644562)/text(280097607619077675),-6005187361460479994,text,btn_lingqu,수령 ,False,True,0.0,3.0,44.0099983215332,25.0,riyu,20.0,18.0,72.0,0,513,20.0,0.0,0,-6469808170336859405,riyu_pink_shadow,download/ui/uifont/japanese/font_material_riyu/riyu_pink_shadow.assetbundle,inactive_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/toogles(3866169621397050666)/toggle6(-5709011800109032647)/toggle_node(-3001135698830835598)/btnToggle6(5407916960501945402)/text_off(5170748638307436376),-6388828218037548926,text_off,btnToggle6,마을,True,True,0.0,-24.0,70.0,30.0,riyu,22.0,18.0,72.0,0,514,5.0,0.0,0,-6541690290105773087,riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle,visible_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/text_wanfaTips(2778291803801687173),2553992600669226189,text_wanfaTips,UI_Main_wanfa_item_2,000,False,False,-70.5999984741211,-30.0,140.0,30.0,EPM,18.0,18.0,72.0,0,514,0.0,25.0,0,8649783434632076371,EPM_shenzong_0.2_0.2,download/ui/uifont/japanese/font_material_epm/epm_shenzong_0.2_0.2.assetbundle,inactive_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_shangdian(66722844441448537)/lab_shangdian_text(-3977453356989481465),-7982451266254442775,lab_shangdian_text,btn_shangdian,상점 ,True,True,0.0,-36.0,100.0,22.0,riyu,18.0,18.0,72.0,0,514,-1.0,0.0,0,-6541690290105773087,riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle,visible_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/jiarutishi5(4204883052151701807)/text_tmp_message(-3490783371578027493)/text_tmp_message (1)(-8760727324534218354),5716084942009330476,text_tmp_message (1),text_tmp_message,천하 쟁패 열렬히 진행 중!,False,True,0.0,0.0,157.60000610351562,68.4000015258789,EPM,20.0,18.0,72.0,0,514,5.0,0.0,0,3932716197974622303,EPM_bai_0.2_0.2,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,inactive_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/text_wanfaTips(-2209049531134370308),6235884102698714236,text_wanfaTips,UI_Main_wanfa_item_1,000,False,False,-70.5999984741211,-30.0,140.0,30.0,EPM,18.0,18.0,72.0,0,514,0.0,25.0,0,8649783434632076371,EPM_shenzong_0.2_0.2,download/ui/uifont/japanese/font_material_epm/epm_shenzong_0.2_0.2.assetbundle,inactive_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_6(-1110345661715785777)/txt_act_name(-6497063604294369735),-8795012448601939192,txt_act_name,btn_act_6,옷장과의 약속,False,True,0.0,-36.0,90.0,14.010000228881836,riyu,18.0,16.0,72.0,0,514,-2.5,0.0,0,-6541690290105773087,riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle,inactive_chain;font_larger_than_rect;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/text_wanfaTips(-3039270450605219620),4337440627242472922,text_wanfaTips,UI_Main_wanfa_item_4,개최 중,True,True,-90.0,-35.599998474121094,180.0,30.0,EPM,18.0,18.0,72.0,0,514,0.0,25.0,0,3932716197974622303,EPM_bai_0.2_0.2,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,visible_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_2(3872457781356019796)/txt_act_name(-5258487816199776114),-7355809044290086139,txt_act_name,btn_act_2,옷장과의 약속,True,True,0.0,-36.0,90.0,14.010000228881836,riyu,18.0,16.0,72.0,0,514,-2.5,0.0,0,-6541690290105773087,riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle,visible_chain;font_larger_than_rect;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/btn_act_7(-3144631647643941518)/txt_act_name(3119496499120194812),8339887719812294043,txt_act_name,btn_act_7,옷장과의 약속,False,True,0.0,-36.0,90.0,14.010000228881836,riyu,18.0,16.0,72.0,0,514,-2.5,0.0,0,-6541690290105773087,riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle,inactive_chain;font_larger_than_rect;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/text_name(-3578904844754949875),-7326818543664987603,text_name,UI_Main_wanfa_item_4,모험,True,True,0.0,-35.19500732421875,200.0,0.0,riyu,28.0,18.0,72.0,0,514,0.0,0.0,0,4174273018840097604,riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/font_material_riyu/riyu_shenzong_0.2_0.2.assetbundle,visible_chain;zero_or_negative_height;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/node_renwu(-4328360473624011333)/im_bg(-143968277265638168)/btn_renwu(-6395848881054912128)/lab_renwu_text(-2622309741762563924),1432122010037201562,lab_renwu_text,btn_renwu,세 ,True,True,0.0,-36.0,80.0,25.0,riyu,18.0,18.0,72.0,0,514,-20.0,0.0,0,-6541690290105773087,riyu_baibian_0.2_0.2_1,download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle,visible_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/node_renwu(-4328360473624011333)/btn_renwu_2(-4730123679661778056)/bg_ditu1(7973123755609926362)/text(880147563928036600),-819521724186643816,text,bg_ditu1,임무 설명,False,True,15.0,0.0,132.47999572753906,25.0,EPM,18.0,18.0,72.0,0,513,6.0,0.0,0,477919381716323141,EPM_wuxiaoguo_dongtai,download/ui/uifont/japanese/font_material_epm/epm_wuxiaoguo_dongtai.assetbundle,inactive_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/node_renwu(-4328360473624011333)/im_bg(-143968277265638168)/btn_renwu(-6395848881054912128)/bg_ditu2(-5126794878977765278)/btn_lingqu(-175497443425033689)/text(-1716422078522251960),178585903253559835,text,btn_lingqu,수령 ,False,True,0.0,3.0,44.0099983215332,25.0,riyu,20.0,18.0,72.0,0,513,20.0,0.0,0,-6469808170336859405,riyu_pink_shadow,download/ui/uifont/japanese/font_material_riyu/riyu_pink_shadow.assetbundle,inactive_chain;shared_material_found
UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_act_btn(-6697018699563164382)/node_renwu(-4328360473624011333)/im_bg(-143968277265638168)/btn_renwu(-6395848881054912128)/bg_ditu2(-5126794878977765278)/mask_notice(-3361321797270763184)/text_notice_desc(6237542365269954247),-4473345024729134793,text_notice_desc,mask_notice,임무 설명,False,True,-84.9000015258789,-9.059906005859375e-06,72.01000213623047,25.0,EPM,18.0,18.0,72.0,0,513,0.0,0.0,0,3932716197974622303,EPM_bai_0.2_0.2,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,inactive_chain;shared_material_found
