bundle,export_dir,path_id,name,script_path_id,version,family_name,style_name,point_size,line_height,ascent_line,descent_line,source_font_guid,source_font_path_id,material_path_id,atlas_width,atlas_height,atlas_padding,atlas_render_mode,atlas_texture_path_ids,atlas_path_id,glyph_count,character_count,fallback_count,creation_point_size,creation_render_mode
download/ui/uifont/japanese/tmp/arial_wuxiaowu_dongtai.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4f2acff183a1f811,2569120347772565563,Arial_wuxiaowu_dongtai,560532488646354119,1.1.0,Arial Unicode MS,Regular,369,494.40234375,394.40478515625,-99.99755859375,c6ee2560d8a1940a0ace472d89dc7bd5,0,-6359624834505761383,2048,1024,9,4165,7346320041131784492;8618507576646218733;1418836957207565824;-3883399435984298098,0,0,0,0,369,4165
download/ui/uifont/japanese/tmp/epm.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_db045da99370f453,-724809986894116682,EPM,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,-161800820888374377,1024,2048,9,4165,5218067429375919017,0,442,444,1,40,4165
download/ui/uifont/japanese/tmp/epm_bai_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_53216fe55119cc19,-3414897696910461416,EPM_bai_0.2_0.2,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,4197552658687390998,2048,2048,9,4165,-5547209632630771065,0,588,591,1,40,4165
download/ui/uifont/japanese/tmp/epm_bai_0.2_0.3.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7f57c3dde0f630a0,-1517115860385812309,EPM_bai_0.2_0.3,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,8277179812870395897,2048,2048,9,4165,644230123919312507;3495044873600770675,0,1421,1422,1,40,4165
download/ui/uifont/japanese/tmp/epm_cheng_242_180_66.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_8fbdd1b7ee567ffe,-8724785030359733070,EPM_cheng_242_180_66,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,272450964545638752,512,256,9,4165,-798840362229915418,0,39,39,0,40,4165
download/ui/uifont/japanese/tmp/epm_green_0.3_0.3.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_b32a29fff88748a9,-1840981334152465167,EPM_green_0.3_0.3,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,-8232031347988745852,256,128,9,4165,-6987646035453437838,0,4,4,0,40,4165
download/ui/uifont/japanese/tmp/epm_hei_0.1_0.1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_9b4e6f7e1fca434c,2275970497280226776,EPM_hei_0.1_0.1,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,-5609114805978036083,512,512,9,4165,-7208747833858188485;-4505259139606566112,0,150,150,0,40,4165
download/ui/uifont/japanese/tmp/epm_hei_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_25a1b71555a2d8af,-7112311047174635236,EPM_hei_0.2_0.2,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,813917202350245246,1024,512,9,4165,-8889342051264772458,0,155,156,0,40,4165
download/ui/uifont/japanese/tmp/epm_hong_0.3__0.3.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_d9be25032e3452a5,5833651060678393555,EPM_hong_0.3__0.3,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,3600456906408240635,256,128,9,4165,-6331989619101692129;-1225124178154213929;4953380478263929470;1224360952739250401,0,29,29,0,40,4165
download/ui/uifont/japanese/tmp/epm_hui_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_27bd0bb79e746ccb,-8397998607782144306,EPM_hui_0.2_0.2,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,-8577203961182755366,256,256,9,4165,2055889654376476100,0,26,26,0,40,4165
download/ui/uifont/japanese/tmp/epm_lan_53_135_220_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a36335e3df60f7a3,6456624525935184747,EPM_lan_53_135_220_0.2_0.2,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,-1928148216991472211,512,512,9,4165,-4683204463025725205,0,37,37,0,40,4165
download/ui/uifont/japanese/tmp/epm_lu_65_105_36_0.4_0.4.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_cefa4a104d5eabd2,2304368257865536954,EPM_lu_65_105_36_0.4_0.4,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,9184855946227235704,512,512,9,4165,1846144271120189792,0,31,31,0,40,4165
download/ui/uifont/japanese/tmp/epm_shenzong_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_470ed545d84c2ec9,-2808912845104282047,EPM_shenzong_0.2_0.2,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,3429674815646708715,1024,2048,9,4165,6551403151277096646,0,191,192,0,40,4165
download/ui/uifont/japanese/tmp/epm_wuxiaoguo_dongtai.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_3e03b4fcac79cfe3,-7686392024967572001,EPM_wuxiaoguo_dongtai,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,2055463726379497,2048,1024,9,4165,-3130024980044596905,0,570,573,0,40,4165
download/ui/uifont/japanese/tmp/epm_zi_179_113_213_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_af016df302cd374f,6173481161725697623,EPM_zi_179_113_213_0.2_0.2,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,6984675777544903538,256,128,9,4165,8722480494409350947,0,7,7,0,40,4165
download/ui/uifont/japanese/tmp/epm_zong.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_ac7b3da24355ac62,2257154507471806804,EPM_zong,560532488646354119,1.1.0,EPSON ?????S?V?b?N???a,Regular,40,40.0,34.375,-5.625,f106afe1e8e0af94faf37660d563013f,-3173510695005885490,-8687465925557858833,256,256,9,4165,-1357322107979240204,0,6,6,0,40,4165
download/ui/uifont/japanese/tmp/ksw.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_2f16f9d5adbfbb7e,3405267382080517276,Ksw,560532488646354119,1.1.0,KswKashin,Regular,40,40.0,34.375,-5.625,8b9b03993031647448d6fcd42ef6ce25,-6021065244408407994,-8038778510421082569,512,512,9,4165,1140217454483376603,0,44,44,0,40,4165
download/ui/uifont/japanese/tmp/ksw_bai_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_98bfba1590e9c547,4293132608143325006,Ksw_bai_0.2_0.2,560532488646354119,1.1.0,KswKashin,Regular,40,40.0,34.375,-5.625,8b9b03993031647448d6fcd42ef6ce25,-6021065244408407994,-153377978356682218,512,512,9,4165,-404422236397469705,0,47,47,0,40,4165
download/ui/uifont/japanese/tmp/ksw_fen_245_105_120_0.4_0.4.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_3033f416c988cde6,-27367480843834175,Ksw_fen_245_105_120_0.4_0.4,560532488646354119,1.1.0,KswKashin,Regular,40,40.0,34.375,-5.625,8b9b03993031647448d6fcd42ef6ce25,-6021065244408407994,141970416624356120,256,256,9,4165,-3912906508495224436,0,6,6,0,40,4165
