bundle,class,export_dir,parse_status,object_count,used_offset,size,type_counts,image_count,image_samples
download/commonprefabsandres/tmpshaders.assetbundle,tmp_shaders,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_b8ea903aaf17053d,,15,1,85337,"{""AssetBundle"": 1, ""Shader"": 13, ""ShaderVariantCollection"": 1}",0,
download/ui/uifont/japanese/font/arialsimple.assetbundle,source_font,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_fe71bd6b935c348c,,4,0,788282,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 1, ""Texture2D"": 1}",0,
download/ui/uifont/japanese/font/epm.assetbundle,source_font,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_f19ababe70ef8c0b,,4,0,999895,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 1, ""Texture2D"": 1}",0,
download/ui/uifont/japanese/font/num.assetbundle,source_font,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_1097239ff4c67508,,4,0,79407,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 1, ""Texture2D"": 1}",0,
download/ui/uifont/japanese/font/riyu_1.assetbundle,source_font,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_5746567048dd9c2e,,4,0,332703,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 1, ""Texture2D"": 1}",0,
download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,font_material_preset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_6ffb08828f57967a,,2,0,3017,"{""AssetBundle"": 1, ""Material"": 1}",0,
download/ui/uifont/japanese/font_material_epm/epm_cheng_242_180_66.assetbundle,font_material_preset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a8bab318d96f46b8,,2,0,3034,"{""AssetBundle"": 1, ""Material"": 1}",0,
download/ui/uifont/japanese/font_material_epm/epm_green_0.3_0.3.assetbundle,font_material_preset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_14a9814f12f3d669,,2,0,3051,"{""AssetBundle"": 1, ""Material"": 1}",0,
download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,font_material_preset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_1a4adb85afe0ecab,,2,0,3035,"{""AssetBundle"": 1, ""Material"": 1}",0,
download/ui/uifont/japanese/font_material_epm/epm_hei_0.2_0.2.assetbundle,font_material_preset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_d37701d726346b2a,,2,0,3017,"{""AssetBundle"": 1, ""Material"": 1}",0,
