shared_material_path_id,usage_count,font_key,font_asset_names,game_object_names,text_samples,bundle,bundle_path,material_name,shader_path_id,texture_property_count,float_property_count,color_property_count
-6541690290105773087,74,riyu,riyu,lab_renwu_text;lab_shangdian_text;officer_show_num;text_off;text_qianghua;text_resetAutoHelperPos;text_title;text_title1;txt_act_name;txt_face_name,동 맹;무 장;마을;이미지;모 험;동 맹;마 을;전속 비서,download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_baibian_0.2_0.2_1.assetbundle,riyu_baibian_0.2_0.2_1,3039605131867672570,5,51,10
3932716197974622303,65,EPM,EPM,test_name2;text_bhll_message;text_name;text_notice_desc;text_onlyUseAttTips;text_title;text_tmp_chengyuan;text_tmp_chengyuan_num;text_tmp_message;text_tmp_message (1);text_tmp_nandu;text_tmp_nandu_num;text_tmp_zudui;text_unLockTips;text_wanfaTips;text_youjian,"      d;      dadfadsfadsf;용녀 토벌령
뜨겁게 진행 중!;7
;<color=#599F50>누적 {0}시간</color> 방치 보상! 어서 수령하세요!;동맹원: ;천하 쟁패 열렬히 진행 중!;천하쟁패 진행 중",download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_epm\epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,3039605131867672570,5,51,10
4174273018840097604,22,riyu,riyu,text;text_beijing;text_big;text_fanhui;text_haoyou;text_haoyou (1);text_name;text_paihangbang;text_qianghua;text_queren;text_small;text_tujian;text_vip_num;text_wuyu;text_yincang;text_youjian,이름;친구;모험;모험;전체 화면;10;모험;도감,download/ui/uifont/japanese/font_material_riyu/riyu_shenzong_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_shenzong_0.2_0.2.assetbundle,riyu_shenzong_0.2_0.2,3039605131867672570,5,51,10
6871398411308274113,20,riyu,riyu,text;text_1;text_2;text_3;text_4;text_5;text_6;text_baocun;text_qianghua;text_queding;text_queren, 설정;저장;확인;알림 설정;확인;계정 삭제;확인;확인,download/ui/uifont/japanese/font_material_riyu/riyu_cheng_254_178_18.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_cheng_254_178_18.assetbundle,riyu_cheng_254_178_18,3039605131867672570,5,51,10
-5910174858419085933,17,riyu,riyu,test_name;text;text_fanhui;text_lan;text_on;text_shezhi,설정;성주 이미지;취소;취소;음악 설정;취소;취소;일반 설정,download/ui/uifont/japanese/font_material_riyu/riyu_lan_0.1_0.1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_lan_0.1_0.1.assetbundle,riyu_lan_0.1_0.1,3039605131867672570,5,51,10
-2520251210141778353,14,riyu,riyu,text_on,모 험;출 정;대 정;무 장;창 고;동 맹;모 험;출 정,download/ui/uifont/japanese/font_material_riyu/riyu_222_130_2_shenzong_touying.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_222_130_2_shenzong_touying.assetbundle,riyu_222_130_2_shenzong_touying,3039605131867672570,5,51,10
8649783434632076371,12,EPM,EPM,text;text_wanfaTips;txt_face_time,총 6명의 소녀 무장을 배경으로 선택하실 수 있습니다.;000;000;10:10;000,download/ui/uifont/japanese/font_material_epm/epm_shenzong_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_epm\epm_shenzong_0.2_0.2.assetbundle,EPM_shenzong_0.2_0.2,3039605131867672570,5,51,10
-3548449482811076398,10,EPM,EPM,text_actTime;text_attr;txt_act_leftTime,이름;10:10:10;10:10:10;10:10:10;10:10:10;10:10:10;10:10:10;10:10:10,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_epm\epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,3039605131867672570,5,51,10
477919381716323141,9,EPM,EPM,text;text_off;text_on;text_recruit_notice_desc;txt_taskName,임무 관련 설명;더 많은 헤드셋을 획득하세요!;성주 이미지;임무 설명;123456789하하하하（ ）;무장 이미지;무장 이미지;임무 설명,download/ui/uifont/japanese/font_material_epm/epm_wuxiaoguo_dongtai.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_epm\epm_wuxiaoguo_dongtai.assetbundle,EPM_wuxiaoguo_dongtai,3039605131867672570,5,51,10
5346313758352445069,6,num,num,text_fight_num;text_num;txt_act_name,"844,651,695;Lv.199",download/ui/uifont/japanese/font_material_num/num_bai_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_num\num_bai_0.2_0.2.assetbundle,num_bai_0.2_0.2,3039605131867672570,5,51,10
8263912359925383730,5,riyu,riyu,text;text_temporary_buff;txt_taskGreenNum;txt_taskRedNum,보너스 발동 중;푸쉬 알림;（ 999/999 ）;일반 설정;999/999,download/ui/uifont/japanese/font_material_riyu/riyu_wubain.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_wubain.assetbundle,riyu_wubain,3039605131867672570,5,51,10
1733618647902657739,4,riyu,riyu,text_big;text_small,주 이미지 ;배;경 선택;성,download/ui/uifont/japanese/font_material_riyu/riyu_zong_xi.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_zong_xi.assetbundle,riyu_zong_xi,3039605131867672570,5,51,10
-6469808170336859405,3,riyu,riyu,text,수령 ;수령 ;수령,download/ui/uifont/japanese/font_material_riyu/riyu_pink_shadow.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_pink_shadow.assetbundle,riyu_pink_shadow,3039605131867672570,5,51,10
3398605064068647022,3,num,num,num;text_level_num,99;12;99,download/ui/uifont/japanese/font_material_num/num_shenzong.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_num\num_shenzong.assetbundle,num_shenzong,3039605131867672570,5,51,10
-4383744721098263825,2,riyu,riyu,text_guan_num,2;2,download/ui/uifont/japanese/font_material_riyu/riyu_touying_209_133_17.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_touying_209_133_17.assetbundle,riyu_touying_209_133_17,3039605131867672570,5,51,10
5325321661327454409,2,EPM,EPM,tmp_bubble_pro,0%;0%,download/ui/uifont/japanese/font_material_epm/epm_hei_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_epm\epm_hei_0.2_0.2.assetbundle,EPM_hei_0.2_0.2,3039605131867672570,5,51,10
-1814576754943834585,1,num,num,text_num,999,download/ui/uifont/japanese/font_material_num/num_cheng_242_180_66_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_num\num_cheng_242_180_66_0.2_0.2.assetbundle,num_cheng_242_180_66_0.2_0.2,3039605131867672570,5,51,10
120833204736823593,1,num,num,text_num,5099만,download/ui/uifont/japanese/font_material_num/num_zong_127_66_11_0.4_0.4.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_num\num_zong_127_66_11_0.4_0.4.assetbundle,num_zong_127_66_11_0.4_0.4,3039605131867672570,5,51,10
5944328056072262551,1,riyu,riyu,text_shiyong,사용 완료,download/ui/uifont/japanese/font_material_riyu/riyu_lu_5_167_16_0.2_0.2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\ui\uifont\japanese\font_material_riyu\riyu_lu_5_167_16_0.2_0.2.assetbundle,riyu_lu_5_167_16_0.2_0.2,3039605131867672570,5,51,10
