name,path_id,output,size,prefix4,prefix16_hex,ascii_ratio_first512,encrypted_or_packed_like
MainPageLimitMgr,-9035189407698220568,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-9035189407698220568_MainPageLimitMgr.txt,19778,A-EV,41 2d 45 56 7b 3f 66 3f 28 76 58 58 3f 48 52 0d,0.930,true
UI_MainPageActItem,-8694572285188909557,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-8694572285188909557_UI_MainPageActItem.txt,6114,A-EV,41 2d 45 56 7b 3f 6c 3f 19 7f 48 5e 3f 12 15 70,0.879,true
UI_Line_Show,-8670325148549783513,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-8670325148549783513_UI_Line_Show.txt,946,A-EV,41 2d 45 56 7b 3f 6c 3f 34 7a 45 27 3f 55 54 44,0.922,true
UI_MainPageFaceActItem,-7919191389644174794,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-7919191389644174794_UI_MainPageFaceActItem.txt,10541,A-EV,41 2d 45 56 7b 3f 6c 3f 19 7f 48 5e 3f 12 15 70,0.891,true
UI_AdventureInterface,-7116734803677859758,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-7116734803677859758_UI_AdventureInterface.txt,28272,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.916,true
UI_Adventure_Item,-6814513053284016841,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-6814513053284016841_UI_Adventure_Item.txt,7377,A-EV,41 2d 45 56 7b 3f 6c 3f 21 19 54 27 3f 4f 59 46,0.900,true
UI_MainPage,-6351603197391775840,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-6351603197391775840_UI_MainPage.txt,87198,A-EV,41 2d 45 56 7b 3f 6a 3f 67 61 4c 5c 3f 53 45 40,0.914,true
UI_Adventure_RootView,-5664616251800369604,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-5664616251800369604_UI_Adventure_RootView.txt,18341,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.902,true
UI_Dock,-4615102950863731052,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-4615102950863731052_UI_Dock.txt,19212,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.898,true
UI_PlayerChangeName,-4390964976853321662,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-4390964976853321662_UI_PlayerChangeName.txt,1800,K7HT,4b 37 48 54 63 3f 66 3f 7a 5c 47 64 3f 53 43 0d,0.926,true
MainPageMgr,-3138555983938251346,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-3138555983938251346_MainPageMgr.txt,717,A-EV,41 2d 45 56 7b 3f 6c 3f 21 19 5e 4c 3f 54 73 4c,0.908,true
UI_Flower_Complete_Tips,-3029001242551076572,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-3029001242551076572_UI_Flower_Complete_Tips.txt,13203,A-EV,41 2d 45 56 7b 3f 64 3f 28 76 58 58 3f 48 52 0d,0.883,true
UI_GoldChange,-2389654533681329655,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-2389654533681329655_UI_GoldChange.txt,4155,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.934,true
UI_ChangeAccExplain,-1797000904635088904,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-1797000904635088904_UI_ChangeAccExplain.txt,572,A-EV,41 2d 45 56 7b 3f 6c 3f 3c 66 47 4e 3f 53 58 4b,0.928,true
UI_BgSet,-1733260267463332757,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-1733260267463332757_UI_BgSet.txt,19740,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.904,true
UIGoldAllChangeHint,-353907523383335473,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-353907523383335473_UIGoldAllChangeHint.txt,983,A-EV,41 2d 45 56 7b 3f 66 3f 28 76 58 58 3f 48 52 0d,0.906,true
