bundle,source_bundle,path_id,name,size,output,prefix4,prefix16_hex,ascii_ratio_first512,source_kind,surrogate_byte_count,nonlatin_codepoint_count
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,1858797692842959531,Bubbles,1738,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/1858797692842959531_Bubbles.bytes,A-EV,41 2D 45 56 7B DE 6C 98 19 7F 48 5E BA 12 15 67,0.576,str_surrogateescape_utf8,568,28
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-9035189407698220568,MainPageLimitMgr,19726,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-9035189407698220568_MainPageLimitMgr.bytes,A-EV,41 2D 45 56 7B DE 66 98 28 76 58 58 A0 48 52 0D,0.600,str_surrogateescape_utf8,6711,210
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-3138555983938251346,MainPageMgr,713,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-3138555983938251346_MainPageMgr.bytes,A-EV,41 2D 45 56 7B DE 6C 98 21 19 5E 4C BB 54 73 4C,0.574,str_surrogateescape_utf8,240,9
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-353907523383335473,UIGoldAllChangeHint,982,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-353907523383335473_UIGoldAllChangeHint.bytes,A-EV,41 2D 45 56 7B DE 66 98 28 76 58 58 A0 48 52 0D,0.572,str_surrogateescape_utf8,325,13
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-7116734803677859758,UI_AdventureInterface,28217,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-7116734803677859758_UI_AdventureInterface.bytes,A-EV,41 2D 45 56 7B DE 6C 98 28 76 58 58 A0 48 52 0D,0.578,str_surrogateescape_utf8,9714,258
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-6814513053284016841,UI_Adventure_Item,7367,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-6814513053284016841_UI_Adventure_Item.bytes,A-EV,41 2D 45 56 7B DE 6C 98 21 19 54 27 AF 4F 59 46,0.555,str_surrogateescape_utf8,2492,88
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-256044868408587883,UI_Adventure_Item_New,5778,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-256044868408587883_UI_Adventure_Item_New.bytes,A-EV,41 2D 45 56 7B DE 6C 98 21 19 54 27 AF 4F 59 46,0.566,str_surrogateescape_utf8,1973,57
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-5664616251800369604,UI_Adventure_RootView,18305,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-5664616251800369604_UI_Adventure_RootView.bytes,A-EV,41 2D 45 56 7B DE 6C 98 28 76 58 58 A0 48 52 0D,0.568,str_surrogateescape_utf8,6296,178
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,-1733260267463332757,UI_BgSet,19682,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/-1733260267463332757_UI_BgSet.bytes,A-EV,41 2D 45 56 7B DE 6C 98 28 76 58 58 A0 48 52 0D,0.574,str_surrogateescape_utf8,6631,245
download/xlualogic/modules/maininterface.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\modules\maininterface.assetbundle,1971560719683477620,UI_CDKExchange,1038,extracted/unity/raw_textassets/download_xlualogic_modules_maininterface/1971560719683477620_UI_CDKExchange.bytes,K7HT,4B 37 48 54 63 97 66 CB 7A 5C 47 64 A7 53 43 0D,0.582,str_surrogateescape_utf8,356,10
