source,relative_path,size,sha256,coverage_status,covered_by,action
girl1.xapk,com.girlwars.kr.apk,27753908,1a8d1749197d3524b832b0bdf4f3fe2cf379b7714ab4198e2347243d3c5726d9,matched_split_copy,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\com.girlwars.kr.apk,
girl1.xapk,icon.png,399451,f179972852749696d0bc2984a7d29686d144731d4e9e2d9668b0ba374a7c5196,matched_split_copy,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\icon.png,
girl1.xapk,config.arm64_v8a.apk,35649676,5a86818f08e8285b720dbb9aef5617e9dd9fe3356d30d22ba1ba4d5f5eab55db,matched_split_copy,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\config.arm64_v8a.apk,
girl1.xapk,abassets.apk,1379933336,15172405760fd8f9350d93f5fd1a53944375e4c16a758802c89989117fcca532,matched_split_copy,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\abassets.apk,
girl1.xapk,manifest.json,3253,72e2ab4a7b9b5cd623df394da1a1856e28a198eeb986989d0c00707183afb652,matched_split_copy,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\manifest.json,
com.girlwars.kr,files/AppVersion,6,ba74b22423663b8b46f8846af37706aed51291268d715d9174483c9a271cd289,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AppVersion,
com.girlwars.kr,files/AssetBundleManifest,190402,ac3f5814806ad4ef59c246426469b3685320b1631cd07b707d30bb76a77a16bf,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AssetBundleManifest,
com.girlwars.kr,files/AssetGuid.bytes,7392666,64542e01e9653a3f8aef8dc2c080f8b8ecf6cd5cc27f0468f36a027c9c668576,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AssetGuid.bytes,
com.girlwars.kr,files/AssetInfo.bytes,11766109,d8afe7c72706e823c6fc2327bd3f4c9aee417ad392108d1cdc372e5f62ac874b,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AssetInfo.bytes,
com.girlwars.kr,files/CDNVersionFile.bytes,923048,77664fce30157db3743f8c08b3f453e6dee30ae25373f79f1e3db7e568b64885,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\CDNVersionFile.bytes,
com.girlwars.kr,files/InitCfgAppVersionFile.bytes,6,ba74b22423663b8b46f8846af37706aed51291268d715d9174483c9a271cd289,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\InitCfgAppVersionFile.bytes,
com.girlwars.kr,files/InitConfigVersionFile.bytes,778,d4fa1e0ea1ff1c8e21e3ed1e1ecfac6722695126733d8275bcc3ba6f24e51d8b,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\InitConfigVersionFile.bytes,
com.girlwars.kr,files/ResourceVersion,7,bd6de99235dbc7d242cefd35ed0580a9444633d17528e0951e2d38e9ba617856,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\ResourceVersion,
com.girlwars.kr,files/UpgradeNewBuildUnzip.bytes,6,ba74b22423663b8b46f8846af37706aed51291268d715d9174483c9a271cd289,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\UpgradeNewBuildUnzip.bytes,
com.girlwars.kr,files/VersionFile.bytes,284360,d6fb228d79a1706e8705c365eacf356b5cafc12bf5833f0a0374049e5f117518,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\VersionFile.bytes,
com.girlwars.kr,cache/UnityShaderCache/0299798a7f4faa10fab468322aa65ee6,2588,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/044dca4a19614e2b1e994dad26066433,2669,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/087ae1477e64dbe1cf8196c34b19a91a,4474,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/0df94a68b15e03a97188e4f4accac321,2512,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/133f1d97aab0af75ff1cf28d0828724b,6266,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/167a5b8d7c258b1286840b770658f202,5709,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/26e51d910b4813e4041dc27d45f20f2d,2460,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/31322424c4d6209ddd97f3e129fc08ec,2294,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/37e7486d4d557a39d9bffef49e0efe8f,2684,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/5798c2982ec89e60a6ee2ce309e06bef,2954,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/656b661a00e566369ebac83a7b3944d8,2636,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/6bce8ebb1c352599d89e5ef4ee54f883,2414,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/6d110f117ec45c8de0804df15ad00a70,2671,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/6d15c33ec99d8da83e555dacdc5e9c63,3042,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/6e5500d84d8f530dff98151c05dc9f9e,2743,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/6ed058ec2ee198ceb6074f0c38bca53b,3097,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/7029175ec00c57cab0a9eaf0de63c116,2636,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/77131faffc6d9e3830c2152093041222,2641,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/809bd7fdd2cf9b1e1b4a35a57849a01b,4102,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/8538b3a5e85848a0f61b5edf97f8b371,6349,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/92822d2e2f899a00cc5b9e0af5ab1cf6,2875,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/b752f54fff9dd222064da719983f75cb,3069,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/ca3a57899c73a1adccb04bcc7106e676,3171,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/d44516c6a7928f46d0764fcfe391231a,2297,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/e48156b73beeca37a3e79f9bb2601519,4496,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/ed077cb98dd259850f18c9f8ca6e3a3a,2947,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/f8d6c8904fe066e428513666b6581a81,4696,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,cache/UnityShaderCache/version,20,,runtime_shader_cache_not_needed,,safe_to_discard_cache
com.girlwars.kr,files/build/AppVersion,6,ba74b22423663b8b46f8846af37706aed51291268d715d9174483c9a271cd289,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AppVersion,winner_sha256=ba74b22423663b8b46f8846af37706aed51291268d715d9174483c9a271cd289
com.girlwars.kr,files/build/AssetBundleManifest,163118,51ed371262f6e908b5d82dd41be36c0e6cfce2d6b5a8925078d13828f6972aba,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AssetBundleManifest,winner_sha256=ac3f5814806ad4ef59c246426469b3685320b1631cd07b707d30bb76a77a16bf
com.girlwars.kr,files/build/AssetGuid.bytes,5824824,762cbafc566134074953026e5e95b3d30f2299313aa526595bf558f3b5776782,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AssetGuid.bytes,winner_sha256=64542e01e9653a3f8aef8dc2c080f8b8ecf6cd5cc27f0468f36a027c9c668576
com.girlwars.kr,files/build/AssetInfo.bytes,8996590,7f1a87de896b1c98532869af10b563b0af3b212279eb7145524d433fda9f7e89,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\AssetInfo.bytes,winner_sha256=d8afe7c72706e823c6fc2327bd3f4c9aee417ad392108d1cdc372e5f62ac874b
com.girlwars.kr,files/build/VersionFile.bytes,231912,f7ffd2ca20ad380a4b99b23e560ba3d7fd16673cd47343acac90f15756b50e7f,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\VersionFile.bytes,winner_sha256=d6fb228d79a1706e8705c365eacf356b5cafc12bf5833f0a0374049e5f117518
com.girlwars.kr,files/il2cpp/unity.ver,8,dc670bdfd39140ef0d733fd9f4a1c20a0e808846da0b5771100b85eac45d9273,covered_in_il2cpp_native,C:\Users\godho\Downloads\girlswar\il2cpp_native\unity.ver,
com.girlwars.kr,files/UnZipAssetConf/AssetGuid.bytes,23090032,13ab2344056e79f27de6e4b9939abf942a59b8fe3e34e09d668ebc3e63ebe83d,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\UnZipAssetConf\AssetGuid.bytes,
com.girlwars.kr,files/UnZipAssetConf/AssetInfo.bytes,30613584,29216d866aaa95b237c4c80054c951a2ac8cc72de49bd454033370738fdb3c38,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\UnZipAssetConf\AssetInfo.bytes,
com.girlwars.kr,files/build/download/DTSysGradeParams.bytes,616,039d4c44718268563a549177f27d18ba27ca5713cd72fdab259c3cf5fb2c7ed2,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\DTSysGradeParams.bytes,
com.girlwars.kr,files/build/download/reporter.assetbundle,67640,086f36ed37f8d39a280d5aa099ff6c58d37a8fb427f091c9be2972478b6c4aa7,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\reporter.assetbundle,
com.girlwars.kr,files/build/download/review.assetbundle,93178484,76dc6127d0b11d01d55b9c75044aed4cdc42cbb41fdeb8b60b7170c8be217f10,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\review.assetbundle,
com.girlwars.kr,files/build/download/audio/m01.assetbundle,1483122,3763984422445fc80995a63d57d5eafb50d3ec467d4b58e0adbd4ad2f5870d19,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\audio\m01.assetbundle,
com.girlwars.kr,files/build/download/audio/m02.assetbundle,2231789,cb1fbfc20246602508fc0b01caea412f57f7f4bc6c7c1dbdd98b2c8e718c6f86,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\audio\m02.assetbundle,winner_sha256=e4f17a7feaf39100363858c50d1006794f3bfa0ee74bb1ebfe7f18bf4c564e53
com.girlwars.kr,files/build/download/audio/master.assetbundle,1715,846f99a74e22dbe8ee504e8b634e82a0b503f73366f85ab325b9b25629be92c2,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\audio\master.assetbundle,
com.girlwars.kr,files/build/download/audio/master.strings.assetbundle,444165,34c9dfe48f1ecde703e6bbbf8b45428aad25956d151432c50d23fa4a4977607f,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\audio\master.strings.assetbundle,winner_sha256=34dbbb92a41acc1f77bddb916738faa363898db01cec48e67327a1554bbb895f
com.girlwars.kr,files/build/download/audio/ui.assetbundle,2947499,0082321ebc9ecd2d222e5fdc07b0dd52c643939ea1410180c87f3094788271f4,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\audio\ui.assetbundle,winner_sha256=a656edb0edd0629b81abb0a76c895b46df5201881f94ea1b9ed875cd1b23a59e
com.girlwars.kr,files/build/download/audio/ui2.assetbundle,4337406,e884d243efa0b6d451831772cb0e49ead1218f6283efec10e0adaff5a1f8a8d3,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\audio\ui2.assetbundle,winner_sha256=5f2c578bb4fed82767a4f2933e5d6c952edc11169103fdaa77071e49b4ec99ff
com.girlwars.kr,files/build/download/commonprefabsandres/battle.assetbundle,7994,adcdb3e1bec047afd1581d33dd672d27fd74eb7681d8c38850f885264252bc2e,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\commonprefabsandres\battle.assetbundle,
com.girlwars.kr,files/build/download/commonprefabsandres/cusmaterial.assetbundle,329261,08a460d76b21030683ed5e3cf6d71c752bf95f75307feffb13d4aa7ee27ebcc0,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\commonprefabsandres\cusmaterial.assetbundle,
com.girlwars.kr,files/build/download/commonprefabsandres/cussettings.assetbundle,6408,053f98e2cf718ad40a2b86178d466c744fca127af27c2e9b2a86733f76600012,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\commonprefabsandres\cussettings.assetbundle,
com.girlwars.kr,files/build/download/commonprefabsandres/cusshaders.assetbundle,160494,163aa50b40f0256d800c25bd6d0355cc38f940dbb328370a2aec1e2385415bf7,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\commonprefabsandres\cusshaders.assetbundle,
com.girlwars.kr,files/build/download/commonprefabsandres/spinematandshaders.assetbundle,63615,934906bd8b7c16c9a68371d6114436370af222a6863ef8a51edecb368e9eb937,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\commonprefabsandres\spinematandshaders.assetbundle,
