local e=
{
ByIdx={
{0,"操作成功","ZERO"},
{1,"参数错误","PARAM_ERROR"},
{2,"配置文件未找到","CONFIG_NOT_FIND"},
{3,"道具不足","ITEM_NOT_ENOUGH"},
{4,"玩家等级不足","LEVEL_NOT_ENOUGH"},
{5,"VIP等级不足","VIP_LEVEL_NOT_ENOUGH"},
{6,"货币不足","CURRENCY_NOT_ENOUGH"},
{21,"活动未开启","ACTIVITY_NOT_OPEN"},
{22,"活动已结束","ACTIVITY_END"},
{24,"操作失败","OPERATOR_ERR"},
{25,"账号不存在","PLAYER_MAILPASS_ACC_ERR"},
{26,"邮箱已存在","PLAYER_MAILPASS_MAIL_ERR"},
{27,"未解锁","NOT_UNLOCK"},
{28,"功能未解锁","FUNCTION_NOT_UNLOCK"},
{29,"装备背包已满","EQUIP_BAG_FULL"},
{30,"不可出售","NOT_CAN_SELL"},
{31,"超出背包格最大数量","BAG_SIZE_OVERFLOW"},
{32,"超出道具使用次数限制","ITEM_USE_NUMBER_LIMIT"},
{100,"请求的数据不符合条件","REQ_DATA_ERROR"},
{101,"已达到购买次数上限","BUY_COUNT_MAX"},
{10001,"连接超时","Connect_TimeOut"},
{10002,"签名错误","SignError"},
{10003,"注册失败账号已存在","Reg_UserNameExists"},
{10004,"登录失败账号错误","Login_UnExists"},
{10005,"请输入账号","Input_UserNameEmpty"},
{10006,"请输入密码","Input_PwdEmpty"},
{100001,"英雄觉醒等级已到最大值","HERO_RANK_LEVEL_MAX"},
{100002,"英雄不存在","HERO_NOT_FIND"},
{100003,"英雄不足","HERO_NOT_ENOUGH"},
{100004,"英雄未激活","HERO_NOT_ACTIVATE"},
{100005,"依赖的英雄未激活","HERO_BASE_NOT_ACTIVATE"},
{100006,"英雄的星阵已全部激活","HERO_STAR_ALL_ACTIVATE"},
{100007,"英雄魂之锁，不满足突破条件","HERO_LOCK_UP_NOT_CONDITION"},
{100008,"英雄魂之锁，已全部突破","HERO_LOCK_UP_ALL"},
{100009,"英雄刻印升级，等级已到最大值","HERO_SOUL_UP_LEVEL_MAX"},
{100010,"英雄好感度，已全部升级完成","HERO_LOVER_UP_ALL"},
{100011,"英雄好感度事件已读","HERO_LOVER_EVENT_ALREADY_READ"},
{100012,"英雄好感度未解锁","HERO_LOVER_NOT_UNLOCK"},
{100014,"阵型为空","FORMATION_EMPTY"},
{100015,"阵型中的英雄重复","FORMATION_HERO_REPEAT"},
{100016,"阵型中的英雄不存在","FORMATION_HERO_NOT_FIND"},
{100017,"阵型中的英雄未激活","FORMATION_HERO_NOT_ACTIVE"},
{100031,"关卡地图，未通关","MAP_NOT_PASS"},
{100032,"关卡地图，章节奖励已领取","MAP_STORY_AWARD_ALREADY_RECEIVED"},
{100033,"关卡地图，没有挂机奖励","MAP_NOT_IDLE_AWARD"},
{100051,"战斗，普通副本依赖的地图不满足","FIGHT_NEED_MAP_NOT_ENOUGH"},
{100052,"战斗，没有战斗记录","FIGHT_NOT_RECORD"},
{100053,"战斗，扫荡boss次数不足","FIGHT_BOSS_TIMES_NOT_ENOUGH"},
{100054,"战斗，扫荡boss的关卡未通关","FIGHT_BOSS_NEED_MAP_NOT_ENOUGH"},
{100061,"等级不存在","EQUIP_NOT_EXSITS"},
{100062,"附魔等级已满","EQUIP_MAGIC_FULL"},
{100063,"强化等级已满","EQUIP_STRENGTH_MAX_LV"},
{100064,"不能进化","EQUIP_CAN_NOT_EVOLUTION"},
{100065,"装备不足","EQUIP_NOT_ENOUGH"},
{100066,"孔位没有宝石","EQUIP_POS_NO_GEM"},
{100067,"装备部位不匹配","EQUIP_POS_NOT_MATCH"},
{100068,"宝石类型重复","EQUIP_GEM_TYPE_REPEATED"},
{100069,"宝石已满级","EQUIP_GEM_LEVEL_FULL"},
{100070,"有更高等级的宝石","EQUIP_GEM_HAVE_GREATER_LEVEL"},
