local e=
{
ByIdx={
{1,{0},0},
{2,{52002,20000},100},
{3,{52002,10000},150},
{4,{52002,12500},200},
{5,{52002,15000},250},
{6,{52002,17500},300},
{7,{52002,20000},350},
{8,{52002,22500},400},
{9,{52002,25000},450},
{10,{52002,27500},500},
{11,{52002,30000},550},
{12,{52002,32500},600},
{13,{52002,35000},650},
{14,{52002,37500},700},
{15,{52002,40000},750},
{16,{52002,42500},800},
{17,{52002,45000},850},
{18,{52002,47500},900},
{19,{52002,50000},950},
{20,{52002,52500},1000},
{21,{52002,55000},1050},
{22,{52002,57500},1100},
{23,{52002,60000},1150},
{24,{52002,62500},1200},
{25,{52002,65000},1250},
{26,{52002,67500},1300},
{27,{52002,70000},1350},
{28,{52002,72500},1400},
{29,{52002,75000},1450},
{30,{52002,77500},1500},
{31,{52002,80000},1550},
{32,{52002,82500},1600},
{33,{52002,85000},1650},
{34,{52002,87500},1700},
{35,{52002,90000},1750},
{36,{52002,92500},1800},
{37,{52002,95000},1850},
{38,{52002,97500},1900},
{39,{52002,100000},1950},
{40,{52002,102500},2000},
{41,{52002,105000},2050},
{42,{52002,107500},2100},
{43,{52002,110000},2150},
{44,{52002,112500},2200},
{45,{52002,115000},2250},
{46,{52002,117500},2300},
{47,{52002,120000},2350},
{48,{52002,122500},2400},
{49,{52002,125000},2450},
{50,{52002,127500},2500},
{51,{52002,130000},2550},
{52,{52002,132500},2600},
{53,{52002,135000},2650},
{54,{52002,137500},2700},
{55,{52002,140000},2750},
{56,{52002,142500},2800},
{57,{52002,145000},2850},
{58,{52002,147500},2900},
{59,{52002,150000},2950},
{60,{52002,152500},3000},
{61,{52002,155000},3050},
{62,{52002,157500},3100},
{63,{52002,160000},3150},
{64,{52002,162500},3200},
{65,{52002,165000},3250},
{66,{52002,167500},3300},
{67,{52002,170000},3350},
{68,{52002,172500},3400},
{69,{52002,175000},3450},
{70,{52002,177500},3500},
{71,{52002,180000},3550},
{72,{52002,182500},3600},
{73,{52002,185000},3650},
{74,{52002,187500},3700},
{75,{52002,190000},3750},
{76,{52002,192500},3800},
{77,{52002,195000},3850},
{78,{52002,197500},3900},
{79,{52002,200000},3950},
{80,{52002,202500},4000},
{81,{52002,205000},4050},
{82,{52002,207500},4100},
{83,{52002,210000},4150},
{84,{52002,212500},4200},
{85,{52002,215000},4250},
{86,{52002,217500},4300},
{87,{52002,220000},4350},
{88,{52002,222500},4400},
{89,{52002,225000},4450},
{90,{52002,227500},4500},
{91,{52002,230000},4550},
{92,{52002,232500},4600},
{93,{52002,235000},4650},
{94,{52002,237500},4700},
{95,{52002,240000},4750},
{96,{52002,242500},4800},
{97,{52002,245000},4850},
{98,{52002,247500},4900},
{99,{52002,250000},4950},
{100,{52002,252500},5000}
},
Len=100
}
return e 
