local e=
{
ByIdx={
{1,{0}},
{2,{0}},
{3,{0}},
{4,{0}},
{5,{0}},
{6,{26376,20}},
{7,{26376,20}},
{8,{26376,20}},
{9,{26376,50}},
{10,{26376,50}},
{11,{26376,100}},
{12,{26376,100}},
{13,{26376,200}},
{14,{26376,200}},
{15,{26376,300}},
{16,{26376,300}},
{17,{26376,400}},
{18,{26376,400}},
{19,{26376,500}},
{20,{26376,500}},
{21,{26376,600}},
{22,{26376,600}},
{23,{26376,700}},
{24,{26376,800}},
{25,{26376,900}},
{26,{26376,1000}},
{27,{26376,1000}},
{28,{26376,1200}},
{29,{26376,1200}},
{30,{26376,1400}},
{31,{26376,1400}},
{32,{26376,1600}},
{33,{26376,1600}},
{34,{26376,1800}},
{35,{26376,1800}},
{36,{26376,2000}},
{37,{26376,2000}},
{38,{26376,2200}},
{39,{26376,2200}},
{40,{26376,2400}},
{41,{26376,2400}},
{42,{26376,2600}},
{43,{26376,2600}},
{44,{26376,2800}},
{45,{26376,2800}},
{46,{26376,3000}},
{47,{26376,3000}},
{48,{26376,3200}},
{49,{26376,3200}},
{50,{26376,3400}},
{51,{26376,3400}},
{52,{26376,3600}},
{53,{26376,3600}},
{54,{26376,3800}},
{55,{26376,3800}},
{56,{26376,4000}},
{57,{26376,4000}},
{58,{26376,4200}},
{59,{26376,4200}},
{60,{26376,4400}},
{61,{26376,4400}},
{62,{26376,4600}},
{63,{26376,4600}},
{64,{26376,4800}},
{65,{26376,4800}},
{66,{26376,5000}},
{67,{26376,5000}},
{68,{26376,5200}},
{69,{26376,5200}},
{70,{26376,5400}},
{71,{26376,5400}},
{72,{26376,5600}},
{73,{26376,5600}},
{74,{26376,5800}},
{75,{26376,5800}},
{76,{26376,6000}},
{77,{26376,6000}},
{78,{26376,6200}},
{79,{26376,6200}},
{80,{26376,6400}},
{81,{26376,6400}},
{82,{26376,6600}},
{83,{26376,6600}},
{84,{26376,6800}},
{85,{26376,6800}},
{86,{26376,7000}},
{87,{26376,7000}},
{88,{26376,7200}},
{89,{26376,7200}},
{90,{26376,7400}},
{91,{26376,7400}},
{92,{26376,7600}},
{93,{26376,7600}},
{94,{26376,7800}},
{95,{26376,7800}},
{96,{26376,8000}},
{97,{26376,8000}},
{98,{26376,8200}},
{99,{26376,8200}},
{100,{26376,8400}}
},
Len=100
}
return e 
