local e=
{
ByIdx={
{1,{{99840,500}},{{"{PARAMINT2}",1},{99840,10000}},1,0,1300},
{2,{{1060,1200}},{{1060,8000},{1001,200}},2,0,2600},
{3,{{20002,10}},{{20004,2},{20084,20}},3,0,3900},
{4,{{1060,1200}},{{1060,8000},{1001,200}},4,0,5200},
{5,{{99840,600}},{{20002,200},{99840,2000}},5,1,6500},
{6,{{1060,1500}},{{1060,10000},{1001,200}},6,0,7800},
{7,{{20002,10}},{{20004,2},{20084,20}},7,0,9100},
{8,{{20084,10}},{{20004,2},{20084,20}},8,0,10400},
{9,{{20003,10}},{{20003,50},{1001,300}},9,0,11700},
{10,{{99840,700}},{{20084,100},{99840,3000}},10,1,13100},
{11,{{1060,1500}},{{1060,10000},{1001,200}},11,0,14500},
{12,{{20002,10}},{{20004,2},{20084,20}},12,0,15900},
{13,{{1060,1500}},{{1060,10000},{1001,200}},13,0,17300},
{14,{{20003,10}},{{20003,50},{1001,300}},14,0,18700},
{15,{{99840,800}},{{20084,10},{99840,4000}},15,1,20100},
{16,{{1060,1500}},{{1060,10000},{1001,200}},16,0,21500},
{17,{{20002,10}},{{20004,3},{20084,30}},17,0,22900},
{18,{{20084,10}},{{20004,3},{20084,30}},18,0,24300},
{19,{{20003,10}},{{20003,50},{1001,300}},19,0,25700},
{20,{{99840,900}},{{20002,300},{99840,5000}},20,1,27200},
{21,{{1060,1500}},{{1060,10000},{1001,200}},21,0,28700},
{22,{{20002,10}},{{20004,3},{20084,30}},22,0,30200},
{23,{{1060,1500}},{{1060,10000},{1001,200}},23,0,31700},
{24,{{20003,10}},{{20003,50},{1001,300}},24,0,33200},
{25,{{99840,1000}},{{20084,100},{99840,6000}},25,1,34700},
{26,{{1060,2000}},{{1060,20000},{1001,300}},26,0,36200},
{27,{{20002,10}},{{20004,3},{20084,30}},27,0,37700},
{28,{{20084,10}},{{20004,3},{20084,30}},28,0,39200},
{29,{{20003,10}},{{20003,100},{1001,500}},29,0,40700},
{30,{{99840,1200}},{{20004,10},{99840,7000}},30,1,42300},
{31,{{1060,2000}},{{1060,20000},{1001,300}},31,0,43900},
{32,{{20002,10}},{{20004,3},{20084,30}},32,0,45500},
{33,{{1060,2000}},{{1060,20000},{1001,300}},33,0,47100},
{34,{{20003,10}},{{20003,100},{1001,500}},34,0,48700},
{35,{{99840,1500}},{{20002,300},{99840,7000}},35,1,50300},
{36,{{1060,2000}},{{1060,20000},{1001,300}},36,0,51900},
{37,{{20002,10}},{{20004,4},{20084,40}},37,0,53500},
{38,{{20084,10}},{{20004,4},{20084,40}},38,0,55100},
{39,{{20003,10}},{{20003,100},{1001,500}},39,0,56700},
{40,{{99840,2000}},{{20084,100},{99840,8000}},40,1,58400},
{41,{{1060,2000}},{{1060,20000},{1001,300}},41,0,60100},
{42,{{20002,10}},{{20004,4},{20084,40}},42,0,61800},
{43,{{1060,2000}},{{1060,20000},{1001,300}},43,0,63500},
{44,{{20003,10}},{{20003,100},{1001,500}},44,0,65200},
{45,{{99840,2800}},{{20004,10},{99840,8000}},45,1,66900},
{46,{{1060,2000}},{{1060,20000},{1001,300}},46,0,68600},
{47,{{20002,10}},{{20004,5},{20084,50}},47,0,70300},
{48,{{20084,10}},{{20004,5},{20084,50}},48,0,72000},
{49,{{20003,10}},{{20003,150},{1001,500}},49,0,73700},
{50,{{99840,8000}},{{"{PARAMINT4}",1},{99840,20000}},50,1,75500}
},
Len=50
}
return e 
