local e=
{
ByIdx={
{1,1,{99847,500}},
{2,5,{20003,15}},
{3,10,{26726,2}},
{4,15,{20084,30}},
{5,20,{99852,50}},
{6,25,{26726,2}},
{7,30,{20004,5}},
{8,35,{20048,3}},
{9,40,{20045,3}},
{10,45,{26726,4}},
{11,50,{26726,4}},
{12,55,{26726,4}},
{13,60,{26726,4}},
{14,70,{26726,8}},
{15,80,{26726,8}},
{16,90,{26726,8}},
{17,100,{26726,8}},
{18,110,{26726,8}},
{19,120,{26726,8}},
{20,130,{26726,8}},
{21,140,{26726,8}},
{22,150,{26726,8}},
{23,160,{26726,8}},
{24,170,{26726,8}},
{25,180,{26726,8}},
{26,190,{26726,8}},
{27,200,{26726,8}},
{28,210,{26726,8}},
{29,220,{26726,8}},
{30,230,{26726,8}},
{31,240,{26726,8}},
{32,250,{26726,8}},
{33,260,{26726,8}},
{34,270,{26726,8}},
{35,280,{26726,8}},
{36,290,{26726,8}},
{37,300,{26726,8}},
{38,310,{26726,8}},
{39,320,{26726,8}},
{40,330,{26726,8}},
{41,340,{26726,8}},
{42,350,{26726,8}},
{43,360,{26726,8}},
{44,370,{26726,8}},
{45,380,{26726,8}},
{46,390,{26726,8}},
{47,400,{26726,8}},
{48,410,{26726,8}},
{49,420,{26726,8}},
{50,430,{26726,8}},
{51,440,{26726,8}},
{52,460,{26726,15}},
{53,480,{26726,15}},
{54,500,{26726,15}},
{55,520,{26726,15}},
{56,540,{26726,15}},
{57,560,{26726,15}},
{58,580,{26726,15}},
{59,600,{26726,15}},
{60,620,{26726,15}},
{61,640,{26726,15}},
{62,660,{26726,15}},
{63,680,{26726,15}},
{64,700,{26726,15}},
{65,720,{26726,15}},
{66,740,{26726,15}},
{67,760,{26726,15}},
{68,780,{26726,15}},
{69,800,{26726,15}},
{70,820,{26726,15}},
{71,840,{26726,15}}
},
Len=71
}
return e 
