local e=
{
ByIdx={
{101,1,1,3,{0},1},
{102,1,2,1,{20018,30},16},
{103,1,3,1,{20018,30},1},
{104,1,4,1,{20018,30},12},
{105,1,5,1,{20018,30},1},
{106,1,6,1,{20018,30},17},
{107,1,7,1,{20018,30},18},
{108,1,8,1,{20018,30},1},
{109,1,9,1,{20018,30},1},
{110,1,10,1,{20018,30},17},
{111,1,11,1,{20018,30},23},
{112,1,12,1,{20018,30},1},
{113,1,13,1,{20018,30},21},
{114,1,14,1,{20018,30},1},
{115,1,15,1,{20018,30},1},
{116,1,16,1,{20018,30},1},
{117,1,17,1,{20018,30},26},
{118,1,18,1,{20018,30},5},
{119,1,19,1,{20018,30},28},
{120,1,20,1,{20018,30},1},
{121,1,21,1,{20018,30},1},
{122,1,22,1,{20018,30},14},
{123,1,23,1,{20018,30},16},
{124,1,24,1,{20018,30},1},
{125,1,25,1,{20018,30},1},
{126,1,26,1,{20018,30},1},
{127,1,27,1,{20018,30},1},
{128,1,28,1,{20018,30},29},
{129,1,29,1,{20018,30},1},
{130,1,30,1,{20018,30},1},
{131,1,31,1,{20018,30},7},
{132,1,32,2,{80},18},
{201,2,1,2,{120},1},
{202,2,2,1,{20002,10},16},
{203,2,3,1,{20002,10},1},
{204,2,4,1,{20003,5},12},
{205,2,5,1,{20003,5},1},
{206,2,6,1,{20002,10},17},
{207,2,7,1,{20002,10},18},
{208,2,8,1,{20002,10},1},
{209,2,9,1,{20002,10},1},
{210,2,10,1,{20002,10},17},
{211,2,11,1,{20002,10},23},
{212,2,12,1,{20003,5},1},
{213,2,13,1,{20003,5},21},
{214,2,14,1,{20002,10},1},
{215,2,15,1,{20002,10},1},
{216,2,16,1,{20002,10},1},
{217,2,17,1,{20002,10},26},
{218,2,18,1,{20002,10},5},
{219,2,19,1,{20002,10},28},
{220,2,20,1,{20003,5},1},
{221,2,21,1,{20003,5},1},
{222,2,22,1,{20002,10},14},
{223,2,23,1,{20002,10},16},
{224,2,24,1,{20002,10},1},
{225,2,25,1,{20002,10},1},
{226,2,26,1,{20002,10},1},
{227,2,27,1,{20002,10},1},
{228,2,28,1,{20003,5},29},
{229,2,29,1,{20003,5},1},
{230,2,30,1,{20002,10},1},
{231,2,31,1,{20002,10},7},
{232,2,32,3,{0},18},
{301,3,1,3,{0},1},
{302,3,2,1,{20006,10},16},
{303,3,3,1,{20006,10},1},
{304,3,4,1,{20010,2},12},
{305,3,5,1,{20010,2},1},
{306,3,6,1,{20006,10},17},
{307,3,7,1,{20006,10},18},
{308,3,8,1,{20006,10},1},
{309,3,9,1,{20006,10},1},
{310,3,10,1,{20006,10},17},
{311,3,11,1,{20006,10},23},
{312,3,12,1,{20010,2},1},
{313,3,13,1,{20010,2},21},
{314,3,14,1,{20006,10},1},
{315,3,15,1,{20006,10},1},
{316,3,16,1,{20006,10},1},
{317,3,17,1,{20006,10},26},
{318,3,18,1,{20006,10},5},
{319,3,19,1,{20006,10},28},
{320,3,20,1,{20010,2},1},
{321,3,21,1,{20010,2},1},
{322,3,22,1,{20006,10},14},
{323,3,23,1,{20006,10},16},
{324,3,24,1,{20006,10},1},
{325,3,25,1,{20006,10},1},
{326,3,26,1,{20006,10},1},
{327,3,27,1,{20006,10},1},
{328,3,28,1,{20010,2},29},
{329,3,29,1,{20010,2},1},
{330,3,30,1,{20006,10},1},
{331,3,31,1,{20006,10},7},
{332,3,32,2,{120},18},
{401,4,1,2,{150},1},
{402,4,2,1,{1021,10},16},
{403,4,3,1,{1021,10},1},
{404,4,4,1,{20021,1},12},
{405,4,5,1,{20021,1},1},
{406,4,6,1,{1021,10},17},
{407,4,7,1,{1021,10},18},
{408,4,8,1,{1021,10},1},
{409,4,9,1,{1021,10},1},
{410,4,10,1,{1021,10},17},
{411,4,11,1,{1021,10},23},
{412,4,12,1,{20021,1},1},
{413,4,13,1,{20021,1},21},
{414,4,14,1,{1021,10},1},
{415,4,15,1,{1021,10},1},
{416,4,16,1,{1021,10},1},
{417,4,17,1,{1021,10},26},
{418,4,18,1,{1021,10},5},
{419,4,19,1,{1021,10},28},
{420,4,20,1,{20021,1},1},
{421,4,21,1,{20021,1},1},
{422,4,22,1,{1021,10},14},
{423,4,23,1,{1021,10},16},
{424,4,24,1,{1021,10},1},
{425,4,25,1,{1021,10},1},
{426,4,26,1,{1021,10},1},
{427,4,27,1,{1021,10},1},
{428,4,28,1,{20021,1},29},
{429,4,29,1,{20021,1},1},
{430,4,30,1,{1021,10},1},
{431,4,31,1,{1021,10},7},
{432,4,32,3,{0},18},
{501,5,1,3,{0},1},
{502,5,2,1,{20011,5},16},
{503,5,3,1,{20011,5},1},
{504,5,4,1,{20045,2},12},
{505,5,5,1,{20045,2},1},
{506,5,6,1,{20011,5},17},
{507,5,7,1,{20011,5},18},
{508,5,8,1,{20011,5},1},
{509,5,9,1,{20011,5},1},
{510,5,10,1,{20011,5},17},
{511,5,11,1,{20011,5},23},
{512,5,12,1,{20045,2},1},
{513,5,13,1,{20045,2},21},
{514,5,14,1,{20011,5},1},
{515,5,15,1,{20011,5},1},
{516,5,16,1,{20011,5},1},
{517,5,17,1,{20011,5},26},
{518,5,18,1,{20011,5},5},
{519,5,19,1,{20011,5},28},
{520,5,20,1,{20045,2},1},
{521,5,21,1,{20045,2},1},
{522,5,22,1,{20011,5},14},
{523,5,23,1,{20011,5},16},
{524,5,24,1,{20011,5},1},
{525,5,25,1,{20011,5},1},
{526,5,26,1,{20011,5},1},
{527,5,27,1,{20011,5},1},
{528,5,28,1,{20045,2},29},
{529,5,29,1,{20045,2},1},
{530,5,30,1,{20011,5},1},
{531,5,31,1,{20011,5},7},
{532,5,32,2,{150},18},
{601,6,1,1,{20012,1},1},
{602,6,2,1,{20012,1},16},
{603,6,3,1,{20012,1},1},
{604,6,4,1,{20013,1},12},
{605,6,5,1,{20013,1},1},
{606,6,6,1,{20012,1},17},
{607,6,7,1,{20012,1},18},
{608,6,8,1,{20012,1},1},
{609,6,9,1,{20012,1},1},
{610,6,10,1,{20012,1},17},
{611,6,11,1,{20012,1},23},
{612,6,12,1,{20013,1},1},
{613,6,13,1,{20013,1},21},
{614,6,14,1,{20012,1},1},
{615,6,15,1,{20012,1},1},
{616,6,16,1,{20012,1},1},
{617,6,17,1,{20012,1},26},
{618,6,18,1,{20012,1},5},
{619,6,19,1,{20012,1},28},
{620,6,20,1,{20013,1},1},
{621,6,21,1,{20013,1},1},
{622,6,22,1,{20012,1},14},
{623,6,23,1,{20012,1},16},
{624,6,24,1,{20012,1},1},
{625,6,25,1,{20012,1},1},
{626,6,26,1,{20012,1},1},
{627,6,27,1,{20012,1},1},
{628,6,28,1,{20013,1},29},
{629,6,29,1,{20013,1},1},
{630,6,30,1,{20012,1},1},
{631,6,31,1,{20012,1},7},
{632,6,32,3,{0},18}
},
Len=192
}
return e 
