local e=
{
ByIdx={
{1,1,{99847,500}},
{2,5,{20003,15}},
{3,10,{75503,5}},
{4,15,{20084,30}},
{5,20,{99852,50}},
{6,25,{75503,5}},
{7,30,{20004,5}},
{8,35,{20048,3}},
{9,40,{20045,3}},
{10,45,{75503,3}},
{11,50,{75503,3}},
{12,55,{75503,3}},
{13,60,{75503,3}},
{14,70,{75503,3}},
{15,80,{75503,4}},
{16,90,{75503,4}},
{17,100,{75503,4}},
{18,110,{75503,4}},
{19,120,{75503,4}},
{20,130,{75503,5}},
{21,140,{75503,4}},
{22,150,{75503,5}},
{23,160,{75503,4}},
{24,170,{75503,5}},
{25,180,{75503,4}},
{26,190,{75503,5}},
{27,200,{75503,4}},
{28,210,{75503,5}},
{29,220,{75503,4}},
{30,230,{75503,5}},
{31,240,{75503,4}},
{32,250,{75503,5}},
{33,260,{75503,4}},
{34,270,{75503,5}},
{35,280,{75503,4}},
{36,290,{75503,5}},
{37,300,{75503,4}},
{38,310,{75503,5}},
{39,320,{75503,4}},
{40,330,{75503,5}},
{41,340,{75503,4}},
{42,350,{75503,5}},
{43,360,{75503,4}},
{44,370,{75503,5}},
{45,380,{75503,4}},
{46,390,{75503,5}},
{47,400,{75503,4}},
{48,410,{75503,5}},
{49,420,{75503,4}},
{50,430,{75503,5}},
{51,440,{75503,4}},
{52,460,{75503,9}},
{53,480,{75503,9}},
{54,500,{75503,9}},
{55,520,{75503,9}},
{56,540,{75503,9}},
{57,560,{75503,9}},
{58,580,{75503,9}},
{59,600,{75503,9}},
{60,620,{75503,9}},
{61,640,{75503,9}},
{62,660,{75503,9}},
{63,680,{75503,9}},
{64,700,{75503,9}},
{65,720,{75503,9}},
{66,740,{75503,9}},
{67,760,{75503,9}},
{68,780,{75503,9}},
{69,800,{75503,9}},
{70,820,{75503,9}},
{71,840,{75503,9}}
},
Len=71
}
return e 
