local e=
{
ByIdx={
{101,300,{101},0},
{102,300,{102,103},0},
{103,300,{104,105},0},
{104,300,{102,103},0},
{105,300,{104,105},0},
{106,300,{106,107},0},
{107,300,{108,109},0},
{108,300,{106,107},0},
{109,300,{108,109},0},
{110,300,{110,111},0},
{111,300,{112,113},0},
{112,300,{114,115},0},
{201,300,{201},0},
{202,300,{202,203},0},
{203,300,{204,205},0},
{204,300,{206,207},0},
{205,300,{208,209},0},
{206,300,{210,211},6},
{207,300,{212,213},6},
{208,300,{214,215},0},
{209,300,{216,217},0},
{210,300,{218,219},6},
{211,300,{220,221},6},
{212,300,{222,223},0},
{301,300,{301},0},
{302,300,{302,303},2},
{303,300,{304,305},2},
{304,300,{306,307},2},
{305,300,{308,309},2},
{306,300,{310,311},2},
{307,300,{312,313},2},
{308,300,{314,315},2},
{309,300,{316,317},2},
{310,300,{318,319},2},
{311,300,{320,321},2},
{312,300,{322,323},3},
{401,300,{401},0},
{402,300,{402,403},2},
{403,300,{404,405},2},
{404,300,{406,407},2},
{405,300,{408,409},2},
{406,300,{410,411},2},
{407,300,{412,413},2},
{408,300,{414,415},2},
{409,300,{416,417},3},
{410,300,{418,419},3},
{411,300,{420,421},3},
{412,300,{422,423},3},
{501,280,{501},0},
{502,280,{502,503},0},
{503,280,{504,505},0},
{504,280,{506,507},0},
{505,280,{508,509},0},
{506,280,{510,511},2},
{507,280,{512,513},2},
{508,280,{514,515},2},
{509,280,{516,517},2},
{510,280,{518,519},2},
{511,280,{520,521},2},
{512,280,{522,523},0},
{601,280,{601},0},
{602,280,{602,603},0},
{603,280,{604,605},0},
{604,280,{606,607},0},
{605,280,{608,609},5},
{606,280,{610,611},5},
{607,280,{612,613},3},
{608,280,{614,615},3},
{609,280,{616,617},0},
{610,280,{618,619},4},
{611,280,{620,621},4},
{612,280,{622,623},4},
{701,260,{701},0},
{702,260,{702,703},4},
{703,260,{704,705},3},
{704,260,{706,707},4},
{705,260,{708,709},5},
{706,260,{710,711},2},
{707,260,{712,713},3},
{708,260,{714,715},4},
{709,260,{716,717},4},
{710,260,{718,719},5},
{711,260,{720,721},11},
{712,260,{722,723},11},
{10001,300,{101},0},
{10002,300,{102,103},0},
{10003,300,{106,107},0},
{10004,300,{106,107},0},
{10005,300,{110,111},0},
{10006,300,{112,113},0},
{10007,300,{114,115},0},
{10008,300,{206,207},0},
{10009,300,{208,209},0},
{10010,300,{210,211},6},
{10011,300,{212,213},6},
{10012,300,{214,215},0},
{10013,300,{216,217},0},
{10014,300,{218,219},6},
{10015,300,{220,221},6},
{10016,300,{222,223},0},
{10101,280,{301},0},
{10102,280,{302,303},2},
{10103,280,{304,305},2},
{10104,280,{306,307},2},
{10105,280,{308,309},2},
{10106,280,{310,311},2},
{10107,280,{312,313},2},
{10108,280,{314,315},2},
{10109,280,{316,317},2},
{10110,280,{318,319},2},
{10111,280,{320,321},2},
{10112,280,{322,323},3},
{10113,280,{402,403},2},
{10114,280,{404,405},2},
{10115,280,{406,407},2},
{10116,280,{408,409},2},
{10117,280,{410,411},2},
{10118,280,{412,413},2},
{10119,280,{414,415},2},
{10120,280,{416,417},3},
{10121,280,{418,419},3},
{10122,280,{420,421},3},
{10123,280,{422,423},3},
{10201,250,{501},0},
{10202,250,{502,503},0},
{10203,250,{504,505},0},
{10204,250,{506,507},0},
{10205,250,{508,509},0},
{10206,250,{510,511},2},
{10207,250,{512,513},2},
{10208,250,{514,515},2},
{10209,250,{516,517},2},
{10210,250,{518,519},2},
{10211,250,{520,521},2},
{10212,250,{602,603},0},
{10213,250,{604,605},0},
{10214,250,{606,607},0},
{10215,250,{608,609},5},
{10216,250,{610,611},5},
{10217,250,{612,613},3},
{10218,250,{614,615},3},
{10219,250,{616,617},0},
{10220,250,{618,619},4},
{10221,250,{620,621},4},
{10222,250,{622,623},4},
{10301,230,{501},0},
{10302,230,{502,503},0},
{10303,230,{504,505},0},
{10304,230,{506,507},0},
{10305,230,{508,509},0},
{10306,230,{510,511},2},
{10307,230,{512,513},2},
{10308,230,{514,515},2},
{10309,230,{516,517},2},
{10310,230,{518,519},2},
{10311,230,{520,521},2},
{10312,230,{602,603},0},
{10313,230,{604,605},0},
{10314,230,{606,607},0},
{10315,230,{608,609},5},
{10316,230,{610,611},5},
{10317,230,{612,613},3},
{10318,230,{614,615},3},
{10319,230,{616,617},0},
{10320,230,{618,619},4},
{10321,230,{620,621},4},
{10322,230,{622,623},4},
{10401,200,{501},0},
{10402,200,{502,503},0},
{10403,200,{504,505},0},
{10404,200,{506,507},0},
{10405,200,{508,509},0},
{10406,200,{510,511},2},
{10407,200,{512,513},2},
{10408,200,{514,515},2},
{10409,200,{516,517},2},
{10410,200,{518,519},2},
{10411,200,{520,521},2},
{10412,200,{602,603},0},
{10413,200,{604,605},0},
{10414,200,{606,607},0},
{10415,200,{608,609},5},
{10416,200,{610,611},5},
{10417,200,{612,613},3},
{10418,200,{614,615},3},
{10419,200,{616,617},0},
{10420,200,{618,619},4},
{10421,200,{620,621},4},
{10422,200,{622,623},4}
},
Len=189
}
return e 
