local e=
{
ByIdx={
{1,5,{20084,25}},
{2,10,{26726,1}},
{3,20,{20003,20}},
{4,40,{26726,1}},
{5,60,{20004,5}},
{6,80,{26726,1}},
{7,100,{20048,1}},
{8,120,{26726,2}},
{9,140,{26726,2}},
{10,160,{26726,2}},
{11,180,{26726,2}},
{12,200,{26726,2}},
{13,220,{26726,2}},
{14,240,{26726,2}},
{15,260,{26726,2}},
{16,280,{26726,2}},
{17,300,{26726,2}},
{18,320,{26726,2}},
{19,340,{26726,2}},
{20,360,{26726,2}},
{21,380,{26726,2}},
{22,400,{26726,2}},
{23,430,{26726,2}},
{24,460,{26726,2}},
{25,490,{26726,2}},
{26,520,{26726,2}},
{27,550,{26726,2}},
{28,580,{26726,2}},
{29,610,{26726,2}},
{30,640,{26726,2}},
{31,670,{26726,2}},
{32,700,{26726,2}},
{33,740,{26726,3}},
{34,780,{26726,3}},
{35,820,{26726,3}},
{36,860,{26726,3}},
{37,900,{26726,3}},
{38,940,{26726,3}},
{39,980,{26726,3}},
{40,1030,{26726,4}},
{41,1080,{26726,4}},
{42,1130,{26726,4}},
{43,1180,{26726,4}},
{44,1230,{26726,4}},
{45,1280,{26726,4}},
{46,1330,{26726,4}},
{47,1380,{26726,4}},
{48,1430,{26726,4}},
{49,1480,{26726,4}},
{50,1530,{26726,4}},
{51,1580,{26726,4}},
{52,1630,{26726,4}},
{53,1680,{26726,4}},
{54,1730,{26726,4}},
{55,1780,{26726,4}},
{56,1830,{26726,4}},
{57,1880,{26726,4}},
{58,1940,{26726,5}},
{59,2000,{26726,5}},
{60,2060,{26726,5}},
{61,2120,{26726,5}},
{62,2180,{26726,5}},
{63,2250,{26726,5}},
{64,2320,{26726,5}},
{65,2390,{26726,5}},
{66,2460,{26726,5}},
{67,2540,{26726,6}},
{68,2620,{26726,6}},
{69,2700,{26726,6}},
{70,2780,{26726,6}},
{71,2870,{26726,7}},
{72,2960,{26726,7}},
{73,3050,{26726,7}},
{74,3150,{26726,8}},
{75,3250,{26726,8}},
{76,3350,{26726,8}},
{77,3450,{26726,8}},
{78,3550,{26726,8}},
{79,3650,{26726,8}},
{80,3750,{26726,8}},
{81,3850,{26726,8}},
{82,3950,{26726,8}},
{83,4050,{26726,8}},
{84,4150,{26726,8}},
{85,4250,{26726,8}},
{86,4350,{26726,8}},
{87,4450,{26726,8}},
{88,4550,{26726,8}},
{89,4650,{26726,8}},
{90,4750,{26726,8}},
{91,4850,{26726,8}},
{92,4950,{26726,8}},
{93,5050,{26726,8}},
{94,5150,{26726,8}},
{95,5250,{26726,8}},
{96,5350,{26726,8}},
{97,5450,{26726,8}},
{98,5550,{26726,8}},
{99,5650,{26726,8}},
{100,5750,{26726,8}},
{101,5850,{26726,8}},
{102,5950,{26726,8}}
},
Len=102
}
return e 
