local e=
{
ByIdx={
{10,{{99645,1},{20002,20}}},
{20,{{99645,2},{20003,10}}},
{30,{{99645,3},{20082,10}}},
{40,{{99645,4},{20083,5}}},
{50,{{99645,5},{20048,1},{20321,5},{20004,10}}},
{60,{{99645,6},{20003,20}}},
{70,{{99645,7},{20004,10}}},
{80,{{99645,8},{20082,20}}},
{90,{{99645,9},{20083,10}}},
{100,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{110,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{120,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{130,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{140,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{150,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{160,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{170,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{180,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{190,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{200,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{210,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{220,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{230,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{240,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{250,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{260,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{270,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{280,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{290,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{300,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{310,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{320,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{330,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{340,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{350,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{360,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{370,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{380,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{390,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{400,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{410,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{420,{{99645,10},{20048,2},{20321,10},{20004,25}}},
